,AF: Trade Balance: Advanced Economies: Greece,AF: Trade Balance: Advanced Economies: Sweden,AF: Trade Balance: Advanced Economies: Norway,AF: Trade Balance: Advanced Economies: Lithuania,AF: Trade Balance: European Union,AF: Trade Balance: Advanced Economies: Slovak Republic,AF: Trade Balance: Advanced Economies: United Kingdom,AF: Trade Balance: Advanced Economies: Malta,AF: Trade Balance: Advanced Economies: Australia,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Cambodia,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Malaysia,AF: Trade Balance: Emerging and Developing Economies: Export Earnings: Non-Fuel,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Kazakhstan,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Myanmar,AF: Trade Balance: Emerging and Developing Economies: Export Earnings: Fuel,AF: (DC)Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: (Old)Czechoslovakia,AF: (DC)Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Macau SAR,AF: (DC)Trade Balance: Advanced Economies: (Old)Belgium-Luxembourg,"AF: (DC)Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: (Old)Yugoslavia, Socialist Fed. Rep.",AF: (DC)Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: (Old)Serbia & Montenegro,AF: (DC)Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Faroe Islands,AF: (DC)Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Papua New Guinea,AF: (DC)Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Timor-Leste,AF: Trade Balance: Advanced Economies: United States,AF: Trade Balance: Euro Area,AF: Trade Balance: Advanced Economies: Italy,AF: Trade Balance: Advanced Economies: Luxembourg,AF: Trade Balance: Advanced Economies: Israel,AF: Trade Balance: Advanced Economies: France,AF: Trade Balance: Advanced Economies: Canada,AF: Trade Balance: Advanced Economies: Spain,AF: Trade Balance: Advanced Economies: Denmark,AF: Trade Balance: Advanced Economies: Latvia,AF: Trade Balance: Advanced Economies: Finland,AF: Trade Balance: Advanced Economies: Netherlands,AF: Trade Balance: Advanced Economies: Czech Republic,AF: Trade Balance: Advanced Economies: Taiwan,AF: Trade Balance: Advanced Economies: Cyprus,AF: Trade Balance: Advanced Economies: Switzerland,AF: Trade Balance: Emerging and Developing Economies,AF: Trade Balance: Advanced Economies: Vatican,AF: Trade Balance: Countries or Area Not Specified,AF: Trade Balance: Advanced Economies: Singapore,AF: Trade Balance: Advanced Economies: Iceland,AF: Trade Balance: Advanced Economies: Estonia,AF: Trade Balance: Other Countries Not Elsewhere Classified,AF: Trade Balance: Advanced Economies: Japan,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: New Caledonia,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Belarus,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Vietnam,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Tonga,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Georgia,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Armenia,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Turkey,"AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Serbia, Republic of",AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Hungary,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Albania,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Maldives,"AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Montenegro, Republic of",AF: Trade Balance: Advanced Economies: New Zealand,"AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Marshall Islands, Republic",AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Samoa,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Nepal,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Bangladesh,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Fiji,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Sri Lanka,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Bosnia & Herzegovina,"AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Azerbaijan, Republic of",AF: Trade Balance: Emerging and Developing Economies: Europe,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Indonesia,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Asia Not Specified,AF: Trade Balance: Advanced Economies: South Korea,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Kyrgyz Republic,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Philippines,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Russia,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: French Polynesia,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Brunei Darussalam,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: India,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Thailand,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Moldova,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Romania,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Bulgaria,"AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Macedonia, Former Yugoslav Republic",AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Croatia,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: China,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Poland,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Mongolia,AF: Trade Balance: Advanced Economies: Hong Kong SAR,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Kosovo,AF: Trade Balance: Advanced Economies: Portugal,AF: Trade Balance: Advanced Economies: Ireland,AF: Trade Balance: Advanced Economies: Belgium,AF: Trade Balance: Advanced Economies: Austria,AF: Trade Balance: Advanced Economies: Germany,AF: Trade Balance: Advanced Economies: Slovenia,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Vanuatu
First Obs. Date,1982,1982,1970,1994,1958,1993,1958,1982,1966,2001,1974,1958,1994,2015,1958,1958,1982,1963,1973,2003,1987,1983,2003,1958,1958,1966,1997,2015,1967,1970,1975,1964,1993,1973,1963,1993,1975,1984,1967,1958,2011,1958,1967,1970,1993,1975,1958,1960,1994,1993,1997,1989,1994,2006,1976,2005,1976,2008,2015,2006,1975,2015,1958,2015,2005,1982,1988,1958,1973,2004,1993,1958,1975,2008,1982,1993,1982,1993,2000,2000,1958,1973,1993,1973,1958,1973,1999,1994,1963,1963,1995,1967,2006,1983,1977,1997,1970,1958,1994,2008
Last Obs. Date,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,1992,2004,1996,1992,2005,2008,2003,2005,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2020,2018,2018,2018,2013,2015,2018,2018,2017,2018,2018,2018,2018,2018,2015,2018,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018
Last Update Time,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,01/07/2019,01/07/2019,18/09/2018,01/07/2019,27/07/2019,27/07/2019,01/07/2019,27/07/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,25/05/2019,23/03/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,29/06/2019,29/06/2019,27/07/2019,27/07/2019,31/12/2018,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,08/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,01/07/2019,27/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,29/06/2019,01/07/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,27/07/2019
Series remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suggestions,,,,,,,,,,,,,,,,,,,,407769707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,-0.12550226382352936,-1.8126849908823537,-0.4889701831707316,-2.3674690224999995,-41.58313998983607,-0.654458604347826,3.8744701831147546,-0.3479030132142857,-2.0035390325581393,-1.6581635,-73.55425907052636,-1174.9309254085242,-325.08395650863645,0.04520124999999997,-399.48669410409826,-1.3632460191428566,1.9093145825,5.598828209599999,-0.91004984,-0.1312886666666667,0.010865244545454546,-1.0318996366666668,-0.006289333333333333,-14.834063546551723,-43.09645472704917,-1.5423725308888896,0.011498765789473682,-0.00851725,-7.013704326363636,-5.904855685609756,-0.8062014527027027,0.06305706837209314,-11.651785235384612,1.4360840876923078,-3.213223908444443,-0.8418314400000001,2.2319951052631586,0.06444974499999997,0.39265949652173915,-1071.017515821639,-0.018548666666666668,-606.1750785217391,-24.493959368181812,0.27195389259259256,-0.9152625926086957,0.2471788479310348,-184.7242867255357,32530.758027928197,0.002027735909090909,-1.66603186,-40.462208,0.0007777839999999999,-3.3103381999999995,0.006176499999999998,-24.849007123529418,0.048957153846153845,-0.43252535954545457,-0.021672090909090905,-0.03548200000000001,-0.26082218181818184,-0.5398958594285715,-24.022083,-285.5570775637706,-4.5804225,0.07214321428571428,-2.9984764626470595,0.008570464736842106,-392.3304971643998,-1.026433034102564,0.041518933333333334,-6.294183770869568,-337.6975692578688,-16.608549582187504,-5.664825625,-38.31663697941177,0.014802644347826324,0.057226802500000014,-75.7688028082609,0.0015833749999999997,0.017196473684210525,1.4362877640983607,-11.28434506871795,-0.9284868050000001,-0.21555944700000004,-16.115140352295075,-1.3968866784615381,0.025848054499999995,0.05810772086956523,-261.62636348599995,-0.6288645990697673,0.04062873874999999,-10.534812363478265,-0.01899330769230769,-0.0818934488888889,-1.7756937515789473,-2.986104037368422,-0.4774874238095239,-31.098049142459022,-0.062538385,0.00043359999999999997
Variance,0.31271248185884626,22.445942989881196,2.423813695846235,21.378778266931214,12117.949964808044,1.1364756151035236,218.91112509769852,1.3619152211093966,111.20789633923947,19.850833216606,30164.15249316123,4819114.595157945,370385.4705797816,0.7708958365782498,1279527.4723253862,157.48916339523205,28.774697321696998,72.70644233230239,1.0233460442805378,0.0025870887103333342,0.0010752432177631474,3.1836753996901157,0.00006722639033333332,1588.6513329513864,9331.537218952873,31.93282824189621,0.0016456596607644588,0.000010302694250000001,62.12533473523917,103.88278306756702,5.369306594234679,1.6309759781977338,1715.9662397802106,9.456944215368107,92.6202451357135,0.5709884976887272,433.9217504105753,0.02345066285642379,25.06166853491258,6836227.581766301,0.000006241797333333333,2558054.0384525713,1105.6723958716486,2.9710068304409427,6.425286858149789,140.72357678897632,44699.78668258087,955777189.3986328,0.00003865706627772056,12.490808948121094,2544.287953457941,8.5904541733e-7,51.262915532636185,0.0010903377488181815,1680.4242599486272,0.0013050409691410256,1.1915389741103364,0.0037454545892909087,0.005734945884000002,0.16187316836296364,3.591574318775132,,463304.8100479826,21.752282224200496,0.05073090282556592,25.159117236223057,0.0009409997383338597,1026463.9465738124,0.9846759821226866,0.007964224051638094,253.0397319263947,923419.6941760948,446.60208322842954,8.444330544999412,1308.515661513993,187.1538255884645,0.07892745030871441,53563.03884976536,0.000004743141583333333,0.0004661188371520467,511.59189170572466,170.05658049086244,5.053098628028798,0.09541515844160232,1247.366847124424,8.890630786335848,0.010410246822427822,0.02280234450076507,289121.7430096965,3.252669571837421,0.032267906760524025,101.94746553963964,0.0015963335752307694,0.03822998897198107,10.873642957936891,156.01473692538917,7.441317445790229,5798.8175065131845,0.2225960311443109,1.0163315555555556e-7
Standard Deviation,0.5592070116324064,4.737714954477654,1.5568602043363542,4.623719094725718,110.0815605122313,1.0660561031688358,14.795645477561921,1.167011234354407,10.545515461049757,4.455427388770464,173.67830173387011,2195.248185321638,608.5930254117127,0.8780067406223313,1131.1620009200212,12.549468649916301,5.3642051901187555,8.526807276601389,1.0116056762793186,0.050863431955908506,0.03279090144785818,1.7842856833170286,0.008199170100280474,39.85788921846447,96.59988208560543,5.650913929790137,0.04056673095979585,0.0032097810283569193,7.881962619502783,10.192290373982043,2.317176427084196,1.2770966988438008,41.42422286271899,3.075214499082642,9.623941247519827,0.7556378085357609,20.83078852109481,0.15313609259878544,5.006163055166359,2614.6180565746695,0.0024983589280432334,1599.3917714095478,33.251652528433056,1.723660880347681,2.534814955405974,11.862696859861854,211.4232406396725,30915.64635259358,0.006217480701837406,3.5342338558902826,50.44093529523359,0.0009268470301673303,7.159812534741128,0.03302026270062341,40.99297817856891,0.03612535078225574,1.091576371176262,0.061200119193437104,0.0757294254830974,0.40233464723158463,1.8951449334483979,,680.664976363543,4.663934200243449,0.22523521666374893,5.015886485579898,0.030675719035319446,1013.1455702779401,0.9923084107890483,0.08924250137483873,15.907222633960798,960.9472900092361,21.132962007925663,2.905913031217454,36.17341097427768,13.680417595543805,0.28094029669791837,231.43690036328556,0.00217787547470771,0.02158978548184411,22.6183971957724,13.040574392673907,2.2479098353868197,0.30889344188830287,35.31808102267766,2.9817160807722534,0.10203061708344129,0.1510044519236604,537.7004212474606,1.8035158917618168,0.1796326995859162,10.096903760046425,0.03995414340504336,0.19552490627022703,3.2975207289624264,12.490585932028536,2.72787782823759,76.14996721281753,0.4718008384311233,0.00031879955388230323
Skewness,0.9629485420321952,-2.573674403027974,-3.916426325368547,-1.8447335382648995,-2.5011671644898827,-2.2418840328955802,0.41414103007206404,-3.3689710128687453,-2.4273011735721015,-3.5684972477131693,-2.9904072328015054,-2.226591949461369,-2.165718802290528,-1.3236962693700072,-3.2059053509299713,-2.3476157595876215,2.828288274411688,1.3125653959522485,-0.6527728593777027,-1.5978105141638945,3.3124568317052305,-1.7320335886556446,-1.647188912385679,-4.169716270089395,-2.693795463284647,-2.596714310206179,2.0314768450383913,1.6136033901670266,-0.5335644881403867,-1.8153640667528004,-1.489773113757759,-0.15469826479770296,-3.6051527351219614,-0.505566992590647,-4.960521737431975,-1.5628802931493246,4.1609239436467815,3.610345830628242,-2.08101585185628,-3.091287144050157,0.22518005752075995,-2.9944304414517604,-1.5441576581844447,4.964495240194123,-2.838401839917596,-3.7427648386895394,-2.1282310126690622,1.0002117369084302,-1.5656051805001332,-1.0585686506394125,-1.1675916501922585,0.804115921256947,-2.2342434962007145,0.4362610329123172,-1.7011982519767386,1.5322599414618383,-3.0318738732632817,-1.624975655640307,0.8242091657115298,-1.8979481062787915,-3.5831261576987528,,-3.3104634546107587,,2.5141648460457477,-2.285198732291955,1.6115875468648673,-2.6727741052322713,-1.657593454050384,3.3387675284230633,-3.551913131321393,-3.027007499816313,-2.011301392754654,-0.1341248114873039,-0.995971741480903,4.663122020269978,1.3286700040394357,-0.47543804494488157,2.069938517657181,1.657594056585685,0.06503663502930851,-1.6854020632846871,-2.953344049710284,-1.566697438716915,-2.343256020716678,-1.986507832859312,4.461317684012297,-1.1228290530025637,-2.720432282964965,-2.4561825894268563,3.8634842292395675,-0.7302032326521326,-2.067998744198831,-2.1545730658905295,-2.549840591593254,-1.7780137824185558,-2.9178751377204843,-3.2498819799455156,-2.22553424522729,1.7830620206849015
Kurtosis,6.515050868573351,6.217206630738048,18.07627776684099,1.96890796262789,6.555300847312562,5.816506539543147,1.1354243977842078,10.525283250607924,10.923639157253103,13.266329253260206,7.916750517163241,3.927850185555238,3.369690208927051,1.2250104522473784,9.902626657163053,10.434298396351885,7.999408833773236,0.8510781419431996,-1.0317396768490568,,10.97972345139289,,,21.13371411630697,7.473574584305462,8.31359292482528,5.929022623757195,2.4162445496334204,-0.018538903266229756,2.524072782465376,2.015488386392839,2.0597815829631423,12.997937882064116,0.9834406557930748,29.488999873863328,2.4348238806583273,17.418257953896127,15.844090472507686,6.7356261160604785,9.243739297462987,,9.05468783806481,1.6557248576291834,25.459070908261317,7.117352236871207,18.29718125374997,4.639969145756388,-0.01928126451993739,3.728147282925394,0.5454629876261894,-0.07960958889294023,-1.8449329475320306,4.9933975996110185,1.4007486412996792,1.6810627926156045,3.646005223815347,10.36136258469134,1.8106356630921923,,2.929203986589396,12.116437097310406,,10.852192985105779,,8.425448936972046,4.582847553401807,4.78683040930914,6.346792167137906,3.829992617194522,11.840657018307628,13.117477407352643,8.5151101820079,3.556644897286373,-0.14164396988042238,0.7125932762979592,22.121048933908128,4.0959317972463705,5.1376517474811685,4.318018913339146,3.2829709169869052,0.9855770116247555,2.3647375344313684,8.415892843527766,2.6523628337091063,5.054481446543313,2.608516927048734,19.93197465619152,3.1303505595145076,7.0576991795667325,6.7268132539339796,15.241058229117844,-0.8976093251291757,3.524199869122223,3.958847461738027,6.190297234477134,2.309512874313071,8.493264622740101,12.311677548213677,9.503625598667721,1.5854241903202526
Coefficient Variation,-4.455752387213635,-2.6136449401346313,-3.183957341204079,-1.9530220039978239,-2.6472642647750484,-1.628912961166078,3.818753217418605,-3.354415426219961,-5.263443980717028,-2.686965060303441,-2.3612269898244964,-1.8684061657142517,-1.8721103063587952,19.42439071092795,-2.831538615965174,-9.205578797733663,2.8094925997448907,1.5229628338981624,-1.1115937081856073,-0.38741677592817225,3.017962578815236,-1.7291271553121053,-1.30366283129327,-2.686916440217738,-2.2414809454146405,-3.6637801935784227,3.5279204483781954,-0.3768565004381601,-1.1237945389108395,-1.72608627825077,-2.8741903395436883,20.253030022071233,-3.5551824914280292,2.1413888820565576,-2.9951044563772347,-0.8976117695672673,9.332811022736898,2.376054282275058,12.749374711453589,-2.4412467750995144,-0.13469210337004817,-2.6384980644699816,-1.3575450186966374,6.338062911751938,-2.7694947612588474,47.99236244992798,-1.1445340750120543,0.9503512437691117,3.0662181766189054,-2.1213483011605088,-1.246618456788952,1.191650934150523,-2.162864366771084,5.346112312899445,-1.6496827408348578,0.737897282504992,-2.523728024464071,-2.8239139199884575,-2.1343054360830105,-1.5425629999217267,-3.5102046077075473,,-2.3836389634276776,-1.018232313775301,3.122056854463577,-1.6728116922258132,3.5792363631639295,-2.5823778105462893,-0.9667541649774047,2.1494410913295474,-2.5272891947613325,-2.845585451269412,-1.2724146623008274,-0.5129748422251663,-0.944065393675189,924.187413686845,4.909243299027904,-3.0545144147117567,1.3754641033916226,1.2554774820879375,15.747817227957276,-1.1556341385575413,-2.4210466139977287,-1.4329849430737442,-2.191608651900308,-2.1345440018485737,3.9473228858845566,2.5986985836636247,-2.055222623908977,-2.8678922210434865,4.4213210922260355,-0.9584322351150775,-2.1035905937134283,-2.3875524712057326,-1.8570323435729108,-4.182903802319015,-5.712983614256983,-2.4487056041354016,-7.544180081259267,0.7352388235292971
Min,-1.62324292,-18.459329,-8.49609091,-12.126897,-492.849148,-4.3652867,-30.81938,-4.67297502,-43.544721,-17.74563,-706.259307,-8208.329188,-1984.385096,-1.184634,-5345.721305,-55.84389593,-0.00569091,-2.64,-2.541,-0.189509,0.000061,-3.092213,-0.015705,-248.823832,-443.603444,-25.705833,-0.049625,-0.010668,-25.1065263,-37.966674,-7.742624,-3.15,-149.515636,-7.051696,-60.41142959,-2.655557,-14.08,-0.1133,-18.83545455,-11465.060766,-0.020982,-6573.136244,-133.46867181,-1.21,-9.061186,-55.365565,-930.376634,1489.83078215,-0.014544,-8.453733,-127.82916,0.00003481,-16.1161,-0.045885,-136.414093,0.000034,-4.60654545,-0.156324,-0.102984,-1.236758,-7.998488,,-3103.028045,-7.878322,-0.244105,-18.869454,-0.050988,-3958.505954,-4.704,0.002073,-70.476931,-4082.669738,-85.920818,-10.25092,-140.591396,-7.1214,-0.399541,-771.134231,0.00011,-0.011157,-51.87182901,-53.305755,-8.708324,-1.1,-146.949845,-9.64751818,-0.004758,-0.347245,-2275.043335,-7.433774,-0.05088,-33.41049772,-0.123868,-0.671,-13.899392,-33.887454,-10.970717,-420.405804,-1.68744545,0.000249
Max,1.98167273,1.61727273,1.0871942,0.28591,75.598,0.06473,43.448,0.23636364,27.76509091,0.023255,0.555,87.182,-1.70727273,0.748443,560.93332237,22.1781408,15.18488182,28.1391994,0.37,-0.095479,0.10969942,0.00090909,-0.000724,11.2,42.2918528,5.84432562,0.143114,-0.003876,10.71141089,0.4480793,1.985622,3.7070243,0.52941,7.180524,10.12782895,-0.07758999,101.76568426,0.76747,9.796,468.92766067,-0.01599,7.7,0.072,8.783,0.41627273,14.585,0.112,112961.38490843,0.013464,2.66801818,-0.0495,0.00207,0.012804,0.076809,5.125644,0.144152,0.39982727,0.046049,0.04641,0.008827,0.22584972,,31.482,-1.282523,0.777235,0.1928958,0.09989,561.87297,-0.000319,0.349405,0.04815,561.37699727,-0.003,-1.19751,0.039999,62.23909091,1.022317,562.74636364,0.008013,0.081467,59.228277,-0.218184,0.18181818,0.10909091,22.2201859,0.628,0.459012,0.365844,1.27,1.562,0.707544,2.963548,0.000221,0.12969172,2.148837,10.95207013,2.26818182,34.554,0.86934545,0.001094
Median,-0.01318232,-0.038335140000000004,-0.079974,-0.051354545,-4.2,-0.112335,4.2,0.0019097849999999998,-0.064,-0.0283845,-10.328600475,-254.44396369,-53.950605,0.308498,-13.34532117,-0.196,0.00396951,1.14454545,-0.649298045,-0.108878,0.000797,-0.004395,-0.002439,-2.21409091,-8.63379327,-0.49545455,0.003211,-0.0097625,-4.620215345,-0.19724495,0.05313364,-0.002747,-0.1187,0.99,-1.11363636,-0.543382,-0.800539,0.018183285,0.92649559,-59.779,-0.018674,-3.1,-5.609275,0.00495388,0.000259,0.05262,-105.90623554999999,23125.11146297,0.0031997249999999996,-1.13257273,-14.243286000000001,0.000296,-0.0968,0.0036705,-3.3017253650000002,0.042869,-0.030871500000000003,0.000524,-0.049872,-0.095271,-0.001954,[object Object],-56.13274505,-4.5804225,0.0102505,-0.8588960299999999,0.002885,-21.276,-0.74015455,0.005089,-0.556308,-11.276,-10.553718499999999,-5.363367,-33,-3.028687,0.01557391,-13.1607,0.0006385,0.007974,2.8,-7.32394476,-0.025965955,-0.1166485,-2.099,-0.068826,0.00231,0.078502,-27.06335909,-0.136621,0.00249,-6.408617,0.00018,-0.00048918,-0.8632309300000001,1.206984,-0.030538000000000003,-4.95,0.0024175,0.0003035
No. of Obs,34,34,41,12,61,23,61,28,43,16,38,61,22,4,61,35,8,25,14,3,11,3,3,58,61,45,19,4,44,41,37,43,13,39,45,11,38,30,46,61,3,23,44,27,23,29,56,61,22,9,10,5,5,12,34,13,22,11,3,11,35,1,61,2,14,34,19,50,39,15,23,61,32,8,34,23,28,23,16,19,61,39,20,20,61,26,20,23,50,43,16,46,13,27,38,19,42,61,18,10
1958,,,,,4.6,,4.3,,,,,-8.6,,,-17.8,-2.4,,,,,,,,-1.5,0.3,,,,,,,,,,,,,,,-17,,-1.3,,,,,-11.2,,,,,,,,,,,,,,,,4.4,,,,,-17.8,,,,-20.2,,,,,,,,,4.4,,,,-2.4,,,,,,,,,,,,,0.3,,
1959,,,,,9.4,,7.8,,,,,0.7,,,-21.3,-1.6,,,,,,,,-0.8,1.6,,,,,,,,,,,,,,,-18.7,,-3.1,,,,,-7.4,,,,,,,,,,,,,,,,2.8,,,,,-21.3,,,,-22.9,,,,,,,,,2.8,,,,-1.6,,,,,,,,,,,,,1.6,,
1960,,,,,12.9,,7.7,,,,,39,,,10.9,2.9,,,,,,,,10.3,5.2,,,,,,,,,,,,,,,25.4,,1.3,,,,,,1489.83078215,,,,,,,,,,,,,,,6.9,,,,,10.9,,,,13.8,,,,,,,,,6.9,,,,2.9,,,,,,,,,,,,,5.2,,
1961,,,,,14.3,,8.7,,,,,36.7,,,16.7,2,,,,,,,,10,5.6,,,,,,,,,,,,,,,25.3,,3.8,,,,,,1606.46671811,,,,,,,,,,,,,,,5.2,,,,,16.7,,,,18.7,,,,,,,,,5.2,,,,2,,,,,,,,,,,,,5.6,,
1962,,,,,11.9,,7.6,,,,,35.9,,,23,2.6,,,,,,,,8.9,4.3,,,,,,,,,,,,,,,33.6,,4.5,,,,,,1748.49789229,,,,,,,,,,,,,,,8,,,,,23,,,,25.6,,,,,,,,,8,,,,2.6,,,,,,,,,,,,,4.3,,
1963,,,,,13.7,,9.5,,,,,48.8,,,21.3,5.8,,0.1,,,,,,11.2,3.3,,,,,,,,,,0.4,,,,,41.7,,4.4,,,,,,1890.00483346,,,,,,,,,,,,,,,9.4,,,,,21.3,,,,28,,,,,,,,,9.1,,,,6.7,,,,0.3,0.9,,,,,,,,2.8,,
1964,,,,,-3.8,,4.2,,,,,-28.1,,,-42.7,-2.1,,0.1,,,,,,-13.1,-8.1,,,,,,,0.1,,,,,,,,-40,,-4.7,,,,,-9.2,2091.67680072,,,,,,,,,,,,,,,3.8,,,,,-42.7,,,,-44.8,,,,,,,,,3.8,,,,-2.1,,,,,,,,,,,,,-8.2,,
1965,,,,,-4.2,,7.6,,,,,-16.3,,,-43.5,-2.7,,,,,,,,-9,-11.8,,,,,,,,,,,,,,,-40.6,,2,,,,,-8,2288.88244787,,,,,,,,,,,,,,,0,,,,,-43.5,,,,-46.2,,,,,,,,,-0.1,,,,-2.7,,,,0.1,,,,,,,,,-11.8,,
1966,,,,,16.5,,11.1,,0.4,,,47.4,,,24.2,2.1,,,,,,,,5.5,5.3,1.6,,,,,,,,,,,,,,41.6,,7.7,,,,,,2518.87016439,,,,,,,,,,,,,,,9.5,,,,,23.7,,,,25.9,,,,,,,,,9.1,,,,2.2,,,,0.4,0.1,,,,,,,,3.7,,
1967,,,,,-5.559,,7.067,,,,,-25.338,,,-46.619,1.465,,,,,,,,-12.184,-12.626,0.133,,,-0.879,,,,,,-1.267,,,,2.465,-42.308,,-2.428,-0.763,,,,-10.461,2715.34051429,,,,,,,,,,,,,,,-0.762,,,,,-44.441,,,,-42.976,,,,,,,,,4.475,,,,1.465,,,,-5.237,,,-0.719,,,,,,-10.613,,
1968,,,,,-5.692,,4.228,,,,,-31.365,,,-21.252,0.725,,,,,,,,-5.935,-9.92,,,,,,,,,,,,,,,-13.504,,-15.613,,,,,-11.873,3012.5022239,,,,,,,,,,,,,,,4.339,,,,,-21.252,,,,-20.527,,,,,,,,,4.339,,,,0.725,,,,,,,,,,,,,-9.92,,
