,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Philippines,AO: Imports: cif: Advanced Economies: South Korea,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Malaysia,AO: Imports: cif: Advanced Economies: Israel,AO: Imports: cif: Advanced Economies: Cyprus,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Bangladesh,AO: Imports: cif: Advanced Economies: Slovenia,AO: Imports: cif: Advanced Economies: Latvia,AO: Imports: cif: Advanced Economies: Czech Republic,AO: Imports: cif: Advanced Economies: Slovak Republic,AO: Imports: cif: Advanced Economies: New Zealand,AO: Imports: cif: Advanced Economies: Luxembourg,AO: Imports: cif: Advanced Economies: Netherlands,AO: Imports: cif: Advanced Economies: Norway,AO: Imports: cif: Advanced Economies: Sweden,AO: Imports: cif: Advanced Economies: France,AO: Imports: cif: Advanced Economies: Germany,AO: Imports: cif: Advanced Economies: Italy,AO: Imports: cif: Advanced Economies: Belgium,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Samoa,AO: Imports: cif: Advanced Economies: Singapore,AO: Imports: cif: Advanced Economies: Hong Kong SAR,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: India,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Indonesia,AO: Imports: cif: Advanced Economies: Malta,AO: Imports: cif: Advanced Economies: Portugal,AO: Imports: cif: Emerging and Developing Economies: Europe,AO: Imports: cif: Advanced Economies: Finland,AO: Imports: cif: Advanced Economies: Greece,AO: Imports: cif: Advanced Economies: Japan,AO: Imports: cif: Advanced Economies: Denmark,AO: Imports: cif: Advanced Economies: United States,AO: Imports: cif: Advanced Economies: United Kingdom,AO: Imports: cif: Advanced Economies: Austria,AO: Imports: cif: Advanced Economies: Spain,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Cambodia,AO: Imports: cif: Advanced Economies: Lithuania,AO: Imports: cif: Advanced Economies: Ireland,AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Georgia,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Albania,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: American Samoa,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Asia Not Specified,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Macau SAR,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Papua New Guinea,AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Armenia,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: New Caledonia,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Romania,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Croatia,"AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Macedonia, Former Yugoslav Republic",AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Poland,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Hungary,"AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Serbia, Republic of","AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Marshall Islands, Republic","AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Azerbaijan, Republic of",AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Belarus,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Lao People Democratic Republic,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Turkey,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Sri Lanka,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Bulgaria,AO: (DC)Imports: cif: Developing Countries: (Old)Asia,AO: (DC)Imports: cif: Advanced Economies: San Marino,AO: (DC)Imports: cif: Advanced Economies: (Old)Belgium-Luxembourg,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Solomon Islands,"AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Micronesia, Federated States of",AO: (DC)Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: (Old)Serbia & Montenegro,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Kiribati,AO: (DC)Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Faroe Islands,AO: (DC)Imports: cif: Emerging and Developing Economies: Europe: (Old)Central and Eastern Europe,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Mongolia,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Nepal,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Tonga,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Oceania Not Specified,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Tuvalu,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Fiji,AO: (DC)Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: (Old)Czechoslovakia,"AO: (DC)Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: (Old)Yugoslavia, Socialist Fed. Rep.",AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: French Polynesia,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Maldives,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Palau,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Vanuatu,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Brunei Darussalam,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Bosnia & Herzegovina,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Timor-Leste,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Gibraltar,AO: Imports: cif: Emerging and Developing Economies: Europe: CIS,AO: Imports: cif: Advanced Economies: Canada,AO: Imports: cif: Advanced Economies: Iceland,AO: Imports: cif: Advanced Economies: Switzerland,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Thailand,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Vietnam,AO: Imports: cif: Advanced Economies: Estonia,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Myanmar,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: China,AO: Imports: cif: Advanced Economies: Taiwan,AO: Imports: cif: Advanced Economies: Vatican,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Nauru,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Guam,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Bhutan,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia
04/1983,,,,,,0.121,,,,,,,9.79,0.385,4.84,5.72,3.96,4.29,,,,0.22,,,,9.801,0.97829,,,3.19,2.145,10.23,1.1,,3.135,,,,,,,,0.2805,,,,0.24566667,,,0.16225,0.11,,,,,,,,,0.689132,,3.52,,,,,,0.97829,,,,0,,,,0.46037333,,,,,,,,,,0.77,,1.1,,,,,0.06763191,,,0.97829,,,,0.18863191
05/1983,,,,,,0.022,,,,,,,4.07,0.462,0.44,13.75,2.97,1.54,,,,0.11,,,,12.166,0.84885905,0.044,,4.4,0.99,7.37,3.3,,2.211,,,,,,,,,,,,0.24566667,,,0.16225,0.011,,,,,,,,,0.398185,,2.2,,,,,,0.848859,,,,0,,,,0.42994238,,,,,,,,,,,,1.1,0.187,,,,0.07918488,,,0.84885905,,,,0.28818488
06/1983,,,,,,,,,,,,,5.94,,0.11,6.82,2.64,3.08,,,,0.11,,,,10.351,0.93654348,,,0.66,0.429,2.86,2.53,0.66,0.407,,,0.363,,,,,,,,,0.24566667,,,0.16225,0.011,,,,,,,,,0.183183,,1.76,,,,,,0.936543,,,,0,,,,0.51762681,,,,,,,,,,,,0.99,,,,,0.0731832,,,0.93654348,,,,0.0731832
07/1983,,0.11,,,,0.044,,,,,,,5.06,0.011,1.1,7.81,4.07,1.87,,,,,,,,10.252,1.1233949,0.176,,2.75,2.2,8.36,2.09,1.1,2.409,,,,,,,,,,,,0.24566667,,,0.16225,0.253,,,,,,,,,0.264,,3.3,,,,,,1.12339,,,,0,,,,0.46247824,,,,,,,,,,0.55,,0.88,,,,,,0.11,,1.1233949,,,,0.044
08/1983,,,,,,0.055,,,,,,,1.87,0.022,5.94,11.44,3.85,1.87,,,,,,,,5.797,0.87027462,0.088,,0.44,0.121,5.83,1.65,,1.045,,,,,,,,,,,,0.24566667,,,0.16225,,,,,,,,,,0.055,,2.31,,,,,,0.870275,,,,0,,,,0.46235796,,,,,,,,,,,,0.33,,,,,,,,0.87027462,,,,0.055
09/1983,,0.11,,,,,,,,,,,2.64,0.011,0.11,5.06,4.18,1.1,,,,0.11,,,,9.911,0.88254323,0.011,,0.33,0.099,16.72,1.32,0.66,0.715,,,,,,,,,,,,0.24566667,,,0.16225,,,,,,,,,,0.22,,4.07,,,,,,0.882543,,,,0,,,,0.47462656,,,,,,,,,,0.44,,0.99,,,,,,,,0.88254323,,,,
10/1983,,,,,,,,,,,,,3.08,0.033,2.86,8.58,4.18,1.1,,,,0.22,,,,7.81,1.04940757,0.121,,0.22,1.199,9.68,7.7,0.22,1.243,,,0.022,,,,,,,,,0.24566667,,,0.16225,0.165,,,,,,,,,0.321384,,3.19,,,,,,1.04941,,,,0,,,,0.47649091,,,,,,,,,,,,1.32,,,,,0.1013835,,,1.04940757,,,,0.1013835
11/1983,,,,,,,,,,,,,3.63,0.11,0.99,7.92,6.38,2.97,,,,0.33,,,,7.469,1.05349711,,,8.03,1.265,5.61,3.74,0.55,1.551,,,,,,,,,,,,0.24566667,,,0.16225,0.165,,,,,,,,,0.428438,,4.95,,,,,,1.0535,,,,0,,,,0.48058044,,,,,,,,,,,,0.22,,,,,0.09843769,,,1.05349711,,,,0.09843769
12/1983,,,0.198,,,,,,,,,,8.47,0.253,1.98,6.05,4.18,4.95,,,,,,,,14.531,1.22654524,,,5.17,0.55,11.99,6.38,0.55,19.107,,,,,,,,,,,,0.24566667,,,0.16225,,,,,,,,,,0.438179,,2.09,,,,,,1.22655,,,,0,,,,0.81862858,,,,,,,,,,,,0.22,,,,,0.13017881,0.11,,1.22654524,,,,0.32817881
01/1984,,,,,,,,,,,,,11.33,0.264,5.61,10.56,4.62,2.31,,,,0.11,,,,13.519,1.51444007,,0.341,,0.495,6.49,2.42,,3.685,,,,,,,,,,,,0.594,,,0.09991667,0.143,,,,,,,,,0.11,,2.09,,,,,,1.51444,,,,0,,,0.09935769,0.57816572,,,,,,,,,,,,0.22,,,,,,,,1.51444007,,,,
02/1984,,,,,,,,,,,,,5.61,0.022,1.32,4.51,6.93,1.65,,,,0.55,,,,8.184,1.31878056,0.011,0.66,0.44,0.319,8.03,2.2,1.21,2.761,,,,,,,,,,,,0.594,,,0.09991667,,,,,,,,,,0.605,,1.98,,,,,,1.31878,,,,0,,,0.09935769,0.5255062,,,,,,,,,,,,0.33,0.055,,,,,,,1.31878056,,,,0.055
03/1984,,1.54,,,,,,,,,,,6.38,0.363,1.1,7.81,3.85,1.32,,,,,,,,21.681,1.83356893,0.011,,4.18,0.407,6.16,5.61,0.44,15.158,,,,,,,,,,,,0.594,,,0.09991667,0.374,,,,,,,,,1.749,,4.84,,,,,,1.83357,,,,0,,,0.09935769,0.66629457,,,,,,,,,,,,0.33,0.099,,,,,0.11,,1.83356893,,,,0.099
04/1984,,0.33,,,,,,,,,,,3.63,0.451,0.99,4.29,3.63,2.64,,,,0.66,,,,7.469,1.4737778,,,0.44,1.551,10.12,2.53,0.22,10.549,,,,,,,,,,,,0.594,,,0.09991667,0.044,,,,,,,,,2.09,,2.09,,,,,,1.47378,,,,0,,,0.09935769,0.63650344,,,,,,,,,,0.11,,0.77,,,,,,1.1,,1.4737778,,,,
05/1984,,0.33,,,,,,,,,,,5.39,0.011,1.98,6.05,5.72,4.95,,,,,,,,22.946,1.53059236,,0.154,0.77,1.056,5.61,2.53,0.11,6.611,,,,,,,,,,,,0.594,,,0.09991667,0.055,,,,,,,,,1.21,,1.98,,,,,,1.53059,,,,0,,,0.09935769,0.682318,,,,,,,,,,,,0.44,,,,,,0.88,,1.53059236,,,,
06/1984,,0.55,0.198,,,,,,,,,,5.5,0.099,5.83,7.37,3.85,3.52,,,,,,,,12.914,1.8321758,0.011,0.341,5.28,1.474,9.46,3.19,0.33,4.048,,,,,,,,,,,,0.594,,,0.09991667,0.429,,,,,,,,,1.518,,1.32,,,,,,1.83218,,,,0,,,0.09935769,0.60990144,,,,,,,,,,,,0.44,0.11,,,,,0.66,,1.8321758,,,,0.308
07/1984,,0.11,,,,,,,,,,,3.74,0.022,1.76,10.34,4.51,3.52,,,,,,,,14.608,1.41414329,0.022,,0.33,0.132,4.51,4.95,0.22,17.457,,,,,,,,,,,,0.594,,,0.09991667,,,,,,,,,,3.63,,2.42,,,,,,1.41414,,,,0,,,0.09935769,0.62086893,,,,,,,,,,,,0.88,,,,,2.75,0.77,,1.41414329,,,,2.75
08/1984,,0.44,,,,,,,,,,,5.28,,3.41,12.87,5.5,6.05,,,,0.11,,,,15.972,1.47210604,0.264,,0.99,0.242,9.46,6.49,0.66,2.057,,,,,,,,,,,,0.594,,,0.09991667,0.11,,,,,,,,,1.21,,1.1,,,,,,1.47211,,,,0,,,0.09935769,0.56883169,,,,,,,,,,0.11,,0.66,,,,,0.11,0.55,,1.47210604,,,,0.11
09/1984,,0.44,,,,,,,,,,,5.06,0.066,1.43,9.02,5.5,9.02,,,,,,,,6.644,1.6522216,,,2.42,0.132,13.31,6.82,0.33,3.916,,,,,,,,,,,,0.594,,,0.09991667,0.231,,,,,,,,,0.77,,1.76,,,,,,1.65222,,,,0,,,0.09935769,0.62794724,,,,,,,,,,0.99,,0.55,,,,,,0.33,,1.6522216,,,,
10/1984,,,0.011,,,,,,,,,,3.3,0.011,2.09,10.56,5.28,3.3,,,,0.66,,,,17.952,1.54629767,0.132,,0.77,0.792,7.92,7.59,0.44,1.177,,,,,,,,,,,,0.594,,,0.09991667,,,,,,,,,,0.781,,1.54,,,,,,1.5463,,,,0,,,0.09935769,0.75302332,,,,,,,,,,0.11,,1.65,,,,,,0.11,,1.54629767,,,,0.011
11/1984,,1.1,,,,,,,,,,,7.15,0.165,1.32,14.85,6.05,3.41,,,,0.22,,,,19.624,1.54705695,0.154,,4.62,3.663,4.07,5.06,0.44,6.886,,,,,,,,,,,,0.594,,,0.09991667,0.099,,,,,,,,,1.87,,2.09,,,,,,1.54706,,,,0,,,0.09935769,0.6547826,,,,,,,,,,0.11,,1.21,,,,,,0.55,,1.54705695,,,,
12/1984,,0.99,,,,,,,,,,,12.43,0.154,2.09,10.34,3.52,8.14,,,,0.99,,,,9.493,4.95713119,,,2.86,1.672,28.27,2.09,0.55,8.756,,,,,,,,,,,,0.594,,,0.09991667,3.113,,,,,,,,,4.323,,2.53,,,,,,4.95713,,,,0,,,0.09935769,1.05085684,,,,,,,,,,,,0.55,0.143,,,,1.54,0.66,,4.95713119,,,,1.683
01/1985,,1.32,,,,,,,,,,,10.56,0.11,7.81,11.66,3.08,2.97,,,,0.11,,,,12.914,2.39304438,0.154,,1.76,0.341,11.99,7.15,0.44,0.968,,,,,,,,,,,,0.52221024,,,0.35136207,,,,,,,0.00554091,,,3.311,,0.88,,,,,,2.39304,,,,0,,,0.33693116,1.177,,,,,,,,,,,,0.55,0.341,,,,,1.54,,2.39304438,,,,0.341
02/1985,,1.1,,,,0.11,,,,,,,5.06,0.022,0.22,6.93,2.86,3.96,,,,0.11,,,,11.704,2.93061208,0.033,,2.97,0.583,29.26,2.97,0.55,5.346,,,,,,,,,,,,0.52221024,,,0.35136207,0.022,,,,,,0.00410862,,,1.65,,1.98,,,,,,2.93061,,,,0,,,0.33693116,1.694,,,,,,,,,,0.22,,0.55,,,,,,0.33,,2.93061208,,,,0.11
03/1985,,1.21,,,,,,,,,0.033,,3.63,0.286,3.3,7.48,7.48,4.51,,,,0.22,,,0.055,14.96,3.94361975,0.099,,5.5,0.616,3.3,3.63,0.55,6.347,,,,,,,,,,,,0.52221024,,,0.35136207,0.319,,,,,,0.00511629,,,3.663,,1.54,,,,,,3.94362,,,,0,,,0.33693116,2.409,,,,,,,,,,0.33,,0.99,2.233,,,,,,,3.94361975,,,,2.233
04/1985,,0.33,,,0.0022,,,,,,,,2.09,0.077,2.53,9.46,5.61,2.75,,,,0.11,,,,10.604,2.65201805,,,0.55,0.396,14.52,2.31,0.11,2.134,,,,,,,,,,,,0.74899751,,,0.35136207,0.033,,,,,,0.00472732,,,0.495,,1.54,,,,,,2.65202,,,,0,,,0.33693116,1.177,,,,,,,,,,0.55,,5.72,0.055,,,,,,,2.65201805,,,,0.055
05/1985,,0.33,,,,,,,,,,,7.48,0.033,1.43,9.9,4.62,4.4,,,,0.33,,,,10.054,3.34597097,0.022,0.121,6.05,0.726,11.11,3.19,0.33,6.347,,,,,,,,0.0022,,,,0.74899751,,,0.35136207,0.011,,,,,,0.00568025,,,0.6622,,4.29,,,,,,3.34597,,,,0,,,0.33693116,1.892,,,,,,,,,,,,2.53,,,,,,,,3.34597097,,,,
06/1985,,1.21,,,,,,,,,,,11.22,0.121,7.37,14.52,5.83,7.81,,,,0.55,,,,18.051,5.512305,0.968,0.143,0.44,1.716,25.85,2.75,0.33,2.277,,,0.319,,,,,0.0022,,,,0.74899751,,,0.35136207,1.056,,,,,,0.00501427,,,2.1912,,1.21,,,,,,5.51231,,,,0,,,0.33693116,3.014,,,,,,,,,,,,0.55,0.429,,,,,,,5.512305,,,,0.429
07/1985,,1.21,,,,,,,,,,,8.91,0.077,1.32,15.95,13.31,5.39,,,,0.44,,,,16.973,3.89831469,0.33,0.077,2.31,0.253,12.76,11.77,,7.359,,,,,,,,0.088,,,,0.66382307,,,0.35136207,0.022,,,,,,0.00519839,,,4.268,,5.72,,,,,,3.89831,,,,0,,,0.33693116,2.519,,,,,,,,,,0.22,,1.21,,,,,2.09,0.44,,3.89831469,,,,2.09
08/1985,,1.98,,,,,,,,,,,9.13,0.374,1.76,16.94,6.82,3.52,,,,0.99,,,,15.268,4.48248242,,0.011,6.16,1.419,11.55,7.92,0.33,8.151,,,,,,,,0.2167,,,,0.66382307,,,0.35136207,0.143,,,,,,0.00636612,,,4.5067,,1.43,,,,,,4.48248,,,,0,,,0.33693116,2.981,,,,,,,,,,0.44,,0.55,,,,,,1.32,,4.48248242,,,,
09/1985,,2.75,,,0.0022,,,,,,,,6.71,0.022,3.85,14.63,3.96,8.58,,,,0.44,,,,10.373,2.02887616,0.022,,12.43,0.517,12.87,5.5,0.33,2.365,,,,,,,,,,,,0.66382307,,,0.35136207,0.176,,,,,,0.00575986,,,4.29,,1.76,,,,,,2.02888,,,,0,,,0.33693116,0.495,,,,,,,,,,,,0.77,,,,,,1.1,,2.02887616,,,,
10/1985,,1.76,,,,,,,,,,,12.76,0.132,13.2,16.72,5.5,9.79,,,,0.77,,,,12.804,6.59865002,0.319,,0.66,1.221,4.84,6.93,0.11,12.067,,,0.011,,,,,0.649,,,,0.58030251,,,0.35136207,0.022,,,,,,0.00605428,,,9.713,,3.41,,,,,,6.59865,,,,0,,,0.33693116,5.302,,,,,,,,,,1.43,,1.32,3.894,,,,1.76,0.88,,6.59865002,,,,5.654
11/1985,,0.22,,,,,,,,,0.011,,3.85,1.188,1.87,13.86,11.33,10.89,,,,0.44,,,,11.319,3.45231496,0.165,,8.58,0.528,5.72,4.73,0.55,12.485,,,0.077,,,,,,,,,0.58030251,,,0.35136207,0.319,,,,,,0.00571923,,,1.265,,1.98,,,,,,3.45231,,,,0,,,0.33693116,1.859,,,,,,,,,,,,0.88,0.385,,,,,0.22,,3.45231496,,,,0.385
12/1985,,1.1,,,0.0022,,,,,,,,8.91,0.044,1.21,13.75,8.14,21.45,,,,0.55,,,,26.389,12.48431018,0.011,,3.85,0.363,6.82,2.97,0.77,14.289,,,,,,,,,,,,0.58030251,,,0.35136207,3.905,,,,,,0.00671445,,,1.65,,2.64,,,,,,12.4843,,,,0,,,0.33693116,7.304,,,,,,,,,,,,0.88,,,,,,,,12.48431018,,,,
01/1986,,0.44,,,,,,,,,0.011,,11,0.143,1.87,6.49,5.94,3.41,,,,,,,,14.003,4.97790537,0.33,0.011,6.71,0.517,7.7,7.7,0.22,5.577,,,,,,,,1.2419,,,,0.15719069,,,0.05376671,0.055,,,,,,,,,2.0779,,6.38,,,,,,4.97791,,,,0,,,0.42194797,4.29,,,,,,,,,,,,0.55,0.396,,,,,,,4.97790537,,,,0.396
02/1986,,,0.077,,,,,,,,,,5.94,,5.94,8.8,4.95,3.52,,,,1.1,,,0.066,6.798,3.78423928,,,1.76,0.693,5.06,3.41,0.44,0.935,,,0.176,,,,,0.022,,,,0.15719069,,,0.08110063,0.165,,,,,,,,,1.705,,6.49,,,,,,3.78424,,,,0,,,0.42194797,2.959,,,,,,,,,,,,0.44,0.506,,,,,,,3.78423928,,,,0.583
03/1986,,1.65,,,,,,,,,,,10.67,0.022,0.88,8.36,4.18,6.93,,,,0.55,,,,6.358,5.01868326,0.022,,0.11,0.198,4.73,4.07,0.44,2.024,,,0.022,,,,,,,,,0.15719069,,,0.11654461,0.627,,,,,,,,,5.181,,5.83,,,,,,5.01868,,,,0,,,0.42194797,3.696,,,,,,,,,,0.22,,0.66,0.011,,,,2.97,,,5.01868326,,,,2.981
04/1986,,1.98,,,,,,,,,,,2.53,0.132,2.31,7.37,4.73,4.62,,,,0.22,,,0.055,8.129,3.90964475,0.022,,3.3,0.605,12.43,3.96,0.22,2.255,,,,,,,,0.3509,,,,0.15719069,,,0.0855061,,,,,,,,,,2.5619,,2.31,,,,,,3.90964,,,,0,,,0.42194797,3.245,,,,,,,,,,0.44,,0.11,0.011,,,,,,,3.90964475,,,,0.011
05/1986,,,,,,,,,,,,,2.42,0.451,0.77,22.77,3.19,7.59,,,,2.64,,,,8.14,1.63005518,,,,0.495,12.98,1.21,,3.047,,,,,,,,,,,,0.15719069,,,0.09391653,0.022,,,,,,,,,2.761,,1.21,,,,,,1.63006,,,,0,,,0.42194797,0.935,,,,,,,,,,0.22,,0.11,0.011,,,,,0.11,,1.63005518,,,,0.011
06/1986,,,0.011,,0.0022,,,,,,,,2.97,0.11,1.65,20.35,2.53,4.84,,,,,,,,5.423,3.33729891,,,0.22,0.638,8.14,2.31,0.22,3.179,,,0.022,,,,,0.0594,,,,0.15719069,,,0.12916026,0.627,,,,,,,,,0.0814,,3.3,,,,,,3.3373,,,,0,,,0.42194797,2.002,,,,,,,,,,,,0.11,0.011,,,,,,,3.33729891,,,,0.022
07/1986,,,,,,,,,,,,,3.19,0.264,9.68,15.95,2.86,4.95,,,,1.21,,,,12.76,2.28894015,0.022,,0.44,0.253,6.49,2.2,0.11,4.994,,,,,,,,,,,,0.15719069,,,0.0818015,0.011,,,,,,,,,1.221,,1.1,,,,,,2.28894,,,,0,,,0.42194797,1.617,,,,,,,,,,,,0.33,0.011,,,,,,,2.28894015,,,,0.011
08/1986,,0.66,0.011,,,,,,,,,,1.87,0.088,6.38,15.95,4.07,3.52,,,,0.11,,,,6.105,1.24764475,0.011,,0.11,0.407,8.36,4.51,0.11,8.404,,,,,,,,,,,,0.15719069,,,0.0855061,0.055,,,,,,,,,2.497,,0.66,,,,,,1.24764,,,,0,,,0.42194797,0.528,,,,,,,,,,,,0.66,1.606,,,,0.11,,,1.24764475,,,,1.727
09/1986,,7.37,,,,,,,,,0.011,,5.17,0.011,0.88,8.58,3.52,3.52,,,,1.1,,,,7.535,3.07558811,0.088,0.671,6.38,0.594,6.38,2.97,0.22,3.575,,,,,,,,0.1628,,,,0.15719069,,,0.12044945,0.088,,,,,,,,,8.6328,,0.66,,,,,,3.07559,,,,0,,,0.42194797,2.288,,,,,,,,,,0.11,,0.22,,,,,,,,3.07558811,,,,
10/1986,,2.97,,,,,,,,,,,5.94,0.121,1.32,17.93,4.73,12.43,,,,0.33,,,,7.337,0.8800527,0.154,,0.44,0.297,6.05,6.93,,3.421,,,,,,,,,,,,0.15719069,,,0.09191405,0.044,,,,,,,,,3.3,,7.37,,,,,,0.880053,,,,0,,,0.42194797,0.165,,,,,,,,,,,,0.33,,,,,,,,0.8800527,,,,
11/1986,,27.28,,,,,,,,,,,5.61,0.66,1.32,10.67,2.86,16.83,,,,0.11,,,,8.558,2.47718264,0.209,,0.22,0.176,1.65,8.25,0.44,0.869,,,,,,,,,,,,0.15719069,,,0.11604399,0.11,,,,,,,,,28.952,,1.65,,,,,,2.47718,,,,0,,,0.42194797,1.672,,,,,,,,,,,,2.86,1.562,,,,,,,2.47718264,,,,1.562
12/1986,,0.88,,,0.0044,,,,,,,,4.4,0.429,1.76,6.49,4.18,3.3,,,,0.44,,,,9.922,4.64832873,0.022,,0.77,0.66,11.44,1.87,,11.121,,,0.033,,,,,,,,,0.15719069,,,0.15319008,2.64,,,,,,,,,2.244,,10.12,,,,,,4.64833,,,,0,,,0.42194797,1.276,,,,,,,,,,0.11,,8.36,0.924,,,,,,,4.64832873,,,,0.924
01/1987,,1.1,,,,,,,,,0.011,,9.35,0.297,0.88,7.7,2.31,3.08,,,,,,,,2.772,1.11291466,0.022,,0.11,0.132,22.44,4.62,,3.751,,,0.077,,,,,,,,,0.45833333,,,0.02072667,0.011,,,,,,,,,5.676,,12.1,,,,,,1.11291,,,,0,,,0.46885466,0.154,,,,,,,,,,0.22,,0.33,4.466,,,,,0.11,,1.11291466,,,,4.466
02/1987,,1.1,,,,,,,,,,,2.42,,0.66,8.03,3.08,2.31,,,,0.11,,,,7.282,1.70812654,0.077,0.638,0.11,0.704,8.14,3.3,,4.928,,,0.902,,,,,,,,,0.45833333,,,0.04393855,0.011,,,,,,,,,5.687,,0.88,,,,,,1.70813,,,,0,,,0.46885466,0.726,,,,,,,,,,,,0.11,4.477,,,,,,,1.70812654,,,,4.477
03/1987,,2.31,,,,0.264,,,,,,,5.28,0.022,0.77,16.17,2.75,2.97,,,,0.22,,,,8.877,1.4514177,0.044,0.935,6.6,0.814,7.04,3.41,0.11,3.894,,,0.033,,,,,,,,,0.45833333,,,0.06222971,0.187,,,,,,,,,5.335,,1.76,,,,,,1.45142,,,,0,,,0.46885466,0.275,,,,,,,,,,0.11,,0.33,0.011,,,,2.42,0.11,,1.4514177,,,,2.695
04/1987,,4.51,,,,,,,,,,,5.61,0.352,0.88,12.43,2.09,3.41,,,,,,,,4.4,2.58290759,0.044,,0.11,0.264,9.13,3.3,,2.794,,,0.011,,,,,,,,,0.45833333,,,0.0387196,,,,,,,,,,4.62,,1.76,,,,,,2.58291,,,,0,,,0.46885466,1.617,,,,,,,,,,0.11,,22.33,,,,,,0.11,,2.58290759,,,,
05/1987,,,,,,,,,,,,,5.94,0.044,1.43,7.15,2.2,9.24,,,,,,,,9.889,1.57233365,,,0.88,0.649,8.47,11.99,0.11,9.57,,,,,,,,,,,,0.45833333,,,0.05114566,0.044,,,,,,0.187,,,0,,3.63,,,,,,1.57233,,,,0,,,0.46885466,0.363,,,,,,,,,,0.22,,0.77,,,,,,,,1.57233365,,,,
