,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,GDP: Nominal: MED: SNA 2008: Estimate,Central Government Operation: Balance,Central Government Operation: Revenue,Central Government Operation: Expenditure,Gross Domestic Product: Estimate: Monthly,GDP per Capita: SNA 1968,GDP/Capita: SNA 1993: 1993 Base,(DC)Central Government: Primary Result: Treasury,(DC)Central Government: Primary Result: Treasury: Revenue,(DC)Central Government: Primary Result: Treasury: Transfers,(DC)Central Government: Primary Result: Treasury: Expenditure,(DC)Central Government: Primary Result: Social Security,(DC)Central Government: Primary Result: Social Security: Revenue,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,GDP per Capita: SNA 2008,Real GDP: YoY: sa,Real GDP: YoY: saar,Real GDP: sa: YoY,GDP per Capita: SNA 2008: USD,Global Manufacturing PMI: Excluding Japan: sa: Output Index,Global Manufacturing PMI: Excluding Japan: sa: Input Prices Index,Global Manufacturing PMI: Excluding Japan: sa: New Export Orders Index,Global Manufacturing PMI: Excluding Japan: sa: Backlogs of Work Index,Global Manufacturing PMI: Excluding Japan: sa: Employment Index,(DC)Central Government: Primary Result: Social Security: Expenditure,AF: (DC)GDP: Volume: 1985 Prices,"(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 1 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 2 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 3 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 4 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 5 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 6 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 7 to 8 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 9 to 11 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 12 to17 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 18 to23 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 24 to29 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 30 to35 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 36 to41 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 42 to47 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 48 to59 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 60to120 Mth",(DC)GDP/Capita: SNA 1993: 2000 Base: Exclude Oil & Gas,(DC)Gross Domestic Product per Capita: SNA 1993,GDP/Capita: SNA 1993: 2000 Base,Global Manufacturing PMI: Excluding Japan: sa: PMI,Global Manufacturing PMI: Excluding Japan: sa: Suppliers' Delivery Times Index,Global Manufacturing PMI: Excluding Japan: non-sa: Future Output Index,Global Manufacturing PMI: Excluding Japan: sa: New Orders Index,OE Forecast: Australia: GDP: Nominal: USD,OE Forecast: Australia: GDP: Nominal: USD: Consumption: Private,GDP: Final Consumption: Government: Collective,GDP: Final Consumption: NPISHs,AF: Gross Domestic Product (GDP),AF: GDP: Changes in Inventories,AF: GDP: Household Consumption Expenditure including NPISHs,AF: GDP: Volume: 2002 Prices,AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,"GDP: GVA: NACE 2: Arts, Entertainment & Recreation, Household Goods Repair & Other Services",GDP: 2010p: Final Consumption Expenditure: Government,GDP: Final Consumption Expenditure: Government,Government Consumption Expenditure: USD mn: Annual: United Arab Emirates,AF: GDP: Exports of Goods and Services,AF: GDP: Statistical Discrepancy,AF: GDP: Imports of Goods and Services,AF: GDP: Gross Capital Formation,Central Government: Nominal Interest,Central Government: Primary Result,Central Government: Primary Result excludes Nominal Interest,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Output Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Quantity of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Finished Goods Index,Government Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Wholesale & Retail Trade, Motor Vehicles Repair, Transport & Storage, Accommodation & Food Services","GDP: GVA: NACE 2: Professional, Scientific & Technical Activities, Administrative & Support Services","GDP: GVA: NACE 2: Public Administration & Defense, Social Security, Education, Health & Social Work",NAS 2011-2012: GDP Deflator,"GDP: GVA: NACE 2: Agriculture, Forestry & Fishing",GDP: GVA: NACE 2: Industry,GDP: GVA: NACE 2: Industry: ow Manufacturing,GDP: GVA: NACE 2: Information & Communication,GDP: GVA: NACE 2: Financial & Insurance Activities,GDP: GVA: NACE 2: Real Estate Activities,Government Consumption Expenditure: USD mn: Quarterly: Albania,GDP: Final Consumption: Government,GDP: Final Consumption: Households,Private Consumption Expenditure: USD mn: Annual: Albania,Private Consumption Expenditure: USD mn: Quarterly: Albania,Gross Domestic Product (GDP),GDP: Gross Value Added (GVA),GDP: GVA: Taxes Less Subsidies,GDP: GVA: NACE 2: Construction,GDP: Changes in Stocks
01/06/1984,,,,,,,,,,,,,,,8.32671332,,,,12.65800653,,6.87709289,5.0882325,11.65091579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50499.55,27949.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1984,,,,,,,,,,,,,,,6.2792745,,,,9.08113543,,5.99951125,4.80434297,9.16672137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47277.59,26033.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/1984,14957.85039589,,,,,,556288.52580765,,,,,,,,5.26357537,,,,5.54564252,,7.3218077,4.11780444,8.95923145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48215.55,26808.96,,,,,,,,,,,,4821.57450286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/1985,,,,,,,,,,,,,,,4.18759713,,,,5.75096451,,0.94981172,5.45478704,7.01290144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44447.68,24520.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/1985,,,,,,,,,,,,,,,5.30746029,,,,4.32528684,,3.21438932,5.98512783,7.1525399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41149.44,22690.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1985,,,,,,,,,,,,,,,5.82797453,,,,3.44866624,,1.03170029,6.07568983,7.08717056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44270.95,24699.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/1985,16079.85221165,,,,,,587311.23678506,,,,,,,,4.81701497,,,,5.76198023,,1.09088853,7.29962598,9.69963243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44044.58,24985.6,,,,,,,,,,,,5311.90411332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/1986,,,,,,,,,,,,,,,4.02238025,,,,9.83769628,,-5.85124151,5.14953619,8.56491909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46139.14,25721.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/1986,,,,,,,,,,,,,,,1.58229381,,,,9.29396505,,2.55213897,2.8093574,10.35956369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47452.99,27011.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1986,,,,,,,,,,,,,,,0.50129057,,,,12.85262745,,8.62570597,2.07587824,13.80392071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42194.17,24332.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/1986,17055.10909677,,,,,,611639.19681203,,,,,,,,2.43651112,,,,13.97978752,,-1.66060945,1.53219188,12.03193733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45395.47,25875.73,,,,,,,,,,,,4767.09343503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/1987,,,,,,,,,,,,,,,2.75004462,,,,11.70796256,,4.17479748,1.05751571,13.26416688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48405.37,27372.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/1987,,,,,,,,,,,,,,,4.52927816,,,,15.00813674,,-3.47825943,3.42938621,14.47548705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53484.98,29837.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1987,,,,,,,,,,,,,,,6.12994703,,,,13.73081644,,-7.6579774,4.88386418,10.8887969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55382.93,30778.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/1987,18146.4752466,,,,,,731407.59318617,,,,,,,,6.49585346,,,,10.43838636,,0.0752555,6.74251238,11.40983154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55960.86,31063.28,,,,,,,,,,,,4848.81503677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/1988,,,,,,,,,,,,,,,5.95800616,,,,7.43143673,,-0.27590321,9.36912891,16.35973091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59545.37,32763.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/1988,,,,,,,,,,,,,,,4.40659021,,,,8.69359395,,-0.08952551,6.96784051,8.40476104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65718.21,35986.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1988,,,,,,,,,,,,,,,3.39349533,,,,6.95073765,,1.93507415,7.20974431,11.159141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70283.42,38239.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/1988,19679.85986021,,,,,,819180.04058292,,,,,,,,2.92268237,,,,8.99025953,,2.32488711,5.62004199,11.92289675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76026.95,41339.19,,,,,,,,,,,,5099.97275947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/1989,,,,,,,,,,,,,,,3.53370022,,,,10.31304309,,3.72752084,5.94068347,4.37264295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78579.43,42999.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/1989,,,,,,,,,,,,,,,5.61126951,,,,8.41115068,,4.2973417,4.71025646,7.99661022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74858.89,40705.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1989,,,,,,,,,,,,,,,5.62044903,,,,6.80261645,,-1.9533111,4.21731547,7.36391912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75237.59,41124.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/1989,21337.38627608,,,,,,948103.05326195,,,,,,,,3.74996665,,,,9.57498496,,0.02188184,6.32574483,8.34109532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78341.98,42940.48,,,,,,,,,,,,5339.96186325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/1990,,,,,,,,,,,,,,,3.4901582,,,,6.54495536,,-0.15498847,3.03982942,9.72732205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78236.1,43264.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/1990,,,,,,,,,,,,,,,1.5122756,,,,4.37771129,,-1.23858958,7.69589421,10.15435902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79949.67,44408.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1990,,,,,,,,,,,,,,,0.10925878,,,,4.04801591,,3.13597967,7.6186952,10.71835473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83582.25,47275.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/1990,23125.11146297,,,,,,1090413.03608561,,,,,,,,0.94937848,,,,7.58740597,,2.59243054,4.18628758,8.69106133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81820.95,46406.76,,,,,,,,,,,,5480.79542359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/1991,,,,,,,,,,,,,,,-1.18331727,5.8619804,,,6.84599144,,-1.76888921,5.59647065,11.28646117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80547.02,46498.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/1991,,,,,,,,,,,,,,,-1.44440199,5.07142538,,,8.25316225,,-2.35601145,3.58232361,10.93972157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79927.28,46437.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1991,,,,,,,,,,,,,,,-0.4473184,5.34441567,,,10.56725982,,-1.35904034,1.64862918,9.23479468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81581.02,48111.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/1991,24035.27060597,,,,,,1243589.70154149,,,,,,,,-0.95879036,6.52015701,,,7.77957514,,-3.17020294,2.55737975,10.03241282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82358.18,48635.88,,,,,,,,,,,,5756.19722147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/1992,,,,,,,,,,,,,,,1.11851512,5.94749859,,,10.3809431,,0.60269744,1.70311895,8.23312283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80310.75,47347.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/1992,,,,,,,,,,,,,,,1.96805211,6.42110387,,,8.36965454,,2.64300828,0.86259139,7.40419538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81084.26,48149.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1992,,,,,,,,,,,,,,,2.55597303,6.92839854,,,8.36777348,,-0.31229334,1.20531875,4.99715249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79047.75,46793.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/1992,25025.06474284,,,,,,1396905.55409233,,,,,,,,4.61043069,5.64988837,,,6.24347371,,0.56524133,-0.14120841,4.21518719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77005.59,45108.02,,,,,,,,,,,,6208.66248978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/1993,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/1993,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/1993,,,,,,5.9,,,,,,,,,4.54554735,5.94458029,,,7.14272161,,2.28675799,0.95266193,4.26925335,,,,,,,,,,,,,,,,,,,,,,,,,,418399,,,,,,77366.38,44739.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/1993,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/1993,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/1993,,,,,,9.9,,,,,,,,,4.39550411,5.90261895,,,7.12520919,,2.29648114,-0.03654178,6.35921126,,,,,,,,,,,,,,,,,,,,,,,,,,432163,,,,,,78731.8,45856.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/1993,,,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/1993,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1993,,,,,,19.9,,,,,,,,,3.46137632,6.32868978,,,7.04427946,,7.0909962,-0.87078219,8.10261689,,,,,,,,,,,,,,,,,,,,,,,,,,457833,,,,,,75699.12,44299.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/1993,,,,,,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/1993,,,,,,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/1993,26075.34992851,,,,,27.4,1596828.73699349,1768643,,,,,,,3.23351527,6.61038452,,,5.93076631,,7.86525056,0.39374598,8.61151039,,,,,,,,,,,,,,,,,,,,,,,,,,459965,,,,,,77135.74,45117.32,,,,,,,,,,,,6400.70825388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/1994,,,,,,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/1994,,,,,,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/1994,,,,,,33.1,,,,,,,,,4.23561235,7.48741406,10.65453953,,6.10142177,,8.73897361,-0.05779058,9.53555647,,,,,,,,,,,,,,,,,,,,,,,,,,467511,,,,,,83577.98,48220.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/1994,,,,,,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/1994,,,,,,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/1994,,,,,,50.5,,,,,,,,,4.96704983,6.50536658,10.24438584,,7.99582783,,7.91204129,0.58231536,8.57241233,,,,,,,,,,,,,,,,,,,,,,,,,,492307,,,,,,86661.88,49969.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/1994,,,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/1994,,,,,,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1994,,,,,,56.1,,,,,,,,,5.64677691,5.02671932,4.4684117,,6.43561359,,5.45479575,2.25585357,8.27266506,,,,,,,,,,,,,,,,,,,,,,,,,,526472,,,,,,90064.91,52165.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/1994,,,,,,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/1994,,,,,,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/1994,27842.58279236,,,,,84.2,,2004551,,,,,,,4.7164509,5.20045743,6.79350428,,9.39303158,,4.72694052,0.85113699,10.42246128,,,,,,,,,,,,,,,,,,,,,,,,,,533117,,,,,,92890.06,54033.83,,,,,,,,,,,,6633.07000817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/1995,,,,,,78.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/1995,,,,,,82.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/1995,,,,,,94.1,,,,,,,,,2.99317051,3.63991385,7.46186482,,7.50674854,,3.0281135,1.37801223,9.73553364,,,,,,,,,,,,,,,,,,,,,,,,,,557850,,,,,,93130.51,54517.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/1995,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/1995,,,,,,120.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/1995,,,,,,139.2,,,,,,,,,2.08008513,2.63606811,9.67226012,,6.84728834,,5.10090421,2.93779611,10.01985423,,,,,,,,,,,,,,,,,,,,,,,,,,582533,,,,,,92020.52,54201.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/1995,,,,,,154.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/1995,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1995,,,,,,172,,,,,,,,,3.58044758,1.61580695,8.47120732,,7.92342615,,4.62437178,2.96931393,10.52096102,,,,,,,,,,,,,,,,,,,,,,,,,,608722,,,,,,95592.38,55837.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/1995,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/1995,,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/1995,29789.81151417,,,,,189.2,,2345815,,,,,,,2.71687712,1.63529464,6.90466407,,3.85931946,,4.61697522,3.64344338,8.07790192,,,,,,,,,,,,,,,,,,,,,,,,,,617163,,,,,,98389.06,57266.07,,,,,,,,,,,,7041.67801689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/1996,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/1996,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/1996,,,,,,176,,,,,,,,,4.40930343,2.52405125,3.93228739,,6.20542061,,4.00701307,3.39780837,7.92335265,,,,,,,,,,,,,,,,,,,,,,,,,,632153,,,,,,101019,58769.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/1996,,,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/1996,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/1996,,,,,,189,,,,,,,,,4.80191805,3.45145509,6.62697607,,6.07450117,,3.05476762,3.50781428,7.69772007,,,,,,,,,,,,,,,,,,,,,,,,,,662285,,,,,,107195.1,62249.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/1996,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/1996,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1996,,,,,,209,,,,,,,,,3.32103975,5.0228999,7.31637579,,5.7376542,,4.16419726,2.36031813,7.5567513,,,,,,,,,,,,,,,,,,,,,,,,,,701295,,,,,,107622,62180.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/1996,,,,,,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/1996,,,,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/1996,31620.85110681,,,,,240,,2706040,,,,,,,4.12450569,6.02020064,4.85195421,,6.68517702,,3.73996294,3.29095896,7.22107543,,,,,,,,,,,,,,,,,,,,,,,,,,736031,,,,,,109541.7,63515.34,,,,,,,,,,,,7350.0408608,,,,,,,,,,,,302.47893225,,,,,,,,,,,,,,3012.03593005,,,,,,
01/01/1997,,,-932.85398481,12290.48402097,13223.33800578,202,,,-1089.55398481,8731.58402097,2368.62207946,7452.51592632,156.7,3558.9,,,,,,,,,,,,,,,,3402.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-932.85398481,-932.85398481,,,,,,,,,,,,,,,,,,,,,,,,,
