,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Falkland Islands,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Dominica,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Bhutan,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Guam,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia,AO: Imports: cif: Emerging and Developing Economies,AO: Imports: cif: Emerging and Developing Economies: Export Earnings: Non-Fuel,AO: Imports: cif: Advanced Economies,AO: Imports: cif: Other Countries Not Elsewhere Classified: North Korea,AO: Imports: cif: Advanced Economies: Singapore,AO: Imports: cif: Advanced Economies: Israel,AO: Imports: cif: Advanced Economies: Cyprus,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Suriname,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Trinidad and Tobago,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Jamaica,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Indonesia,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Bangladesh,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Uruguay,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Panama,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Paraguay,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Peru,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: El Salvador,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Guatemala,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Mexico,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Nicaragua,AO: Imports: cif,AO: Imports: cif: Advanced Economies: Sweden,AO: Imports: cif: Advanced Economies: France,AO: Imports: cif: Advanced Economies: Germany,AO: Imports: cif: Advanced Economies: Italy,AO: Imports: cif: Advanced Economies: Austria,AO: Imports: cif: Advanced Economies: Belgium,AO: Imports: cif: Advanced Economies: South Korea,AO: Imports: cif: Advanced Economies: Hong Kong SAR,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: India,AO: Imports: cif: Advanced Economies: Ireland,AO: Imports: cif: Advanced Economies: Greece,AO: Imports: cif: Advanced Economies: Switzerland,AO: Imports: cif: Advanced Economies: Canada,AO: Imports: cif: Advanced Economies: Japan,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Costa Rica,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Dominican Republic,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Ecuador,AO: Imports: cif: Advanced Economies: Denmark,AO: Imports: cif: Advanced Economies: United States,AO: Imports: cif: Advanced Economies: United Kingdom,AO: Imports: cif: European Union,AO: Imports: cif: Advanced Economies: Latvia,AO: Imports: cif: Advanced Economies: Czech Republic,AO: Imports: cif: Advanced Economies: Slovak Republic,AO: Imports: cif: Advanced Economies: Iceland,AO: Imports: cif: Other Countries Not Elsewhere Classified: Cuba,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: French Polynesia,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: St. Kitts and Nevis,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: St. Vincent & The Grenadines,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Brunei Darussalam,"AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Venezuela, Republic Bolivariana de",AO: (DC)Imports: cif: Emerging and Developing Economies: Western Hemisphere: Grenada,AO: (DC)Imports: cif: APEC,AO: (DC)Imports: cif: Euro Area,AO: (DC)Imports: cif: Other Countries Not Elsewhere Classified: (Old)Eastern Germany,AO: (DC)Imports: cif: Developing Countries,AO: (DC)Imports: cif: Developing Countries: (Old)Western Hemisphere,AO: (DC)Imports: cif: Non-Oil Developing Countries,AO: (DC)Imports: cif: Emerging and Developing Economies: Western Hemisphere: Greenland,AO: (DC)Imports: cif: Advanced Economies: (Old)Belgium-Luxembourg,AO: (DC)Imports: cif: Industrial Countries,AO: (DC)Imports: cif: Special Categories,AO: (DC)Imports: cif: Oil Exporting Countries,AO: (DC)Imports: cif: Emerging and Developing Economies: Western Hemisphere: St. Lucia,AO: (DC)Imports: cif: Emerging and Developing Economies: Western Hemisphere: Netherlands Antilles,AO: Imports: cif: Advanced Economies: Spain,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Cambodia,AO: Imports: cif: Countries or Area Not Specified,AO: Imports: cif: Other Countries Not Elsewhere Classified,AO: Imports: cif: Advanced Economies: Malta,AO: Imports: cif: Advanced Economies: Portugal,AO: Imports: cif: Advanced Economies: Finland,AO: Imports: cif: Advanced Economies: New Zealand,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Guyana,AO: Imports: cif: Advanced Economies: Luxembourg,AO: Imports: cif: Advanced Economies: Netherlands,AO: Imports: cif: Advanced Economies: Norway,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Fiji,AO: Imports: cif: Advanced Economies: San Marino,AO: Imports: cif: Advanced Economies: Slovenia,AO: Imports: cif: Advanced Economies: Estonia,AO: Imports: cif: Advanced Economies: Lithuania,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: China,AO: Imports: cif: Advanced Economies: Taiwan,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Curacao,AO: Imports: cif: Euro Area,AO: Imports: cif: Advanced Economies: Vatican,AO: Imports: cif: Advanced Economies: Australia,AO: Imports: cif: Emerging and Developing Economies: Export Earnings: Fuel,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Montserrat,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Honduras,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Haiti,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: American Samoa,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Western Hemisphere Not Specified
12/1972,,,,,0.151,10.73,106.804,98.167,,0.021,0.01,,,0.55,,0.003,,,,,,,,0.002,,108.944,2.386,5.952,13.936,5.685,0.397,,,0.117,,0.001,0.03,1.705,0.11,7.291,,,,1.226,8.591,9.46,77.36,,,,,,,,,,,,,,,,,,,3.358,,,,,,1.286,,0.047,,,31.135,0.053,,,,2.455,0.886,,,,,,0.001,0.011,,64.288,,0.768,2.14,,,,,
01/1973,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/1973,,,,,0.359,9.752,104.807,96.389,,0.067,0.01,,,,,0.008,,,,,,,,,,106.215,2.323,6.673,12.669,4.737,0.28,,,0.112,,,0.06,1.616,0.226,5.573,,,,1.231,11.364,9.384,75.182,,,,,,,,,,0.163,,,,,,,,,4.005,,,,,0.032,1.609,,0.074,,,29.291,0.049,,,,2.867,0.517,,,,,,0.004,,,62.24,,0.098,1.408,,,,,
04/1973,,,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,0.08,,,,,,,,,,,,,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/1973,,,,,,,,,,,,,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/1973,,,,,0.552,16.773,121.624,110.552,,0.072,0.017,,,,,0.004,,,,,,,,,,127.519,1.834,8.232,16.191,3.716,0.699,,,0.18,,0.003,,1.721,0.088,8.381,,,,0.892,9.267,9.749,87.75,,,,0.021,,,,,,,,,,,,,,,4.307,,,,,0.066,1.57,,0.179,0.015,,37.355,0.129,,,,3.073,1.113,,,,,,0.01,0.008,,75.275,,0.037,5.895,,,,,
07/1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/1973,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/1973,,,,,0.219,19.502,144.37,130.279,,0.193,0.007,,,,,0.001,,,,,,,,,,149.996,2.191,11.72,20.232,5.461,0.701,,,0.198,,0.003,0.07,2.374,0.291,7.704,,,,1.165,10.067,12.29,106.261,,,,,,,,,,0.173,,,,,,,,,5.211,,,,,,2.592,,0.215,,,41.393,0.026,0.004,,,3.198,1.291,,,,,,0.003,0.015,,90.607,,0.019,5.626,,,,,
10/1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
11/1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1973,,,,,0.166,24.395,149.479,134.435,,0.251,0.052,,,0.001,,0.005,,,,,,,,,,158.965,2.517,9.995,21.619,6.599,0.544,,,0.204,,0.001,0.027,2.207,0.911,8.218,,,,0.831,20.38,9.993,99.636,,,,0.007,,,,,,,,,,,,,,,4.997,,,,,0.012,2.805,,0.135,,,35.328,0.131,0.001,,,4.249,1.359,,,,,,0.01,0.013,,86.295,,0.052,9.486,,,,,
01/1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247,,,,,,,,,,,,,,0.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/1974,,,,,0.209,24.251,133.758,113.628,,0.187,0.41,,,,,0.001,,,,,,,,,,137.887,1.894,8.853,17.268,5.599,0.823,,,0.296,,0.015,0.031,2.682,0.465,6.881,,,,0.63,14.24,10.314,86.081,,,,,,,,,,,,,,,,,,,4.688,,,,,0.004,2.42,,0.008,,,30.567,0.047,,,,2.93,1.391,,,,,,,0.018,,73.241,,0.039,4.129,,,,,
04/1974,,,,,,,,,,,,,,0.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.817
06/1974,,,,,0.053,35.364,161.052,133.526,,0.399,0.144,,,,,0.002,,,0.001,,,,,0.004,,169.194,2.448,10.096,23.443,8.442,1.053,,,0.198,,0.009,0.04,3.194,0.109,6.938,0.005,,,1.205,15.578,11.773,102.96,,,,0.018,,,,,,,,,,,,,,,5.705,,,,,,4.161,,0.304,,,31.462,0.052,,,,3.07,2.368,,,,,,0.018,0.045,,87.533,,0.133,8.142,,,,,
07/1974,,,,,,,,,,,,,,,,,,,,,0.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/1981,,,,,,,,,,,,,,,0.00018321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/1981,,,,,,,,,,,,,,,0.0001453,,,0.2948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/1981,,,,,3.619,64.04198671,383.10400559,321.2418,,,,,,,0.00023101,,,,,,,,,,,385.28378671,11.99,52.36,24.09,13.86,0.99,,1.43,2.53,,,0.011,7.7,1.43,19.47,,,,3.289,50.82,18.48,248.424,,,,,,,,,,,,82.049,193.38,,71.4758,8.99192,70.9328,,6.6,313.808,,0.542981,,,5.401,,,,,72.006,0.022,,,,24.64,0.649,,,,,,3.52,2.75,,199.98,,,2.17978113,,,,,
04/1981,,,,,,,,,,,,,,,0.00021009,,,0.3685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/1981,,,,,,,,,,,,,,,0.00019119,,,0.2948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/1981,,,,,2.893,77.27775532,428.74399706,354.0735,,,,,,0.022,0.00021668,,0.506,,,,,,,,,431.35125532,9.02,68.64,33,17.71,0.77,,4.95,6.38,,0.517,0.011,11.55,,21.89,,,,10.076,18.92,,301.202,,,,,,,,,,,,57.739,255.761,,92.4083,12.0387,91.4598,,11.66,338.943,,0.948458,,,11.374,,,,,81.598,5.621,,,,36.52,0.044,,,,,,2.09,3.19,,267.421,,0.022,2.60725825,,,,,
07/1981,,,,,,,,,,,,,,,0.00017991,,,0.2959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/1981,,,,,,,,,,,,,,,0.00019893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/1981,,,,,5.291,73.32192482,355.20909496,283.9969,,,,,,,0.00016761,,,,,,,,,,,357.31882482,12.65,37.73,18.59,16.83,0.77,,1.1,5.61,,0.253,,3.85,0.22,35.97,,,,4.466,40.26,8.36,207.977,,,,,,,,,,,,90.981,161.986,,82.9568,13.8285,82.4839,,5.83,274.362,,0.47293,,,6.358,,,,0.011,66.374,,,,,15.07,0.77,,,,,,,2.53,,167.816,,,2.10972986,,,,,
10/1981,,,,,,,,,,,,,,,0.00014099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1981,,,,,,,,,,,,,,,0.00017712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1981,,,,,4.158,64.08073315,422.19650239,360.1862,,,,,,,0.00015798,,,,,,,,,,,424.26693315,15.62,24.09,13.31,14.85,0.44,,0.11,0.22,0.066,,,2.42,0.11,13.2,,,,3.388,185.13,20.9,162.745,,,,,,,,,,,,206.602,98.472,,68.3619,16.003,67.9283,,9.68,355.905,,0.433631,,,4.84,,,,1.309,29.898,0.165,,,,9.57,6.985,,,,,,3.74,3.74,,108.152,,,2.07043076,,,,,
01/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.70187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/1982,,,,,,35.53279874,215.61929874,181.6936,,,,,,,,,,,,,,,,,,217.22639874,3.74,19.58,33.88,7.48,0.44,,,,,,,4.95,0.22,6.82,,,,3.443,45.98,8.91,126.12325,,,,,,,,,,,,54.12,89.573,,37.0354,8.22375,36.1939,,15.51,180.191,,0.8415,,,5.797,,,,,15.719,0.077,,,,6.6,1.045,,,,,,,1.1,,105.083,,,1.6071,,,,,
04/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.97243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/1982,,,,,2.266,42.60436333,237.95996333,196.9627,,,,,,,,,,,,,,,,,,239.56706333,22.22,33.22,8.14,15.73,2.64,,,0.33,,,,1.32,0.11,19.58,,,,2.376,49.06,6.71,131.61225,,,,,,,,,,,,71.709,83.974,,43.8001,8.51439,42.9586,,10.12,195.767,,0.8415,,,2.607,,,,,12.419,0.088,,,,9.13,0.264,,,,,,0.11,0.33,,94.094,,0.033,1.6071,,,,,
07/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.89687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/1982,,,,,3.179,41.15131061,242.88141061,203.3372,,,,,,,,,0.187,,,,,,,,,244.48851061,2.2,35.75,13.09,22.22,1.1,,0.22,0.22,,,,13.09,,18.26,,,,3.63,34.43,17.27,131.46925,,,,,,,,,,,,56.122,101.97,,49.6565,10.9386,48.815,,3.85,194.832,,0.8415,,,3.113,,,,,18.678,0.209,,,,7.81,0.132,,,,,,0.11,,,105.82,,,1.6071,,,,,
10/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.58445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.56743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1982,,,,,3.575,37.18047778,272.20317778,236.6298,,,,,,,,,,,,,,,,,,273.81027778,14.3,39.38,10.12,20.35,3.63,,,0.22,,0.33,0.242,2.42,0.44,12.43,,,,5.698,44.88,16.06,173.21425,,,,,,,,,,,,66.055,129.217,,42.7553,9.5226,41.9138,,5.17,231.055,,0.8415,,,3.278,,,,,42.834,0.033,,,,9.02,0.44,,,,,,0.44,4.51,,134.387,,,1.6071,,,,,
01/1983,,,,,,,,,,,,,,,0.00005633,,,,,,,0.00091757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/1983,,,,,,,,,,,,,,,0.00007829,,,,,,,0.00163903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.90597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/1983,,,,,0.253,33.93207293,166.28365914,143.7359,,,,,,,0.00011,,0.253,,,,,0.0007434,,,,177.66797293,1.76,18.92,10.34,19.69,0.77,,,,,0.165,,0.77,1.32,2.53,,,,7.634,21.23,7.81,116.44875,,,,,,,,,,,,27.951,92.466,,37.242,5.0471,29.995,,4.51,140.426,,7.24694,,,4.059,,,,,20.24,0.022,0.011,,,18.26,0.385,,,,,,,2.86,,96.976,,,11.38431379,,,,,
04/1983,,,,,,,,,,,,,,,0.00008983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/1983,,,,,,,,,,,,,,,0.00009547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/1983,,,,,0.55,34.14062276,178.3472921,161.3095,,,,,,,0.00011282,,0.143,,,,,,,,,195.45012276,5.39,26.29,9.57,8.91,0.66,,,0.44,,0.363,,3.19,0.77,8.25,,,,3.564,20.46,6.93,128.42775,,,,,,,,,,,,30.327,103.708,,34.8611,7.53236,21.8957,,7.48,160.589,,12.9655,,,5.753,,,,,32.318,0.044,,,,19.8,0.847,,,,,,0.22,,,111.188,,,17.10283066,,,,,
07/1983,,,,,,,,,,,,,,,0.00009009,,,0.4202,,,,0.00107591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/1983,,,,,,,,,,,,,,,0.00008504,,,0.0033,,,,0.00112881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.26176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/1983,,,,,0.099,47.1279974,175.67444145,145.398,,,,,,,0.00008804,,0.099,0.0715,,,,0.00109528,,,,192.5259974,7.15,24.31,12.1,4.84,1.76,,0.22,0.11,,,,2.2,0.99,3.52,,,,2.42,30.91,5.06,108.77075,,,,,,,,,,,,35.86,82.984,,47.568,6.94493,34.8538,,9.68,144.958,,12.7142,,,4.169,,,,,25.96,0.275,,,,9.57,0.044,,,,,,,0.11,,92.664,,,16.85155596,,,,,
10/1983,,,,,,,,,,,,,,,0.00007804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1983,,,,,,,,,,,,,,,0.00011774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.93037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1983,,,,,0.528,39.98006983,218.25927024,195.074,,,,,,,0.0000983,,,0.088,,,,,,,,235.05406983,5.83,22.55,14.74,9.02,1.32,,,0.55,,0.022,,1.76,,13.42,,,,3.014,27.28,17.82,153.11175,,,,,,,,,,,,41.888,114.664,,40.6401,3.47335,27.9826,,10.23,194.414,,12.6574,,,21.901,,,,,29.81,0.121,,,,15.18,0.396,,,,,,0.33,0.11,,124.894,,,16.79479959,,,,,
01/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/1984,,,,,0.154,27.91859516,216.10415807,192.071,,,,,,,,,,,,,,,,,,219.98959516,8.03,22.88,15.4,5.28,1.65,,1.54,0.66,,,1.001,0.88,,4.62,,,,1.221,20.68,10.23,165.53075,,,,,,,,,,,,27.764,134.541,,30.2286,6.798,30.1664,,8.91,189.761,,0.0621658,,,21.604,,,,,43.384,0.022,,,,23.32,0.649,,,,,,,0.11,,143.451,,,3.88543709,,,,,
04/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/1984,,,,,,,,,,,,,,,,,,1.1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/1984,,,,,0.308,57.32208781,240.7249664,187.275,,,,,,,,,,,,,,,,,,244.59708781,8.8,17.71,13.2,11.11,0.66,,1.21,0.66,,,0.495,1.65,0.11,6.49,,,,4.081,25.19,8.25,151.37375,,,,,,,,,,,,36.608,122.243,,61.8321,22.473,61.7832,,5.39,182.765,,0.0488501,,,21.208,,,,,43.329,0.011,,,,14.52,0.561,,,,,,,2.64,,127.633,,,3.87212141,,,,,
07/1984,,,,,,,,,,,,,,,,,,1.2078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/1984,,,,,,,,,,,,,,,,,,1.2452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/1984,,,,,2.86,49.27085134,255.65344461,210.254,,,,,,,,,,,,,,,,,,259.52485134,6.6,32.23,15.51,18.59,1.21,,0.99,0.11,,,,2.09,1.1,3.74,,,,0.506,27.28,18.26,175.62875,,,,,,,,,,,,37.73,142.56,,52.0209,6.677,51.9727,,5.28,207.504,,0.0481355,,,23.43,,,,,37.224,0.286,,,,14.08,0.088,,,,,,2.86,1.65,,147.84,,,3.87140673,,,,,
10/1984,,,,,,,,,,,,,,,,,,0.0088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
