,AF: Trade Balance: Emerging and Developing Economies: Europe,AF: Trade Balance: Advanced Economies: South Korea,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia,AF: Trade Balance: Advanced Economies: Czech Republic,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Sri Lanka,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Bosnia & Herzegovina,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Cambodia,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Philippines,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Romania,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Malaysia,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: French Polynesia,AF: (DC)Trade Balance: Special Categories,AF: (DC)Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Papua New Guinea,AF: (DC)Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: (Old)Czechoslovakia,AF: (DC)Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Macau SAR,"AF: (DC)Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: (Old)Yugoslavia, Socialist Fed. Rep.",AF: (DC)Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: (Old)Serbia & Montenegro,AF: (DC)Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Faroe Islands,AF: (DC)Trade Balance: Advanced Economies: (Old)Belgium-Luxembourg,AF: (DC)Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Timor-Leste,AF: Trade Balance: Advanced Economies: Lithuania,AF: Trade Balance: Advanced Economies: Denmark,AF: Trade Balance: Advanced Economies: Israel,AF: Trade Balance: Advanced Economies: Cyprus,AF: Trade Balance: Advanced Economies: Latvia,AF: Trade Balance: Advanced Economies: Estonia,AF: Trade Balance: European Union,AF: Trade Balance: Advanced Economies: Canada,AF: Trade Balance: Advanced Economies: Vatican,AF: Trade Balance: Advanced Economies: Japan,AF: Trade Balance: Emerging and Developing Economies,AF: Trade Balance: Advanced Economies: Switzerland,AF: Trade Balance: Euro Area,AF: Trade Balance: Advanced Economies: Singapore,AF: Trade Balance: Advanced Economies: Malta,AF: Trade Balance: Advanced Economies: Sweden,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Kazakhstan,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Indonesia,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Vanuatu,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Brunei Darussalam,"AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Marshall Islands, Republic",AF: Trade Balance: Emerging and Developing Economies: Export Earnings: Non-Fuel,AF: Trade Balance: Advanced Economies: New Zealand,"AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Azerbaijan, Republic of",AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Myanmar,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: India,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Asia Not Specified,AF: Trade Balance: Advanced Economies: Taiwan,AF: Trade Balance: Advanced Economies: Iceland,AF: Trade Balance: Advanced Economies,AF: Trade Balance,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Croatia,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Turkey,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Nepal,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: China,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: New Caledonia,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Mongolia,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Belarus,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Tonga,AF: Trade Balance: Advanced Economies: Hong Kong SAR,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Maldives,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Armenia,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Kosovo,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Vietnam,"AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Montenegro, Republic of","AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Serbia, Republic of",AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Bulgaria,"AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Macedonia, Former Yugoslav Republic",AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Georgia,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Albania,AF: Trade Balance: Advanced Economies: Slovak Republic,AF: Trade Balance: Emerging and Developing Economies: Export Earnings: Fuel,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Thailand,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Poland,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Hungary,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Bangladesh,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Samoa,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Fiji,AF: Trade Balance: Advanced Economies: Norway,AF: Trade Balance: Advanced Economies: Greece,AF: Trade Balance: Advanced Economies: Portugal,AF: Trade Balance: Advanced Economies: Spain,AF: Trade Balance: Advanced Economies: United Kingdom,AF: Trade Balance: Advanced Economies: Ireland,AF: Trade Balance: Advanced Economies: Germany,AF: Trade Balance: Advanced Economies: Italy,AF: Trade Balance: Advanced Economies: Belgium,AF: Trade Balance: Advanced Economies: Luxembourg,AF: Trade Balance: Advanced Economies: Slovenia,AF: Trade Balance: Advanced Economies: Austria,AF: Trade Balance: Advanced Economies: Australia,AF: Trade Balance: Advanced Economies: United States,AF: Trade Balance: Advanced Economies: France,AF: Trade Balance: Advanced Economies: Finland,AF: Trade Balance: Advanced Economies: Netherlands,AF: Trade Balance: Countries or Area Not Specified,AF: Trade Balance: Other Countries Not Elsewhere Classified
First Obs. Date,03/1963,03/1982,03/1963,12/1993,03/1982,03/2004,03/2001,03/1982,03/1987,03/1982,03/1963,03/1963,03/2000,06/1965,03/1983,03/1963,06/1982,03/1982,03/2003,06/1987,03/1963,09/2003,03/1994,03/1964,03/2015,06/1984,03/1993,03/1993,03/1963,06/1982,03/2011,12/1964,03/1963,03/1963,03/1963,03/1982,06/1982,03/1982,03/1994,06/1985,03/2008,03/2000,03/2015,03/1963,06/1982,03/1993,03/2015,03/1963,03/2008,03/1982,06/1982,03/1963,03/1963,12/1960,06/1994,06/1982,09/2005,03/1963,03/1994,03/1995,03/1993,03/1989,03/1981,03/2015,06/2006,06/2006,03/1997,03/2006,06/2005,03/1995,03/1999,03/1994,03/2008,03/1993,03/1963,03/1982,03/1963,12/1983,03/1982,03/2015,09/1988,03/1982,03/1982,06/1983,03/1982,03/1963,03/1982,03/1963,03/1964,03/1997,06/1997,03/1994,03/1982,09/1966,03/1963,03/1982,03/1982,03/1963,12/1964,03/1981
Last Obs. Date,03/2019,03/2019,03/2019,03/2019,09/2018,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,06/1967,12/2003,12/1992,12/2004,12/1992,06/2005,12/2008,12/1996,03/2005,03/2019,03/2019,03/2019,06/2018,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,12/2015,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,12/2020,03/2019,03/2019,03/2019,03/2019,03/2019,09/2017,03/2019,12/2013,03/2019,03/2019,03/2019,03/2019,03/2019,12/2018,09/2017,03/2019,03/2019,12/2015,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,12/2016,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019,03/2019
Last Update Time,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,18/09/2018,01/07/2019,01/07/2019,01/07/2019,01/07/2019,27/07/2019,27/07/2019,18/09/2018,27/07/2019,29/06/2019,29/06/2019,29/06/2019,27/09/2018,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,29/06/2019,29/06/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,31/12/2018,01/07/2019,27/07/2019,27/07/2019,08/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,29/06/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,08/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,27/07/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,29/06/2019,27/07/2019,27/07/2019
Series remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suggestions,,,,,,,,,,,,,,,,,,,407484477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,-124.84320722070171,-9.884659980000007,-106.46464361046776,-0.22917280121951217,-0.24119319626865673,0.010388900000000001,-0.42791512903225815,0.01803858022988506,-0.0601929988888889,-23.34130668801587,-5.92771449702381,-160.25455689937013,0.0003912307692307692,0.3,-0.2579749091666667,-0.6748192173015869,1.527451666,-0.36561993571428564,-0.03938660000000001,0.0027794816279069767,2.319527504032258,-0.0026954285714285713,-0.6544070728888886,0.01849251434782605,-0.0021609411764705873,0.02124716879120879,-3.6065519538095225,-0.36430597790322616,-16.579772592982472,-2.074645733793103,-0.004576692307692308,-62.59975597839745,-398.3114018953216,-0.09782102045161278,-15.569935721403509,-7.738611344379561,-0.15711831209677418,-0.4739790662121214,-85.79203808078655,-4.616127110813008,0.00010734146341463416,0.0044751232876712324,-6.0055207500000005,-428.00040267005846,-0.16126135914529915,-1.6049592472826115,0.02272894117647059,-0.11103045847953225,-1.4373583636363638,0.5789171713013701,0.006683752272727275,-96.02488443152049,-576.0105018008189,32530.758027928197,0.014741550370370367,-7.125890638099177,0.01838801818181818,-84.12450485919254,0.0004996853658536585,0.012265279245283018,-0.5026497500000001,0.00032407666666666666,-3.120555757021276,-0.008568090909090909,0.002283303030303031,-0.004836078431372549,-10.648277316829269,-0.07754172972972972,0.01383571739130435,-0.43966505470588235,0.006602590769230767,-0.8275845500000001,-0.005691452380952382,-0.16934298786516852,-148.0100991309941,-3.2450503336496346,-0.21233699812499987,-0.1296268934210526,-0.8040494938931297,-1.145105625,0.002509747499999999,-0.14370229381679384,-0.0348604630894309,-0.030694890277777775,-0.23285303488888895,-0.1568075134502931,-0.4723858428187919,-11.177246641286551,-0.6401164199310349,-0.8006421129870132,0.003704822881355933,-0.019070270000000004,-0.15066234674074072,-0.6324003415789474,-5.055092940573247,-2.2020410904379566,0.4010936526277374,-0.9066452492105265,-498.52924728571435,-0.07542272144144138
Variance,82122.37572349465,104.93760811426182,40640.54824746893,0.13819489418315278,0.07165012419543139,0.00047386251765084723,1.5271036118957533,0.010647334837304312,0.010842992066889013,2309.3949181884554,112.10885876623429,96996.64517269105,2.836343052884616e-7,0.030000000000000006,0.1454945354330158,24.97627173092952,23.039538407296945,0.1440816748069424,0.00017833956293333332,0.00010329383759430444,9.403753997941656,0.000032989527952380956,1.7274043235453411,0.12702070755452702,5.513665588235294e-7,0.007275946482633965,141.23488087425775,0.5917116014509691,1009.296004183401,12.220963838090151,6.79496564102564e-7,3359.4933682822366,593832.7859279128,3.4171646429098526,806.9169643024456,119.951691681808,0.21877584492647917,1.8986895489636568,24738.20764178763,39.04044214313619,1.096868048780488e-8,0.00004530666058181125,0.022021961768249998,387878.88121941517,0.3021966032413422,16.100669637618765,0.040187748354933814,356.2326547258242,0.5079507247971137,100.41766256474399,0.00036861643285410173,9371.235864278338,853628.3129043059,955777189.3986328,0.004132261567597042,121.72817633357205,0.003069815652129292,22508.9601601927,0.0000028307323514004823,0.0023526882027157183,1.0631524212655437,1.7276793246060603e-7,7.844775896683544,0.0004197408690909092,0.00034580934353030304,0.0004948037754337256,154.75184438275124,0.042315208315980436,0.00021636307425169078,0.7126038120357556,0.0006415300135021939,2.6987256832215234,0.00028145921283914037,0.07846423171509588,114090.80100845828,13.854194841920838,0.31049544413260594,0.2962748024241326,1.8547272049844643,0.7992959003611251,0.00006510228793970912,0.3399814518617924,0.058791739470381944,0.01097062046517103,0.5039300376400836,21.07599576900273,1.018107039026116,513.0148530688573,2.6587851853234623,10.412946051407795,0.00041278013257502785,0.01662310091586628,0.6756861107502439,13.816334156286704,151.70239995258066,6.589430050711183,1.1209780663351945,20.101247039999613,343149.48556803603,8.886269741714832
Standard Deviation,286.5700188845558,10.24390590127915,201.59501047265263,0.3717457386213765,0.2676754082754548,0.021768383441377707,1.2357603375637822,0.10318592363934294,0.10412968869102132,48.05616420594194,10.588147088430265,311.44284415072224,0.0005325732863075857,0.17320508075688776,0.3814374593993304,4.997626609794845,4.799951917185936,0.3795809199722009,0.01335438365980749,0.01016335759453068,3.0665540918010326,0.005743651099464604,1.3143075452668378,0.3563996458395084,0.0007425406108917743,0.08529915874517148,11.884228240582463,0.7692279255532584,31.7694193239883,3.495849515938887,0.0008243158157542314,57.96113670626411,770.6054671022733,1.8485574491775614,28.40628388759159,10.952245965180293,0.46773480191929184,1.3779294426652102,157.28384418556035,6.248235122267422,0.00010473146846962894,0.006731022253849058,0.14839798438068488,622.799230265593,0.5497241155719313,4.012563973025074,0.20046882140356342,18.87412659504604,0.7127066190215394,10.020861368402619,0.01919938626243302,96.80514379039131,923.9200792840828,30915.64635259358,0.06428266926316177,11.033049276313962,0.05540591712199422,150.02986422773535,0.0016824780389058521,0.04850451734339512,1.0310928286364636,0.00041565362077167813,2.8008527088519926,0.020487578409634194,0.018595949653897836,0.02224418520498617,12.439929436405627,0.2057066073707416,0.01470928530730473,0.8441586415098501,0.025328442776890052,1.6427798645045304,0.0167767461934411,0.2801146760080519,337.77329824670613,3.7221223571936535,0.5572211806209505,0.544311310211475,1.361883697304753,0.8940335006928571,0.008068598883307382,0.5830792843703096,0.24247007953638722,0.10474072973381,0.7098802981067186,4.590860024984723,1.0090129033001094,22.64983119294396,1.630578175164706,3.226909675123832,0.020316991228403577,0.12893060503955717,0.8220012839103379,3.717032977562441,12.316752816898644,2.566988517837815,1.0587625164951744,4.483441428188798,585.789625691712,2.9809846933043502
Skewness,-2.255679879945483,-1.4633209290442268,-2.55702679781651,-4.752554232755552,-2.413580532905866,3.084327427784026,-3.841998403374541,1.8152862527694844,-0.831594060178309,-2.477191847423813,-1.6810032376812296,-1.7762459988067756,1.9857552739961604,-1.7320508075688754,-0.8322564970570467,-0.9128584608667156,3.162128291734294,-0.33956097317329764,-0.7670489109912437,4.152701259060951,1.6042489770881692,-2.6324300915807486,-2.5108086300764394,-0.07017463121244913,0.9479203091094813,7.62073763374636,-3.31339275599625,-1.8634128838424109,-1.8773413982470333,-2.2739849476322167,0.08375305552688656,-1.9920825007775502,-2.346518207879659,-6.208772784084597,-2.022170018918678,-2.9476882840714884,-3.2936185976847954,-3.504474466407677,-2.0562531567346833,-2.7602464067627595,3.505316399085056,2.4438885838430466,0.19001966029035627,-1.6440277317795844,-3.1485634720425284,-3.4068503877623164,-0.7400762767625707,1.762291898572518,-0.1848521812038279,8.910970274606184,5.983510206415572,-1.6622317049486646,-1.8363946558723945,1.0002117369084302,1.4983198020740176,-1.4930538807265643,2.290197865856952,-2.2331122185329635,-1.2786166780864716,3.05160984736086,-1.3758617566850302,1.9071430062504824,-0.8026741551125445,1.4329924954262239,1.5920108337056846,-4.891387159643249,-0.9276838210642051,-5.229223978029355,1.2644267955262878,-2.030048720649617,4.137276693310526,-1.6221521306054725,-0.37204210371081986,-2.0349923997413555,-2.3845762736381175,-1.4924391965400332,-1.7816912857844676,-7.630171330322578,-2.0736776257742457,-0.10864677855353956,1.3889745625385028,-4.401925006297537,5.79431273372482,-4.195160385533626,-1.6967082905193314,3.4170001574779794,-4.232989237130467,-2.6342911742604973,-2.334543043539768,-1.4501926131082452,4.9543061139824545,-1.7839565654677048,-2.5058509935077082,1.4969140554762732,-3.44408683445504,-1.0140525170690389,0.23901230890977557,-10.620702347324896,-0.9793846702468815,-3.525162398828047
Kurtosis,4.199941752013274,2.381048820340226,5.757821910179017,26.51556258681821,10.004879577310522,8.797857697759023,14.956939238452803,6.228366581680746,0.384216468927963,4.677804272925276,2.230734533411543,2.113888955664695,3.5338980428504296,,-1.571239807874504,2.041918022805243,9.999304831157424,0.20184704147846233,-0.6966518909754922,16.561850740538546,3.794489513955679,6.945346957443634,6.487595571029411,1.1074891755596106,-1.0062689043204913,66.61960362265889,9.740484183687741,1.8209511454109815,3.23299024510896,5.704551215283457,0.005200332852179468,3.9886955613940898,4.594301081577059,48.95540999696062,3.5979674611179178,12.496699516317351,11.995390138828386,14.63750872221411,2.713349774654677,9.3843718877873,12.691216693994756,7.739175689823131,-2.217851956648804,1.4490456052722793,8.51187595835188,11.473890730380775,-0.776113634099131,19.29153496942722,-0.5832526538215532,86.2259660024032,37.922517622154984,2.29149288933848,2.3458008703579987,-0.01928126451993739,13.469259032991992,1.0907169242775767,5.9489742933423635,4.107454918350606,1.9105770048621165,8.349762016343485,1.5220397333387448,4.138637953495378,-0.14595152055312388,1.8337795547687703,9.01840655558739,25.362962944608718,-0.756701593745591,29.671634636733334,1.5149231870450266,3.135766042381753,15.550876508765821,0.6946709225143257,1.9221235087121102,3.794372967038202,4.804149738025303,2.1426749512855556,4.867546746852828,63.00336170465954,3.0847969742412813,-2.5298879588732057,3.086002195224646,24.191588427504726,55.9295086810975,21.428203470804473,3.313970839402691,23.99861369896876,25.898126920705828,7.527569478073864,7.05297256484929,2.250737790584095,32.638672051781626,5.334203347200859,6.905315101072915,27.457704495602847,15.018156408271988,6.221665499340791,2.398115745514244,124.25594715285517,-0.28939118066255753,15.65337992603322
Coefficient Variation,-2.295439417684523,-1.036343781374981,-1.893539522944794,-1.6221198006184927,-1.1097966792450498,2.0953501758008746,-2.8878631619276662,5.720290750399064,-1.7299302346313692,-2.0588463554448486,-1.7862107046056905,-1.9434258231189576,1.3612765871015755,0.5773502691896258,-1.4785835592751375,-7.405874761212276,3.1424574826356153,-1.0381844174624688,-0.3390590622142426,3.6565658475619993,1.322059810228655,-2.1308860343572307,-2.008394468392296,19.27264400805541,-0.34361907625109345,4.014612938946708,-3.2951773308102243,-2.111488617289709,-1.9161553118910069,-1.6850344417826835,-0.1801116964688137,-0.9259003617564566,-1.9346809140673122,-18.897343747215878,-1.824431673699356,-1.4152727767023405,-2.9769591823975237,-2.90715253244653,-1.8333151619204238,-1.3535665228176443,0.9756851186672998,1.5040976127725303,-0.024710260867999642,-1.455137019452066,-3.408901664264288,-2.5001033389594323,8.819980651412498,-169.99053100843824,-0.4958447642927874,17.309663394292382,2.8725460608070676,-1.0081255953963397,-1.6039986708498746,0.9503512437691117,4.3606450914665045,-1.548304603122146,3.01315327046929,-1.783426416343907,3.367074871267283,3.9546198968155566,-2.051314714941096,1.2825780548995962,-0.8975493235620133,-2.3911485798891885,8.144319613778928,-4.599632847284685,-1.1682574623356876,-2.652850382467972,1.0631386064989599,-1.9200039495396266,3.8361370047232133,-1.9850296438044068,-2.947709138283918,-1.6541262176800624,-2.2820962909278575,-1.1470152923660406,-2.624230282717485,-4.199061597838724,-1.6937809272295468,-0.7807432617343549,3.214904640131083,-4.057550292924884,-6.955446315051965,-3.4123181020014695,-3.048619479859706,-29.277041156832027,-2.135993105295428,-2.026423136202429,-2.5473150264453173,-4.030402126969024,5.483930508701602,-6.760816970056383,-5.455917166382886,-5.877658080136275,-2.4365037323135597,-1.1657314338885816,2.6396890341165085,-4.9450889772960425,-1.175035625053283,-39.52369572899598
Min,-1179.97492,-50.957123,-876.996766,-2.328939,-1.8392,0.000086,-6.499725,-0.200377,-0.33730778,-181.692489,-46.147678,-1154.290887,0.000026,0.1,-0.842421,-13.96097398,-0.00569091,-1.32190909,-0.063414,0.000013,-1.43,-0.015705,-5.984518,-0.939487,-0.002667,-0.1045,-48.357954,-2.298899,-137.94154,-17.637072,-0.00599,-302.304982,-3208.330092,-16.71909091,-126.717281,-76.16339256,-2.54483603,-9.039973,-552.627711,-36.313048,0.000051,-0.002983,-6.166384,-2284.468897,-2.358315,-21.212343,-0.304092,-91.188204,-2.791437,-4.89381252,-0.00538028,-461.553633,-3640.722086,1489.83078215,-0.216095,-43.998318,-0.068281,-628.156785,-0.003636,-0.05088,-3.603754,0.00001325,-12.54991408,-0.025746,-0.048,-0.133473,-31.95729,-1.23511,-0.007401,-3.37408182,-0.002489,-4.029025,-0.039081,-1.15769392,-1429.394093,-17.184213,-2.286383,-4.60654545,-5.335835,-2.28744,-0.015906,-4.34063636,-0.69313554,-0.671,-3.169839,-10.20569,-8.317224,-121.695094,-9.306118,-11.390452,-0.041091,-0.46878955,-3.776918,-16.362538,-83.843582,-15.50528446,-3.17650338,-53.17080736,-1748.420952,-15.960383
Max,402.96449929,0.013199,28.53088635,0.19991598,-0.000017,0.091986,0.008456,0.47933,0.114443,0.00909091,10.21421283,403.07356545,0.002314,0.4,0.00023259,11.35050105,15.18818182,0.50818182,-0.025924,0.04701404,15.30301016,-0.000159,0.08407807,1.00424039,-0.000969,0.76747,0.52941,0.12444601,35.82166745,0.44292145,-0.002957,0.1,376.27100581,2.57583315,16.97427719,-0.006202,0.154714,0.63636364,-0.42681818,-0.0648054,0.000576,0.036591,-5.831277,18,0.17082,0.32081691,0.281477,125.575762,-0.241417,104.82938921,0.126913,25.0048236,287.50667438,112961.38490843,0.364866,1.834466,0.213964,1.26363636,0.003448,0.176886,0.66700455,0.00143079,1.201893,0.039111,0.075548,0.017027,-0.01090797,0.006656,0.061511,-0.000473,0.114753,0.003201,0.04685,0.01886274,402.58601192,5.47968361,1.413222,0.18454545,0.19360114,-0.311328,0.029544,0.63446439,2.16115455,0.09631843,1.227726,36.09363636,1.426833,19.19896801,2.3066202,6.85168129,0.136565,0.23352469,1.61727273,27.11818182,9.91454545,8.10247512,3.579153,5.07088844,2,5.35781438
Median,-5.23772045,-8.37692639,-20.68718689,-0.14224094,-0.2069785,0.0017265,-0.0047595,0.00615455,-0.034000045,-5.587914095,-1.6223750149999998,-10.993588,0.000144,0.4,-0.0010990000000000002,-0.15096512,0.00102442,-0.34281818,-0.0373275,0.000182,1.13036368,-0.000563,-0.02396228,-0.005986,-0.002667,0.00533809,-0.09646439,-0.013618704999999998,-6.05588974,-0.16696208499999998,-0.004558,-37.866861345000004,-42.79930524,-0.006746,-5.26340173,-2.82655429,0.00096469,-0.011242195,-12.680793,-2.651264,0.000074,0.002225,-6.012211000000001,-97.78557787,0.00305722,-0.15422249999999998,0.073752,-1.070862,-1.331938,-0.24684441000000001,0.0024125500000000003,-65.3372,-98.12601839,23125.11146297,0.01261151,-0.85706364,0.003075,-10.58820909,0.000801,0.000804,-0.14438182,0.00008099999999999999,-2.2,-0.012468,0.001044,0.000048,-4.575666,-0.024336,0.010085,-0.020678,0.000654,-0.0242,0.000003,-0.022228,-3.50113352,-1.806883,-0.064346,-0.0049745,-0.213803,-1.0358575,0.00079,-0.013117,-0.003889,0.00010750000000000001,-0.00381818,-0.376995,-0.14691615,-1.94291222,-0.276114,0.098281,0.000741,0.000371,-0.002064,-0.00897,-0.48272727,-1.734887,0.14981818,-0.23675768,-112.082911,0.01302
No. of Obs,171,134,171,41,134,60,62,87,54,126,168,127,65,3,12,63,10,35,10,43,62,7,45,138,17,91,42,62,171,116,13,156,171,155,171,137,62,132,89,123,41,73,4,171,117,92,17,171,33,146,44,171,171,61,81,121,55,161,82,53,37,12,141,11,33,51,41,37,46,85,78,20,42,89,171,137,128,76,131,8,72,131,123,72,135,171,149,171,145,77,59,59,135,133,157,137,137,152,28,111
12/1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1489.83078215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606.46671811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748.49789229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/1963,4.7,,3.4,,,,,,,,0.7,4,,,,0.6,,,,,0.1,,,,,,,,3.7,,,,8.4,0.5,1.4,,,,,,,,,9.6,,,,3.2,,,,5.2,13.6,,,,,0.2,,,,,,,,,,,,,,,,,4,,0.1,,,,,,,,,2.2,,1.2,,,,,,,1.1,,,0.1,,
06/1963,7.6,,1.2,,,,,,,,2.1,5.5,,,,2.1,,,,,,,,,,,,,0.9,,,,8.8,0.4,0.6,,,,,,,,,4.7,,,,1.1,,,,1.4,10.2,,,,,0.1,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,0.3,,0.6,,,,,,,0.1,,,,,
09/1963,4.5,,0.7,,,,,,,,1.8,2.7,,,,1.2,,,,,,,,,,,,,5,,,,6.8,1,1,,,,,,,,,12.9,,,,0.7,,,,8.8,15.6,,,,,,,,,,,,,,,,,,,,,,2.7,,0.6,,,,,,,,,3.4,,0.9,,,,,,,3.4,,,0.1,,
12/1963,7.8,,0.8,,,,,,,,2.3,5.5,,,,2.1,,,,,,,,,,,,,5.1,,,,10.6,0.5,1,,,,,,,,,16.5,,,,0.8,,,,11.4,22,1890.00483346,,,,,,,,,,,,,,,,,,,,,5.5,,0.2,,,,,,,,,3.9,,0.8,,,,,,,6,,,0.2,,
03/1964,6.7,,6.2,,,,,,,,0.8,5.9,,,,0.7,,,,,,,,0.1,,,,,2.8,,,,13.5,0.6,1.2,,,,,,,,,12.5,,,,6.2,,,,4.9,18.4,,,,,,,,,,,,,,,,,,,,,,5.9,,0.1,,,,,,,,,1.4,,0.7,0.2,,,,,,1.6,,,0.3,,
