,QC Team Testing: Case: 975.22,QC Team Testing: Case: 985.26,QC Team Testing: Case: 995.20,QC Team Testing: Case: 995.13,QC Team Testing: Case: 1001.18
11/10/2000,24.59348592,,,,
18/10/2000,20.37579989,,,,
25/10/2000,16.04398684,,,,
01/11/2000,24.68284118,,,,
08/11/2000,8.20564354,,,,
15/11/2000,9.74915974,,,,
22/11/2000,7.32167529,,,,
29/11/2000,13.86097601,,,,
06/12/2000,11.45221783,,,,
13/12/2000,11.14021169,,,,
20/12/2000,16.5439929,,,,
27/12/2000,9.67307507,,,,
03/01/2001,8.3367274,,,,
10/01/2001,13.53098086,,,,
17/01/2001,14.71294741,,,,
24/01/2001,16.40067061,,,,
31/01/2001,10.91888787,,,,
07/02/2001,12.46520563,,,,
14/02/2001,14.74007838,,,,
21/02/2001,19.49551791,,,,
28/02/2001,10.8367577,,,,
07/03/2001,11.01546822,,,,
14/03/2001,8.72953665,,,,
21/03/2001,7.79071666,,,,
28/03/2001,7.40011918,,,,
04/04/2001,12.5320009,,,,
11/04/2001,10.95958432,,,,
18/04/2001,8.3923164,,,,
25/04/2001,15.98176256,,,,
02/05/2001,17.16358166,,,,
09/05/2001,18.33139292,,,,
16/05/2001,26.40801691,,,,
23/05/2001,23.19712574,,,,
30/05/2001,24.10704535,,,,
06/06/2001,15.9975398,,,,
13/06/2001,13.29255273,,,,
20/06/2001,11.7530177,,,,
27/06/2001,15.76456736,,,,
04/07/2001,2.93368345,,,,
11/07/2001,6.20871577,,,,
18/07/2001,2.68729296,,,,
25/07/2001,9.7426719,,,,
01/08/2001,6.05890564,,,,
08/08/2001,20.33908461,,,,
15/08/2001,12.40209664,,,,
22/08/2001,9.6859033,,,,
29/08/2001,3.88090814,,,,
05/09/2001,11.60379738,,,,
12/09/2001,22.92832271,,,,
19/09/2001,15.97851864,,,,
26/09/2001,22.6120405,,,,
03/10/2001,25.17488489,,,,
10/10/2001,10.59877192,,,,
17/10/2001,6.50818858,,,,
24/10/2001,8.44746304,,,,
31/10/2001,5.93534177,,,,
07/11/2001,9.74488366,,,,
14/11/2001,12.22132182,,,,
21/11/2001,28.24304357,,,,
28/11/2001,6.40202392,,,,
05/12/2001,11.74933143,,,,
12/12/2001,7.9744405,,,,
19/12/2001,4.10827745,,,,
26/12/2001,3.32605034,,,,
02/01/2002,4.36749617,,,,
09/01/2002,9.93804436,,,,
16/01/2002,12.26275552,,,,
23/01/2002,13.10071909,,,,
30/01/2002,16.88622648,,,,
06/02/2002,23.39397271,,,,
13/02/2002,7.28024158,,,,
20/02/2002,15.06859903,,,,
27/02/2002,9.30990346,,,,
06/03/2002,7.90779269,,,,
13/03/2002,12.91316152,,,,
20/03/2002,23.94499679,,,,
27/03/2002,16.93237862,,,,
03/04/2002,8.88362286,,,,
10/04/2002,16.39845885,,,,
17/04/2002,13.40697464,,,,
24/04/2002,6.72228731,,,,
01/05/2002,5.95406803,,,,
08/05/2002,0,,,,
15/05/2002,7.42577564,,,,
22/05/2002,7.64827907,,,,
29/05/2002,4.14499273,,,,
05/06/2002,2.49516442,,,,
12/06/2002,6.7196332,,,,
19/06/2002,7.44700857,,,,
26/06/2002,4.88563869,,,,
03/07/2002,6.54755798,,,,
10/07/2002,3.08482064,,,,
17/07/2002,5.50670195,,,,
24/07/2002,4.09766099,,,,
31/07/2002,7.17938516,,,,
07/08/2002,4.14440293,,,,
14/08/2002,3.60370041,,,,
21/08/2002,4.45921064,,,,
28/08/2002,6.4708835,,,,
04/09/2002,5.85675043,,,,
11/09/2002,4.73081523,,,,
18/09/2002,1.34401511,,,,
25/09/2002,2.81188899,,,,
02/10/2002,4.65871173,,,,
09/10/2002,7.62881555,,,,
16/10/2002,5.5062596,,,,
23/10/2002,2.78652743,,,,
30/10/2002,4.46850004,,,,
06/11/2002,1.06312111,,,,
13/11/2002,4.99917589,,,,
20/11/2002,5.95908137,,,,
27/11/2002,5.56907369,,,,
04/12/2002,5.03766058,,,,
11/12/2002,10.20566778,,,,
18/12/2002,2.56033773,,,,
25/12/2002,2.25054335,,,,
01/01/2003,5.21032561,,,,
08/01/2003,4.533231,,,,
09/01/2003,,163.42573811,,,
15/01/2003,6.03103741,,,,
16/01/2003,,164.41739914,,,
22/01/2003,4.58071019,,,,
23/01/2003,,166.74329502,,,
29/01/2003,3.37043306,,,,
30/01/2003,,168.97903989,,,
05/02/2003,4.47543024,,,,
06/02/2003,,168.74464728,,,
12/02/2003,4.29760443,,,,
13/02/2003,,165.88686049,,,
19/02/2003,4.1405692,,,,
20/02/2003,,163.85846293,,,
26/02/2003,5.96188293,,,,
27/02/2003,,162.67748479,,,
05/03/2003,8.95233498,,,,
06/03/2003,,164.58868605,,,
12/03/2003,3.76486427,,,,
13/03/2003,,165.05747126,,,
19/03/2003,7.01999071,,,,
20/03/2003,,162.10051837,,,
26/03/2003,5.66005091,,,,
27/03/2003,,162.19066937,,,
02/04/2003,8.12498789,,,,
03/04/2003,,161.55961235,,,
09/04/2003,8.85295307,,,,
10/04/2003,,161.00067613,,,
16/04/2003,20.96560356,,,,
17/04/2003,,161.71286906,,,
23/04/2003,4.22432133,,,,
24/04/2003,,163.43475321,,,
30/04/2003,11.75567182,,,,
01/05/2003,,164.22808204,,,
07/05/2003,12.13226146,,,,
08/05/2003,,164.42641424,,,
14/05/2003,11.76953221,,,,
15/05/2003,,166.0851927,,,
21/05/2003,10.61587623,,,,
22/05/2003,,167.05882353,,,
28/05/2003,11.20966107,,,,
29/05/2003,,168.13162046,,,
04/06/2003,11.39338492,,,,
05/06/2003,,169.43881001,,,
11/06/2003,15.42380829,,,,
12/06/2003,,171.88190219,,,
18/06/2003,24.56193142,,,,
19/06/2003,,172.11629479,,,
25/06/2003,15.78978146,,,,
26/06/2003,,171.39508677,,,
02/07/2003,11.71615497,,,,
03/07/2003,,171.86387199,,,
09/07/2003,8.6653955,,,,
10/07/2003,,168.63646608,,,
16/07/2003,7.01645189,,,,
17/07/2003,,165.82375479,,,
23/07/2003,2.26499354,,,,
24/07/2003,,169.1142664,,,
30/07/2003,5.18643856,,,,
31/07/2003,,168.78070769,,,
06/08/2003,1.26276965,,,,
07/08/2003,,167.86116746,,,
13/08/2003,5.31575301,,,,
14/08/2003,,166.93261213,,,
20/08/2003,0,,,,
21/08/2003,,165.43610548,,,
27/08/2003,2.95933991,,,,
28/08/2003,,164.48050485,,,
03/09/2003,29.99992125,,,,
04/09/2003,,165.13860717,,,
10/09/2003,15.86763555,,,,
11/09/2003,,167.34730674,,,
17/09/2003,9.31373718,,,,
18/09/2003,,172.2425062,,,
24/09/2003,12.56193343,,,,
25/09/2003,,174.59544737,,,
01/10/2003,10.99526744,,,,
02/10/2003,,175.10930809,,,
08/10/2003,1.95770583,,,,
09/10/2003,,174.13567726,,,
15/10/2003,10.10171488,,,,
16/10/2003,,175.89362182,,,
22/10/2003,6.0845621,,,,
23/10/2003,,177.98512508,,,
29/10/2003,11.54555426,,,,
30/10/2003,,178.68830291,,,
05/11/2003,5.1935162,,,,
06/11/2003,,177.13770566,,,
12/11/2003,11.97139251,,,,
13/11/2003,,178.607167,,,
19/11/2003,13.26807588,,,,
20/11/2003,,179.88731125,,,
26/11/2003,10.89927689,,,,
27/11/2003,,181.76245211,,,
03/12/2003,18.92945384,,,,
04/12/2003,,183.21388325,,,
10/12/2003,13.96876264,,,,
11/12/2003,,184.5931936,,,
17/12/2003,16.36631455,,,,
18/12/2003,,186.79287807,,,
24/12/2003,6.7685869,,,,
25/12/2003,,187.14446698,,,
31/12/2003,3.4328048,,,,
01/01/2004,,190.99391481,,,
07/01/2004,18.15032319,,,,
08/01/2004,,195.35722335,,,
14/01/2004,20.85958635,,,,
15/01/2004,,194.90646833,,,
21/01/2004,27.6937889,,,,
22/01/2004,,194.41965292,,,
28/01/2004,16.41836472,,,,
29/01/2004,,196.39395988,,,
04/02/2004,15.11681548,,,,
05/02/2004,,197.23236421,,,
11/02/2004,9.46502182,,,,
12/02/2004,,200.54090602,,,
18/02/2004,4.59648744,,,,
19/02/2004,,202.23574487,,,
25/02/2004,13.84667328,,,,
26/02/2004,,200.27946811,,,
03/03/2004,25.5152016,,,,
04/03/2004,,196.9799414,,,
10/03/2004,10.00380747,,,,
11/03/2004,,193.38291638,,,
17/03/2004,6.07836916,,,,
18/03/2004,,196.72751859,,,
24/03/2004,4.11093157,,,,
25/03/2004,,196.57426189,,,
31/03/2004,12.71321808,,,,
01/04/2004,,196.05138607,,,
07/04/2004,2.79625919,,,,
08/04/2004,,195.02366464,,,
14/04/2004,10.87244083,,,,
15/04/2004,,191.14717151,,,
21/04/2004,5.90452453,,,,
22/04/2004,,188.60491323,,,
28/04/2004,7.89909308,,,,
29/04/2004,,189.34415145,,,
05/05/2004,12.23149593,,,,
06/05/2004,,188.87536624,,,
12/05/2004,6.3110467,,,,
13/05/2004,,185.46765833,,,
19/05/2004,10.1292882,,,,
20/05/2004,,188.28938472,,,
26/05/2004,13.94708735,,,,
27/05/2004,,192.02163624,,,
02/06/2004,3.75808153,,,,
03/06/2004,,193.29276538,,,
09/06/2004,23.64198515,,,,
10/06/2004,,192.16587785,,,
16/06/2004,2.41436132,,,,
17/06/2004,,194.15821501,,,
23/06/2004,24.0518987,,,,
24/06/2004,,193.51814289,,,
30/06/2004,9.84382323,,,,
01/07/2004,,194.94252874,,,
07/07/2004,13.47893069,,,,
08/07/2004,,197.38562092,,,
14/07/2004,25.83222108,,,,
15/07/2004,,199.8828037,,,
21/07/2004,10.61218996,,,,
22/07/2004,,197.82736083,,,
28/07/2004,3.63613962,,,,
29/07/2004,,195.59161596,,,
04/08/2004,16.96835664,,,,
05/08/2004,,197.62001352,,,
11/08/2004,6.00420135,,,,
12/08/2004,,198.34122155,,,
18/08/2004,22.99128426,,,,
19/08/2004,,197.23236421,,,
25/08/2004,2.48823423,,,,
26/08/2004,,193.61730899,,,
01/09/2004,37.580078,,,,
02/09/2004,,193.7254902,,,
08/09/2004,28.58866852,,,,
09/09/2004,,194.77124183,,,
15/09/2004,12.39782056,,,,
16/09/2004,,194.14018481,,,
22/09/2004,22.29015514,,,,
23/09/2004,,196.22267298,,,
29/09/2004,12.0182819,,,,
30/09/2004,,196.33986928,,,
06/10/2004,21.90648786,,,,
07/10/2004,,194.77124183,,,
13/10/2004,14.56505414,,,,
14/10/2004,,195.83502366,,,
20/10/2004,22.77290945,,,,
21/10/2004,,200.61302682,,,
27/10/2004,33.17188538,,,,
28/10/2004,,199.9729547,,,
03/11/2004,8.74103782,,,,
04/11/2004,,202.07347307,,,
10/11/2004,18.04430599,,,,
11/11/2004,,202.45210728,,,
17/11/2004,4.8711885,,,,
18/11/2004,,203.44376831,,,
24/11/2004,19.26549448,,,,
25/11/2004,,207.22109533,,,
01/12/2004,20.50201787,,,,
02/12/2004,,212.63015551,,,
08/12/2004,30.6192151,,,,
09/12/2004,,211.80978138,,,
15/12/2004,30.28980975,,,,
16/12/2004,,212.50394411,,,
22/12/2004,13.65837845,,,,
23/12/2004,,210.80009015,,,
29/12/2004,21.49583705,,,,
30/12/2004,,210.72796935,,,
05/01/2005,11.81140827,,,,
06/01/2005,,205.58936218,,,
12/01/2005,24.14169631,,,,
13/01/2005,,206.70723462,,,
19/01/2005,32.63899776,,,,
20/01/2005,,204.80504846,,,
26/01/2005,25.74817405,,,,
27/01/2005,,205.40004508,,,
02/02/2005,29.45715442,,,,
03/02/2005,,205.21974307,,,
09/02/2005,28.53514384,,,,
10/02/2005,,205.60739238,,,
16/02/2005,31.66302014,,,,
17/02/2005,,207.87919766,,,
23/02/2005,0,,,,
24/02/2005,,209.1773721,,,
02/03/2005,68.3128303,,,,
03/03/2005,,208.74464728,,,
09/03/2005,41.7933405,,,,
10/03/2005,,209.46585531,,,
16/03/2005,2.78696978,,,,
17/03/2005,,208.89790399,,,
23/03/2005,106.42078258,,,,
24/03/2005,,204.30020284,,,
30/03/2005,28.91379779,,,,
31/03/2005,,202.35294118,,,
02/04/2005,,,,10.6626,
06/04/2005,14.82206109,,,,
07/04/2005,,202.01036737,,,
09/04/2005,,,,10.7354,
13/04/2005,15.81116184,,,,
14/04/2005,,203.56096462,,,
16/04/2005,,,,10.7321,
20/04/2005,6.00862487,,,,
21/04/2005,,205.39102998,,,
23/04/2005,,,,10.7313,
27/04/2005,7.07661187,,,,
28/04/2005,,204.98535046,,,
30/04/2005,,,,10.6461,
04/05/2005,13.25156137,,,,
05/05/2005,,203.76831192,,,
07/05/2005,,,,10.6138,
11/05/2005,6.29556436,,,,
12/05/2005,,201.48749155,,,
14/05/2005,,,,10.4416,
18/05/2005,12.20849359,,,,
19/05/2005,,196.8447149,,,
21/05/2005,,,,10.3854,
25/05/2005,15.82531713,,,,
26/05/2005,,196.18661258,,,
28/05/2005,,,,10.3225,
01/06/2005,22.19003597,,,,
02/06/2005,,195.57358576,,,
04/06/2005,,,,10.1569,
08/06/2005,32.67615539,,,,
09/06/2005,,196.8897904,,,
11/06/2005,,,,9.9831,
15/06/2005,21.35384182,,,,
16/06/2005,,196.22267298,,,
18/06/2005,,,,10.1056,
22/06/2005,0,,,,
23/06/2005,,196.53820149,,,
25/06/2005,,,,10.0675,
29/06/2005,9.02532319,,,,
30/06/2005,,195.52851025,,,
02/07/2005,,,3.6009,9.8441,
06/07/2005,4.81353519,,,,
07/07/2005,,189.36218165,,,
09/07/2005,,,3.576,9.9368,
13/07/2005,3.08585279,,,,
14/07/2005,,189.79490647,,,
16/07/2005,,,3.5605,9.9765,
20/07/2005,3.21089117,,,,
21/07/2005,,188.59589813,,,
23/07/2005,,,3.5525,9.7843,
27/07/2005,5.5708431,,,,
28/07/2005,,190.6603561,,,
30/07/2005,,,3.5043,9.903,
03/08/2005,2.32397391,,,,
04/08/2005,,193.14852378,,,
06/08/2005,,,3.4279,10.0308,
10/08/2005,5.72950029,,,,
11/08/2005,,196.23168808,,,
13/08/2005,,,3.5764,10.0194,
17/08/2005,1.92570898,,,,
18/08/2005,,195.60063106,,,
20/08/2005,,,3.5196,9.914,
24/08/2005,3.99002182,,,,
25/08/2005,,196.13252197,,,
27/08/2005,,,3.5175,9.9484,
31/08/2005,5.23332795,,,,
01/09/2005,,201.00969123,,,
03/09/2005,,,3.5036,10.1452,
07/09/2005,5.74011675,,,,
08/09/2005,,201.19900834,,,
10/09/2005,,,3.495,9.9641,
14/09/2005,13.31761939,,,,
15/09/2005,,200.1262114,,,
17/09/2005,,,3.4794,9.8214,
21/09/2005,5.75427204,,,,
22/09/2005,,198.23304034,,,
24/09/2005,,,3.546,9.7366,
28/09/2005,9.75255111,,,,
29/09/2005,,193.9148073,,,
01/10/2005,,,3.5522,9.6562,
05/10/2005,6.68984811,,,,
06/10/2005,,194.38359252,,,
08/10/2005,,,3.6,9.7748,
12/10/2005,6.25781692,,,,
13/10/2005,,194.14018481,,,
15/10/2005,,,3.6092,9.723,
19/10/2005,5.33359457,,,,
20/10/2005,,195.46540455,,,
22/10/2005,,,3.5977,9.6646,
26/10/2005,9.69917388,,,,
27/10/2005,,196.54721659,,,
29/10/2005,,,3.6512,9.72,
02/11/2005,7.25488003,,,,
03/11/2005,,195.14987604,,,
05/11/2005,,,3.6857,9.5629,
09/11/2005,10.53182921,,,,
10/11/2005,,192.51746676,,,
12/11/2005,,,3.6389,9.4677,
16/11/2005,21.0285651,,,,
17/11/2005,,191.61595673,,,
19/11/2005,,,3.6551,9.5472,
23/11/2005,15.47585846,,,,
24/11/2005,,191.09308091,,,
26/11/2005,,,3.6547,9.4775,
30/11/2005,4.83978145,,,,
01/12/2005,,192.98625197,,,
03/12/2005,,,3.6515,9.5087,
07/12/2005,11.36964532,,,,
08/12/2005,,195.50146495,,,
10/12/2005,,,3.6438,9.6318,
14/12/2005,73.55367825,,,,
15/12/2005,,196.15055217,,,
17/12/2005,,,3.6595,9.669,
21/12/2005,13.44221541,,,,
22/12/2005,,194.06806401,,,
24/12/2005,,,3.6616,9.5693,
28/12/2005,13.05161793,,,,
29/12/2005,,191.08406581,,,
31/12/2005,,,3.6825,9.5438,
04/01/2006,36.7130666,,,,
05/01/2006,,195.01464954,,,
07/01/2006,,,3.6645,9.7427,
11/01/2006,51.1974651,,,,
12/01/2006,,195.63669146,,,
14/01/2006,,,3.6352,9.7711,
18/01/2006,30.93151614,,,,
19/01/2006,,195.66373676,,,
21/01/2006,,,3.6339,9.9008,
25/01/2006,8.07396987,,,,
26/01/2006,,195.93418977,,,
28/01/2006,,,3.6101,9.7391,
01/02/2006,25.10617276,,,,
02/02/2006,,194.98760424,,,
04/02/2006,,,3.5982,9.6519,
08/02/2006,82.97652911,,,,
09/02/2006,,190.9127789,,,
11/02/2006,,,3.5255,9.5665,
15/02/2006,18.3930274,,,,
16/02/2006,,190.11945008,,,
18/02/2006,,,3.503,9.6032,
22/02/2006,0,,,,
23/02/2006,,189.69574037,,,
25/02/2006,,,3.4995,9.5314,
01/03/2006,23.30137353,,,,
02/03/2006,,189.33513635,,,
04/03/2006,,,3.4813,9.6595,
08/03/2006,4.15811586,,,,
09/03/2006,,187.11742168,,,
11/03/2006,,,3.51,9.5976,
15/03/2006,22.8691949,,,,
16/03/2006,,186.77484787,,,
18/03/2006,,,3.5075,9.7696,
22/03/2006,15.5469298,,,,
23/03/2006,,185.03493351,,,
25/03/2006,,,3.5112,9.6495,
29/03/2006,16.44284157,,,,
30/03/2006,,184.7103899,,,
01/04/2006,,,3.5158,9.6757,
05/04/2006,21.6474166,,,,
06/04/2006,,186.90105927,,,
08/04/2006,,,3.5006,9.684,
12/04/2006,12.04010464,,,,
13/04/2006,,190.05634438,,,
15/04/2006,,,3.4876,9.8188,
19/04/2006,9.08636787,,,,
20/04/2006,,192.17489295,,,
22/04/2006,,,3.4651,9.9149,
26/04/2006,43.39583707,,,,
27/04/2006,,195.91615957,,,
29/04/2006,,,3.4799,10.1353,
03/05/2006,6.87873274,,,,
04/05/2006,,199.06242957,,,
06/05/2006,,,3.4609,10.2137,
10/05/2006,8.0300295,,,,
11/05/2006,,201.93824656,,,
13/05/2006,,,3.5436,10.2585,
17/05/2006,9.67189546,,,,
18/05/2006,,201.64976335,,,
20/05/2006,,,3.556,10.2312,
24/05/2006,0,,,,
25/05/2006,,199.19765607,,,
27/05/2006,,,3.5175,10.2424,
31/05/2006,4.51317767,,,,
01/06/2006,,199.30583728,,,
03/06/2006,,,3.5284,10.3788,
07/06/2006,33.01750427,,,,
08/06/2006,,196.11449177,,,
10/06/2006,,,3.5277,10.0778,
14/06/2006,24.15688376,,,,
15/06/2006,,195.47441965,,,
17/06/2006,,,3.5248,10.0751,
21/06/2006,0,,,,
22/06/2006,,194.81631733,,,
24/06/2006,,,3.6335,10.0536,
28/06/2006,10.90723924,,,,
29/06/2006,,194.91548343,,,
01/07/2006,,,3.5599,10.2223,
05/07/2006,10.80254909,,,,
06/07/2006,,195.34820825,,,
08/07/2006,,,3.588,10.1899,
12/07/2006,2.70587178,,,,
13/07/2006,,195.30313275,,,
15/07/2006,,,3.5991,10.029,
19/07/2006,5.0159853,,,,
20/07/2006,,195.15889114,,,
22/07/2006,,,3.564,10.0868,
26/07/2006,1.84490588,,,,
27/07/2006,,196.30380888,,,
29/07/2006,,,3.5447,10.1753,
02/08/2006,10.05158157,,,,
03/08/2006,,200.59499662,,,
05/08/2006,,,3.5144,10.24,
09/08/2006,10.10083018,,,,
10/08/2006,,200.57696642,,,
12/08/2006,,,3.5354,10.1477,
16/08/2006,24.92392343,,,,
17/08/2006,,199.64841109,,,
19/08/2006,,,3.5258,10.2908,
23/08/2006,51.12757336,,,,
24/08/2006,,199.82871309,,,
26/08/2006,,,3.5224,10.2025,
30/08/2006,13.66368669,,,,
31/08/2006,,200.82938923,,,
02/09/2006,,,3.527,10.2026,
06/09/2006,5.81502182,,,,
07/09/2006,,199.28780708,,,
09/09/2006,,,3.517,10.1122,
13/09/2006,17.62893675,,,,
14/09/2006,,198.65675006,,,
16/09/2006,,,3.5272,10.0646,
20/09/2006,27.95315507,,,,
21/09/2006,,200.56795132,,,
23/09/2006,,,3.5459,10.1138,
27/09/2006,22.38422883,,,,
28/09/2006,,199.36894298,,,
30/09/2006,,,3.5356,10.0264,
04/10/2006,7.17510908,,,,
05/10/2006,,198.72887086,,,
07/10/2006,,,3.5074,9.9557,
11/10/2006,10.58328958,,,,
12/10/2006,,195.91615957,,,
14/10/2006,,,3.5011,9.8991,
18/10/2006,42.52086333,,,,
19/10/2006,,197.40365112,,,
21/10/2006,,,3.5363,9.9181,
25/10/2006,71.480076,,,,
26/10/2006,,199.32386748,,,
28/10/2006,,,3.5216,10.0131,
01/11/2006,59.45117763,,,,
02/11/2006,,200.30651341,,,
04/11/2006,,,3.5158,10.0106,
08/11/2006,89.12110373,,,,
09/11/2006,,200.69416272,,,
11/11/2006,,,3.5098,10.093,
15/11/2006,80.19929109,,,,
16/11/2006,,199.16159567,,,
18/11/2006,,,3.4968,10.111,
22/11/2006,46.9300881,,,,
23/11/2006,,203.45278341,,,
25/11/2006,,,3.4776,10.2861,
29/11/2006,37.10454879,,,,
30/11/2006,,207.61775975,,,
02/12/2006,,,3.4383,10.4176,
06/12/2006,39.15971967,,,,
07/12/2006,,206.84246112,,,
09/12/2006,,,3.4338,10.3242,
13/12/2006,73.17605645,,,,
14/12/2006,,206.82443092,,,
16/12/2006,,,3.4185,10.2406,
20/12/2006,51.2058698,,,,
21/12/2006,,207.16700473,,,
23/12/2006,,,3.3695,10.2923,
27/12/2006,34.49938599,,,,
28/12/2006,,207.10389903,,,
30/12/2006,,,3.3829,10.3574,
03/01/2007,38.99368994,,,,
04/01/2007,,207.23912554,,,
06/01/2007,,,3.3872,10.1668,
10/01/2007,76.24126612,,,,
11/01/2007,,206.59905341,,,
13/01/2007,,,3.3916,10.0834,
17/01/2007,55.4431668,,,,
18/01/2007,,208.23980167,,,
20/01/2007,,,3.3793,10.0568,
24/01/2007,91.62201874,,,,
25/01/2007,,207.46450304,,,
27/01/2007,,,3.4045,10.0454,
31/01/2007,189.22317216,,,,
01/02/2007,,206.50890241,,,
03/02/2007,,,3.385,10.031,
07/02/2007,163.59664512,,,,
08/02/2007,,207.01374803,,,
10/02/2007,,,3.3961,10.05,
14/02/2007,55.30751196,,,,
15/02/2007,,206.0581474,,,
17/02/2007,,,3.374,10.1676,
21/02/2007,141.29985468,,,,
22/02/2007,,206.31057021,,,
24/02/2007,,,3.3786,10.2036,
28/02/2007,202.03341294,,,,
01/03/2007,,205.74261889,,,
03/03/2007,,,3.4,10.1393,
07/03/2007,83.00867341,,,,
08/03/2007,,203.33558711,,,
10/03/2007,,,3.371,10.1985,
14/03/2007,41.44948496,,,,
15/03/2007,,204.57065585,,,
17/03/2007,,,3.3355,10.2912,
21/03/2007,29.80764525,,,,
22/03/2007,,206.75231012,,,
24/03/2007,,,3.3604,10.2647,
28/03/2007,25.52537572,,,,
29/03/2007,,207.48253324,,,
31/03/2007,,,3.3477,10.3373,
04/04/2007,0,,,,
05/04/2007,,207.60874465,,,
07/04/2007,,,3.34,10.385,
11/04/2007,109.23812726,,,,
12/04/2007,,209.97070092,,,
14/04/2007,,,3.332,10.4784,
18/04/2007,59.18443893,,,,
19/04/2007,,211.43114717,,,
21/04/2007,,,3.3382,10.4722,
25/04/2007,88.13023357,,,,
26/04/2007,,210.53865224,,,
28/04/2007,,,3.3293,10.4812,
02/05/2007,155.71377164,,,,
03/05/2007,,209.68221771,,,
05/05/2007,,,3.312,10.4889,
09/05/2007,51.37396384,,,,
10/05/2007,,208.97903989,,,
12/05/2007,,,3.276,10.406,
16/05/2007,0,,,,
17/05/2007,,208.53729998,,,
19/05/2007,,,3.2573,10.3079,
23/05/2007,77.65738473,,,,
24/05/2007,,208.92494929,,,
26/05/2007,,,3.2697,10.2848,
30/05/2007,58.70831991,,,,
31/05/2007,,209.1863872,,,
02/06/2007,,,3.2595,10.3153,
06/06/2007,35.29193466,,,,
07/06/2007,,209.1322966,,,
09/06/2007,,,3.2676,10.2342,
13/06/2007,120.58830906,,,,
14/06/2007,,208.21275637,,,
16/06/2007,,,3.214,10.229,
20/06/2007,112.76765986,,,,
21/06/2007,,209.75433852,,,
23/06/2007,,,3.1799,10.2565,
27/06/2007,275.03709927,,,,
28/06/2007,,211.76109984,,,
30/06/2007,,,3.113,10.3333,
04/07/2007,124.99930324,,,,
05/07/2007,,211.60604012,,,
07/07/2007,,,3.125,10.354,
11/07/2007,64.49237704,,,,
12/07/2007,,213.8426865,,,
14/07/2007,,,3.1275,10.4292,
18/07/2007,106.90353689,,,,
