,Gross Domestic Product (GDP),GDP: GVA: NACE 2: Financial & Insurance Activities,GDP: GVA: NACE 2: Information & Communication,GDP: Gross Value Added (GVA),GDP: Final Consumption: Government,GDP: Final Consumption: Households,GDP: GVA: Taxes Less Subsidies,GDP: GVA: NACE 2: Real Estate Activities,GDP: GVA: NACE 2: Construction,GDP: GVA: NACE 2: Industry: ow Manufacturing,GDP: GVA: NACE 2: Industry,"GDP: GVA: NACE 2: Agriculture, Forestry & Fishing",NAS 2011-2012: GDP Deflator,GDP: 2010p: Final Consumption Expenditure: Government,GDP: Changes in Stocks,GDP: Final Consumption Expenditure: Government,Government Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Wholesale & Retail Trade, Motor Vehicles Repair, Transport & Storage, Accommodation & Food Services",Private Consumption Expenditure: USD mn: Quarterly: Albania,Private Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Arts, Entertainment & Recreation, Household Goods Repair & Other Services","GDP: GVA: NACE 2: Public Administration & Defense, Social Security, Education, Health & Social Work","GDP: GVA: NACE 2: Professional, Scientific & Technical Activities, Administrative & Support Services",Government Consumption Expenditure: USD mn: Annual: United Arab Emirates,Government Consumption Expenditure: USD mn: Quarterly: Albania,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: sa: YoY,Real GDP: YoY: sa,Real GDP: YoY: sa,GDP per Capita: SNA 2008,Real GDP: YoY: saar,GDP per Capita: SNA 2008: USD,Global Manufacturing PMI: Excluding Japan: sa: New Orders Index,Global Manufacturing PMI: Excluding Japan: sa: Quantity of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Output Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Employment Index,Global Manufacturing PMI: Excluding Japan: sa: Backlogs of Work Index,Global Manufacturing PMI: Excluding Japan: sa: Input Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Output Index,OE Forecast: Australia: GDP: Nominal: USD: Consumption: Private,OE Forecast: Australia: GDP: Nominal: USD,AF: Gross Domestic Product (GDP),AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,AF: GDP: Gross Capital Formation,AF: GDP: Exports of Goods and Services,AF: GDP: Changes in Inventories,AF: GDP: Statistical Discrepancy,AF: GDP: Imports of Goods and Services,AF: GDP: Volume: 2002 Prices,AF: GDP: Household Consumption Expenditure including NPISHs,GDP: Final Consumption: Government: Collective,GDP: Final Consumption: NPISHs,Central Government: Nominal Interest,Central Government: Primary Result,Central Government: Primary Result excludes Nominal Interest,Global Manufacturing PMI: Excluding Japan: non-sa: Future Output Index,Global Manufacturing PMI: Excluding Japan: sa: Suppliers' Delivery Times Index,Global Manufacturing PMI: Excluding Japan: sa: PMI,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Finished Goods Index,Global Manufacturing PMI: Excluding Japan: sa: New Export Orders Index,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,GDP: Nominal: MED: SNA 2008: Estimate,Central Government Operation: Revenue,Central Government Operation: Expenditure,Central Government Operation: Balance,Gross Domestic Product: Estimate: Monthly,GDP/Capita: SNA 1993: 1993 Base,GDP per Capita: SNA 1968,(DC)Central Government: Primary Result: Treasury,(DC)Central Government: Primary Result: Treasury: Revenue,(DC)Central Government: Primary Result: Treasury: Transfers,(DC)Central Government: Primary Result: Treasury: Expenditure,(DC)Central Government: Primary Result: Social Security,(DC)Central Government: Primary Result: Social Security: Revenue,(DC)Central Government: Primary Result: Social Security: Expenditure,AF: (DC)GDP: Volume: 1985 Prices,"(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 1 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 2 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 3 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 4 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 5 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 6 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 7 to 8 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 9 to 11 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 12 to17 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 18 to23 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 24 to29 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 30 to35 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 36 to41 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 42 to47 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 48 to59 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 60to120 Mth",(DC)GDP/Capita: SNA 1993: 2000 Base: Exclude Oil & Gas,(DC)Gross Domestic Product per Capita: SNA 1993,GDP/Capita: SNA 1993: 2000 Base
01/05/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3,,,49.7,52.2,,66,57.7,,,,,,,,,,,,,,,5329.57,2964.20246314,-2365.36753686,,43.6,54.9,,55.1,,,19180.61583315,21545.98337001,-2365.36753686,476.5,,,3587.40104339,14808.38868985,3446.28849215,7774.69915431,-623.19858025,4372.2271433,4995.42572355,,,,,,,,,,,,,,,,,,,,
01/06/2000,,,,,,,,,,,,,,,,,,,,,,,,,,7.66766041,4.42224592,6.01602007,4.11201623,9.03757347,8.09368071,4.21182594,,2.72348594,,54.5,,,49.6,51,,63.2,56.1,58166.69,100398.7,,,,,,,,,,,,,6494.07,1581.42299768,-4912.64700232,,44.5,53.8,,53.3,,,18074.28449952,22986.93150184,-4912.64700232,535.9,,,2218.43572256,13654.60225164,2943.85400332,8492.31252576,-637.01272489,4419.68224788,5056.69497276,,,,,,,,,,,,,,,,,,,1488500.25,
01/07/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3,,,50.7,51.7,,63.4,55.8,,,,,,,,,,,,,,,2954.66,411.06228003,-2543.59771997,,44.7,54.3,,52.7,,,18514.42088464,21058.01860461,-2543.59771997,507.6,,,1064.19182697,13967.84932526,3238.76693937,9664.89055892,-653.12954695,4546.57155937,5199.70110632,,,,,,,,,,,,,,,,,,,,
01/08/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2,,,49.8,49.9,,58.6,53.4,,,,,,,,,,,,,,,2482.82,3296.09533265,813.27533265,,45.7,52.7,,52,,,20642.34224338,19829.06691073,813.27533265,574.7,,,3894.85423399,15980.63531602,3379.99428147,8705.78680056,-598.75890135,4661.70692736,5260.4658287,,,,,,,,,,,,,,,,,,,,
01/09/2000,,,,,,,,,,,,,,,,,,,,,,,,,,7.88959714,3.26871491,2.53940544,5.27020544,9.32257803,7.28641373,3.22490986,,2.23025656,,52.6,,,49,50.5,,61.6,53.7,58986.32,100037,,,,,,,,,,,,,374.24,1592.77662826,1218.53662826,,47.2,52.1,,51.6,,,18676.54922518,17458.01259692,1218.53662826,611.1,,,2426.45946773,14175.99359465,3286.42310015,8463.11102677,-833.68283948,4500.55563053,5334.23847,,,,,,,,,,,,,,,,,,,1586096.66,
01/10/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9,,,48.8,49.3,,59.9,52.1,,,,,,,,,,,,,,,3180.61,1070.86031919,-2109.74968081,,47.9,51.2,,50.2,,,19831.81821344,21941.56789425,-2109.74968081,643.2,,,1981.22772144,15336.65046569,3287.03121668,10068.39152757,-910.36740225,4495.16774776,5405.53515,,,,,,,,,,,,,,,,,,,,
01/11/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,47.2,48.5,,58.3,52.5,,,,,,,,,,,,,,,3319.82,1316.92429727,-2002.89570273,,49.4,50.7,,49.8,,,19974.90757173,21977.80327446,-2002.89570273,616.2,,,2685.11328218,15457.60396304,3724.62320585,9047.86747501,-1368.18898491,4517.30360869,5885.4925936,,,,,,,,,,,,,,,,,,,,
01/12/2000,,,,,,,,,,,,,,,,,338.02541057,,,2885.38537386,,,,10860.44928523,,4.25616889,2.57731959,2.7705831,3.98402434,5.35405487,5.14404291,1.12365776,,3.16720075,,48.1,,,45.9,45.7,,57.4,48.1,54974.41,92447.8,,,,,,,,,,,,,3612.2,-1879.36204842,-5491.56204842,,49,47.9,,49.7,38437.19647877,,25340.9540338,30832.51608222,-5491.56204842,778.3,6774986.41122202,,165.41544584,17670.75625001,3618.99596357,13886.3448406,-2044.77749426,7670.19778379,9714.97527805,,,,,,,,,,,,,,,,,,5918748.46327201,1635800.9,6751595.03450384
01/01/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,,,46.4,45.7,,59.5,46.8,,,,,,,,,,,,,,,5785.72,2586.66439871,-3199.0556013,,50.9,46.7,,48,,,22521.92591534,25720.98151664,-3199.0556013,582.6,,,3227.14479925,17902.37572314,4357.6220402,10317.6088837,-640.48040054,4619.5501922,5260.03059274,,,,,,,,,,,,,,,,,,,,
01/02/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6,,,47.4,43,,53.2,45.8,,,,,,,,,,,,,,,2149.94,642.53729705,-1507.40270295,,50.9,46.1,,47.6,,,18327.28160102,19834.68430397,-1507.40270295,586.7,,,1164.61155035,13547.56435675,3820.28306651,8562.6697399,-522.0742533,4779.71724427,5301.79149757,,,,,,,,,,,,,,,,,,,,
01/03/2001,,,,,,,,,,,,,,,,,,,,,,,,,,2.86935085,-0.87434889,2.14611695,2.62932386,4.96589239,1.78141737,1.73563722,,1.79300918,,46.4,,,47.5,44,,49,47,55929.8,94656.44,,,,,,,,,,,,,4330.15,3626.6522435,-703.4977565,,52.6,46.3,,48.5,,,21471.71581398,22175.21357048,-703.4977565,634,,,4427.27237809,16824.28459557,3319.44860333,9077.56361415,-800.62013459,4647.43121841,5448.051353,,,,,,,,,,,,,,,,,,,1695647.71,
01/04/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1,,,44.6,42.7,,46.9,46.2,,,,,,,,,,,,,,,1337.65,6580.8499663,5243.1999663,,53.4,45.7,,45.9,,,24429.43318694,19186.23322064,5243.1999663,682.6,,,7263.26235811,19647.08902156,3632.52399,8751.30267345,-682.41239181,4782.34416538,5464.75655719,,,,,,,,,,,,,,,,,,,,
01/05/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5,,,43.7,40.9,,45.1,45.9,,,,,,,,,,,,,,,1652.35,3555.52884464,1903.17884464,,54.9,44.8,,45.1,,,23277.9196818,21374.74083716,1903.17884464,703.5,,,4435.18113042,18359.50482058,4305.15038549,9619.17330467,-879.65228578,4918.41486122,5798.067147,,,,,,,,,,,,,,,,,,,,
01/06/2001,,,,,,,,,,,,,,,,,,,,,,,,,,-2.40164702,3.33745365,3.580922,3.16875228,5.0011162,1.48595978,1.66556091,,1.10122664,,47.9,,,44.5,40.9,,43.5,47,54832.95,92524.66,,,,,,,,,,,,,4136.14,1598.77953021,-2537.36046979,,54.2,45.6,,45,,,20751.40825659,23288.76872638,-2537.36046979,743.3,,,2392.12267621,15709.00729359,3606.132576,9710.75204138,-793.343146,5042.400963,5835.744109,,,,,,,,,,,,,,,,,,,1784458.27,
01/07/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4,,,42.9,41.5,,40.2,47.4,,,,,,,,,,,,,,,3626.83,1234.6921974,-2392.1378026,,54.6,45.7,,46.4,,,21807.84977801,24199.98758061,-2392.1378026,752.6,,,2371.42997674,16824.00172123,3538.543484,10914.02826049,-1136.73777934,4983.84805678,6120.58583612,,,,,,,,,,,,,,,,,,,,
01/08/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1,,,43.1,43.7,,37.7,49.8,,,,,,,,,,,,,,,4550.1,2440.11150477,-2109.98849523,,54.9,47.6,,47.9,,,22424.3526494,24534.34114463,-2109.98849523,790.6,,,3480.4106489,17372.15178366,3668.28301933,10223.45811543,-1040.29914413,5052.20086574,6092.50000987,,,,,,,,,,,,,,,,,,,,
01/09/2001,,,,,,,,,,,,,,,,,,,,,,,,,,-4.79065205,2.7689259,3.82087435,2.71742857,3.60636379,0.16843533,2.67805812,,-0.00489897,,48.5,,,43.8,43.2,,37.7,49.6,55147.07,94554.43,,,,,,,,,,,,,2087.31,1643.64752137,-443.66247863,,54.8,46.7,,44.4,,,21075.70266251,21519.36514114,-443.66247863,917.9,,,2751.31956252,16164.22728431,3858.74856205,9554.15915974,-1107.67204115,4911.4753782,6019.14741935,,,,,,,,,,,,,,,,,,,1794926.98,
01/10/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,42.4,39.2,,33.9,42.9,,,,,,,,,,,,,,,6545.21,2435.94508374,-4109.26491626,,54.4,42,,41.4,,,23347.7831332,27457.04804946,-4109.26491626,857,,,3390.33663106,18275.43580011,3561.53526483,11323.56390422,-954.39154732,5072.34733309,6026.73888041,,,,,,,,,,,,,,,,,,,,
01/11/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,,,42,38.9,,33,46.3,,,,,,,,,,,,,,,5369.57,846.26213456,-4523.30786545,,54.5,44.4,,45.6,,,22038.11911795,26561.4269834,-4523.30786545,820.7,,,2436.91838357,16951.90664688,4136.93562,10378.05264332,-1590.65624901,5086.21247107,6676.86872008,,,,,,,,,,,,,,,,,,,,
01/12/2001,,,,,,,,,,,,,,,,,417.27794294,,,3071.26498659,,,,10242.34034255,,-0.54866893,3.57076387,4.19526415,3.05877903,5.85230013,-1.1523771,4.31939802,,-1.27251486,,48.5,,,41.3,40.2,,34.4,47.2,55835.41,95514.94,,,,,,,,,,,,,7929.4,-4762.6,-12692,,54.1,45.4,,44.8,39820.31245019,,28567,41259,-12692,859.6,7905488.82235577,,-2075.07332944,19971.06324731,4219.63464,17826.50193676,-2687.87718115,8595.94709429,11283.82427544,,,,,,,,,,,,,,,,,,7025552.59517395,1751092.79,7880886.09846689
01/01/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,,,42.7,41.4,,40.3,49.7,,,,,,,,,,,,,,,5482.45,6052.45,570,,52.6,47.6,,47.4,,,29034,28464,570,713.3,,,7079.27253943,23902.70059779,4808.0875,12015.34055835,-1026.68155769,5131.24628485,6157.92784254,,,,,,,,,,,,,,,,,,,,
01/02/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,43.3,43.6,,39.6,54.6,,,,,,,,,,,,,,,3972.35,2579.35,-1393,,52.1,50.7,,49,,,23818,25211,-1393,735.3,,,3649.78160676,18634.01930021,5436.9467861,9547.29090736,-1070.87245167,5183.78271705,6254.65516872,,,,,,,,,,,,,,,,,,,,
01/03/2002,,,,,,,,,,,,,,,,,,,,,,,,,,1.93180511,5.63553983,4.48991585,3.70346676,7.20301555,-0.75309819,4.03364322,,-1.63480808,,58.2,,,45,45.3,,46.9,55.2,57535.47,98504.88,,,,,,,,,,,,,6356.36,2062.36,-4294,,51,52.2,,49.8,,,23253,27547,-4294,818,,,3199.00227113,18072.74460458,4329.525207,10544.21712645,-1136.43656422,5180.22757275,6316.66413697,,,,,,,,,,,,,,,,,,,1843030.27,
01/04/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9,,,45.6,45.7,,53.7,56.1,,,,,,,,,,,,,,,6954.48,5782.48,-1172,,49.8,52.3,,51.1,,,26646,27818,-1172,830.9,,,6825.31741496,21274.85359197,4282.058547,10167.47763001,-1042.47964164,5371.32531857,6413.80496021,,,,,,,,,,,,,,,,,,,,
01/05/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,46.6,46.6,,55.8,56.5,,,,,,,,,,,,,,,7449.03,1875.03,-5574,,49.5,53.1,,52.1,,,24758,30332,-5574,842.6,,,2947.12632851,19221.16892817,5343.492384,10930.55021566,-1071.97538116,5536.64828862,6608.62366978,,,,,,,,,,,,,,,,,,,,
01/06/2002,,,,,,,,,,,,,,,,,,,,,,,,,,6.56447843,3.39868941,6.22372398,3.63270228,7.5019815,0.9123988,4.96107798,,-0.4218139,,57.4,,,46.2,47.2,,58.3,57.1,62629.93,106789.8,,,,,,,,,,,,,3320.44,1842.44,-1478,,48.4,53.3,,52.1,,,22149,23627,-1478,869.2,,,3287.10685675,16860.14580374,3676.27177236,9896.76717463,-1444.67416305,5289.20443648,6733.87859953,,,,,,,,,,,,,,,,,,,1875477.76,
01/07/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,,,45.8,45.5,,60.5,54.5,,,,,,,,,,,,,,,11408.9,1840.9,-9568,,48.6,50.8,,50.8,,,26975,36542,-9568,913.8,,,3156.23693228,21198.25781829,4245.090467,13796.93041901,-1314.9515206,5776.54836731,7091.49988791,,,,,,,,,,,,,,,,,,,,
01/08/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,,,47.7,45.8,,55.7,53.5,,,,,,,,,,,,,,,-10758.28,1401.72,12160,,49.1,50.4,,51,,,23953,11794,12160,1040,,,2712.7375073,18147.37849771,4183.15362,11251.48737041,-1311.13372636,5806.03500247,7117.16872883,,,,,,,,,,,,,,,,,,,,
01/09/2002,,,,,,,,,,,,,,,,,,,,,,,,,,7.71388392,5.24793496,7.08853245,3.03879361,8.42385975,2.5774223,4.12777388,,0.92748934,,51.6,,,46.1,44.9,,55.6,51.5,63647.34,107252.6,,,,,,,,,,,,,7505.49,7043.49,-462,,47.7,49.8,,50.1,,,28874,29337,-462,1059.4,,,8453.87668302,23117.78765315,4413.2516802,10250.65928993,-1410.76729607,5756.37368896,7167.14098503,,,,,,,,,,,,,,,,,,,1947014.51,
01/10/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4,,,44.7,45,,52.3,51.2,,,,,,,,,,,,,,,2958.89,3854.89,896,,49.7,49.2,,50,,,29784,28888,896,1011.7,,,4994.13412927,23692.75198237,5273.15236112,13425.46549198,-1138.61234022,6091.3820334,7229.99437362,,,,,,,,,,,,,,,,,,,,
01/11/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,,,45.6,44.3,41.3,50.4,51.8,,,,,,,,,,,,,,,8327.81,1075.81,-7252,,50.6,49,,48.9,,,26726,33978,-7252,983,,,3108.25272771,20894.26689036,5406.514287,12379.49987565,-2032.91164474,5831.57189762,7864.48354236,,,,,,,,,,,,,,,,,,,,
01/12/2002,,,,,,,,,,,,,,,,,493.69449506,,,3485.8587097,,,,11142.4858138,,6.18207405,6.04045798,6.74515862,4.20796781,7.75245839,3.90938252,3.59676459,,1.49994162,,54.3,,,46.3,45.3,43,51.5,51.8,65422.49,111218.4,178756.28556297,49057.50620191,48697.8656636,48697.8656636,24096.28842318,0,0,45743.52411441,182842.40186835,102648.14938869,,,-3379.9,-3056.9,323,,50.2,50.4,,49.5,41164.04127167,,33659,33336,323,1030.9,8617296.05010787,,-59.17136883,23585.66677357,4742.201597,18902.6365454,-2997.48326174,10073.33380953,13070.81707127,182842.40186835,,,,,,,,,,,,,,,,,7827210.7277742,1930722.36,8595041.76992
01/01/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.6,,,46.1,45.5,42.9,53.5,52.2,,,,,,,,,,,,,,,9029.08,7209.08,-1820,,50.3,50.6,,51.3,,,32224,34044,-1820,849.8,,,8951.99818573,26763.0232845,5704.28824321,12106.73685557,-1742.64280202,5461.35698124,7203.99978326,,,,,,,,,,,,,,,,,,,,
01/02/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8,,,45.9,43.3,45.6,59.3,52.2,,,,,,,,,,,,,,,7301.76,3809.76,-3492,,49.9,49.4,,51.7,,,27537,31029,-3492,879.3,,,4893.19994357,21425.7158111,6144.767522,10387.74834554,-1083.67006693,6111.48969856,7195.15976549,,,,,,,,,,,,,,,,,,,,
01/03/2003,,,,,,,,,,,,,,,,,,,,,,,,,,4.84359556,5.50747443,7.58592043,4.19002197,4.28302459,3.74987993,2.84528543,,1.40153629,,47.7,,,45.6,42.8,41,62.4,48.2,70205.03,119364,,,,,,,,,,,,,6370.63,4141.63,-2229,,50,47,,48.3,,,26087,28316,-2229,994.2,,,5678.00855401,20374.32656559,4769.65046225,9926.66754933,-1536.77475606,5712.19494539,7248.96970145,,,,,,,,,,,,,,,,,,,2069201.36,
01/04/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9,,,45.7,42.7,43.7,57.1,48.8,,,,,,,,,,,,,,,5432.95,9691.95,4259,,51.7,46.9,,48.3,,,31960,27700,4259,1030,,,11246.99867395,26109.33379857,4502.273882,10360.06124262,-1554.59671316,5850.19772651,7404.79443967,,,,,,,,,,,,,,,,,,,,
01/05/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,,,47.1,42.7,45.3,47.7,50.9,,,,,,,,,,,,,,,12029.19,3750.19,-8279,,51.6,48.4,,48.2,,,29410,37689,-8279,1011.5,,,5560.52809104,23363.20994714,6735.85528872,11066.82656738,-1810.11269706,6046.69718428,7856.80988134,,,,,,,,,,,,,,,,,,,,
01/06/2003,,,,,,,,,,,,,,,,,,,,,,,,,,-0.76546337,4.67017076,6.25020809,3.7889986,2.38195065,-0.29976133,1.42795164,,1.29267387,,50.7,,,44.9,44.5,45.2,48.7,51.4,76928.84,130370.7,,,,,,,,,,,,,11445.33,758.33,-10687,,52.4,48.6,,49.7,,,24953,35640,-10687,1073,,,2649.42621387,18781.22747069,4227.23144277,11904.56981405,-1891.52462908,6171.46938763,8062.99401671,,,,,,,,,,,,,,,,,,,2040731.53,
01/07/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8,,,46.9,45.1,46.4,45.9,52,,,,,,,,,,,,,,,16588.86,2837.86,-13751,,50.9,50.2,,50.4,,,29416,43167,-13751,1152,,,5307.39274966,23008.36990127,4013.79688636,13687.18026525,-2469.89939831,6407.20174158,8877.10113989,,,,,,,,,,,,,,,,,,,,
01/08/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.5,,,45.8,46,46.7,47.9,56.5,,,,,,,,,,,,,,,10682.42,2507.42,-8175,,50.1,52.3,,52.4,,,28089,36265,-8175,1206.2,,,5042.1763295,21554.55189097,5068.58022929,11443.79533218,-2535.22248244,6534.52278869,9069.74527113,,,,,,,,,,,,,,,,,,,,
01/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,4.9236851,4.53813968,6.99781561,6.08604232,2.13744087,4.17907429,2.62086756,,1.36490673,,57.3,,,46.1,45.9,47.7,50.4,55.2,80240.87,137435.4,,,,,,,,,,,,,8215.27,3822.27,-4393,,49.8,52.3,,51.9,,,28017,32410,-4393,1308.2,,,6124.99199281,21413.87651322,4306.19998297,10982.68453744,-2302.72263528,6603.42608386,8906.14871914,,4.04,4.05,4.35,4.19,4.26,4.6,4.4,4.45,4.6,4.7,4.8,4.6,4.7,4.75,4.8,4.9,,2107257.13,
02/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04,4.05,4.35,4.19,4.26,4.6,4.4,4.45,4.6,4.7,4.8,4.6,4.7,4.75,4.8,4.9,,,
03/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04,4.05,4.35,4.19,4.26,4.6,4.4,4.45,4.6,4.7,4.8,4.6,4.7,4.75,4.8,4.9,,,
04/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
05/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
06/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
07/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
08/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
09/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
10/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
11/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
12/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
13/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
14/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
