,AO: Imports: cif: Advanced Economies: Slovenia,AO: Imports: cif: Advanced Economies: Iceland,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Brunei Darussalam,AO: Imports: cif: Advanced Economies: Lithuania,AO: Imports: cif: Advanced Economies: Slovak Republic,AO: Imports: cif: Advanced Economies: Hong Kong SAR,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Bangladesh,AO: Imports: cif: Advanced Economies: Israel,AO: Imports: cif: Advanced Economies: Cyprus,AO: Imports: cif: Advanced Economies: Australia,AO: Imports: cif: Advanced Economies: Spain,AO: Imports: cif: Advanced Economies: Portugal,AO: Imports: cif: Advanced Economies: Malta,AO: Imports: cif: Advanced Economies: Ireland,AO: Imports: cif: Advanced Economies: Greece,AO: Imports: cif: Advanced Economies: Finland,AO: Imports: cif: Advanced Economies: Sweden,AO: Imports: cif: Advanced Economies: Norway,AO: Imports: cif: Advanced Economies: Netherlands,AO: Imports: cif: Advanced Economies: Luxembourg,AO: Imports: cif: Advanced Economies: Italy,AO: Imports: cif: Advanced Economies: Germany,AO: Imports: cif: Advanced Economies: France,AO: Imports: cif: Advanced Economies: Denmark,AO: Imports: cif: Advanced Economies: Belgium,AO: Imports: cif: Advanced Economies: Austria,AO: Imports: cif: Advanced Economies: United Kingdom,AO: Imports: cif: Advanced Economies: United States,AO: Imports: cif: Advanced Economies: Taiwan,AO: Imports: cif: Euro Area,AO: Imports: cif: Advanced Economies: Vatican,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Fiji,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: French Polynesia,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Bhutan,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Guam,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Montserrat,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: American Samoa,AO: Imports: cif: Advanced Economies: San Marino,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Falkland Islands,AO: Imports: cif: European Union,AO: Imports: cif: Advanced Economies: Latvia,AO: Imports: cif: Advanced Economies: Estonia,AO: Imports: cif: Advanced Economies: Czech Republic,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: China,AO: Imports: cif: Other Countries Not Elsewhere Classified,AO: Imports: cif: Countries or Area Not Specified,AO: Imports: cif: Advanced Economies: Singapore,AO: Imports: cif: Advanced Economies: South Korea,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Indonesia,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: India,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Cambodia,AO: Imports: cif: Advanced Economies: New Zealand,AO: Imports: cif: Advanced Economies: Japan,AO: Imports: cif: Advanced Economies: Canada,AO: Imports: cif: Advanced Economies: Switzerland,AO: Imports: cif,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia,AO: Imports: cif: Emerging and Developing Economies,AO: Imports: cif: Advanced Economies,AO: Imports: cif: Emerging and Developing Economies: Export Earnings: Non-Fuel,AO: Imports: cif: Emerging and Developing Economies: Export Earnings: Fuel,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Honduras,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Curacao,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Guyana,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Panama,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Nicaragua,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Mexico,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Guatemala,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Ecuador,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Costa Rica,AO: Imports: cif: Other Countries Not Elsewhere Classified: North Korea,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Haiti,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Dominica,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: St. Kitts and Nevis,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: St. Vincent & The Grenadines,AO: Imports: cif: Other Countries Not Elsewhere Classified: Cuba,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Western Hemisphere Not Specified,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Trinidad and Tobago,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Suriname,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Jamaica,"AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Venezuela, Republic Bolivariana de",AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Uruguay,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Peru,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Paraguay,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: El Salvador,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Dominican Republic,AO: (DC)Imports: cif: Special Categories,AO: (DC)Imports: cif: Other Countries Not Elsewhere Classified: (Old)Eastern Germany,AO: (DC)Imports: cif: Oil Exporting Countries,AO: (DC)Imports: cif: Developing Countries: (Old)Western Hemisphere,AO: (DC)Imports: cif: Industrial Countries,AO: (DC)Imports: cif: Non-Oil Developing Countries,AO: (DC)Imports: cif: Advanced Economies: (Old)Belgium-Luxembourg,AO: (DC)Imports: cif: Developing Countries,AO: (DC)Imports: cif: Euro Area,AO: (DC)Imports: cif: APEC,AO: (DC)Imports: cif: Emerging and Developing Economies: Western Hemisphere: St. Lucia,AO: (DC)Imports: cif: Emerging and Developing Economies: Western Hemisphere: Netherlands Antilles,AO: (DC)Imports: cif: Emerging and Developing Economies: Western Hemisphere: Greenland,AO: (DC)Imports: cif: Emerging and Developing Economies: Western Hemisphere: Grenada
07/1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,
08/1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,0.175,,,,,,,,,,,,,,,,,,,
09/1973,,,,,,0.198,,0.007,,0.019,2.592,41.393,,0.003,0.07,0.026,2.191,1.291,3.198,,5.461,20.232,11.72,1.165,,0.701,12.29,10.067,0.015,90.607,,,,,,,,,,106.261,,,,0.003,,0.215,0.193,,0.001,,,0.004,7.704,0.291,2.374,149.996,0.219,19.502,130.279,144.37,5.626,,,,,,,,,,,,,,,,,,,,0.173,,,,,,,,,,,,5.211,,,,,,,
10/1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,0.064,,
11/1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,
12/1973,,0.007,,,,0.204,,0.052,,0.052,2.805,35.328,,0.001,0.027,0.131,2.517,1.359,4.249,,6.599,21.619,9.995,0.831,,0.544,9.993,20.38,0.013,86.295,,,,,,,,,,99.636,,,,0.01,,0.135,0.251,,0.005,,,0.001,8.218,0.911,2.207,158.965,0.166,24.395,134.435,149.479,9.486,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,4.997,,,,,0.012,,
01/1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,,
02/1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247,,,,,,,,,,,,,,,,,0.387,,
03/1974,,,,,,0.296,,0.41,,0.039,2.42,30.567,,0.015,0.031,0.047,1.894,1.391,2.93,,5.599,17.268,8.853,0.63,,0.823,10.314,14.24,0.018,73.241,,,,,,,,,,86.081,,,,,,0.008,0.187,,0.001,,,,6.881,0.465,2.682,137.887,0.209,24.251,113.628,133.758,4.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.688,,,,,0.004,,
04/1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.817,0.865,,,,,,,,,,,,,,,,,,,,0.015,,
06/1974,,0.018,,,,0.198,,0.144,,0.133,4.161,31.462,,0.009,0.04,0.052,2.448,2.368,3.07,,8.442,23.443,10.096,1.205,,1.053,11.773,15.578,0.045,87.533,,,,,,,,,,102.96,,,,0.018,,0.304,0.399,,0.002,,,,6.938,0.109,3.194,169.194,0.053,35.364,133.526,161.052,8.142,,,,0.001,,0.004,,,0.005,,,,,,,,,,,,,,,,,,,,,,,5.705,,,,,,,
07/1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.775,,,,,,,,,,,,,,,,,
01/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
02/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
03/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,,
04/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
05/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
06/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,,
07/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
08/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
09/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,,
10/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
11/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
12/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,,
01/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00018321,,,,,,,,,,14.2099,,,,,,,,,,
02/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001453,,0.2948,,,,,,,,13.6237,,,,,,,,,,
03/1981,,,,,,2.53,,,,,5.401,72.006,,,0.011,0.022,11.99,0.649,24.64,,13.86,24.09,52.36,3.289,,0.99,18.48,50.82,2.75,199.98,,,,,,,,,,248.424,,,,3.52,,,,1.43,,,,,19.47,1.43,7.7,385.28378671,3.619,64.04198671,321.2418,383.10400559,2.17978113,,,,,,,,,,,,,,,,,,,0.00023101,,,,,,,,,0.542981,8.99192,313.808,70.9328,6.6,71.4758,193.38,82.049,,,,
04/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00021009,,0.3685,,,,,,,,12.0428,,,,,,,,,,
05/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00019119,,0.2948,,,,,,,,12.2986,,,,,,,,,,
06/1981,,,,,,6.38,0.506,,,0.022,11.374,81.598,,0.517,0.011,5.621,9.02,0.044,36.52,,17.71,33,68.64,10.076,,0.77,,18.92,3.19,267.421,,,,,,,,,,301.202,,,,2.09,,,,4.95,,,,,21.89,,11.55,431.35125532,2.893,77.27775532,354.0735,428.74399706,2.60725825,,,,,,,,,,,,,,,,,0.022,,0.00021668,,,,,,,,,0.948458,12.0387,338.943,91.4598,11.66,92.4083,255.761,57.739,,,,
07/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00017991,,0.2959,,,,,,,,13.411,,,,,,,,,,
08/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00019893,,,,,,,,,,15.576,,,,,,,,,,
09/1981,,,,,,5.61,,,,,6.358,66.374,0.011,0.253,,,12.65,0.77,15.07,,16.83,18.59,37.73,4.466,,0.77,8.36,40.26,2.53,167.816,,,,,,,,,,207.977,,,,,,,,1.1,,,,,35.97,0.22,3.85,357.31882482,5.291,73.32192482,283.9969,355.20909496,2.10972986,,,,,,,,,,,,,,,,,,,0.00016761,,,,,,,,,0.47293,13.8285,274.362,82.4839,5.83,82.9568,161.986,90.981,,,,
10/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00014099,,,,,,,,,,10.6681,,,,,,,,,,
11/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00017712,,,,,,,,,,10.859,,,,,,,,,,
12/1981,,,,,,0.22,,,,,4.84,29.898,1.309,,,0.165,15.62,6.985,9.57,,14.85,13.31,24.09,3.388,,0.44,20.9,185.13,3.74,108.152,,,,,,,,,,162.745,,,,3.74,,,,0.11,,0.066,,,13.2,0.11,2.42,424.26693315,4.158,64.08073315,360.1862,422.19650239,2.07043076,,,,,,,,,,,,,,,,,,,0.00015798,,,,,,,,,0.433631,16.003,355.905,67.9283,9.68,68.3619,98.472,206.602,,,,
01/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9826,,,,,,,,,,
02/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.70187,,,,,,,,,,
03/1982,,,,,,,,,,,5.797,15.719,,,,0.077,3.74,1.045,6.6,,7.48,33.88,19.58,3.443,,0.44,8.91,45.98,1.1,105.083,,,,,,,,,,126.12325,,,,,,,,,,,,,6.82,0.22,4.95,217.22639874,,35.53279874,181.6936,215.61929874,1.6071,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8415,8.22375,180.191,36.1939,15.51,37.0354,89.573,54.12,,,,
04/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4162,,,,,,,,,,
05/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.97243,,,,,,,,,,
06/1982,,,,,,0.33,,,,0.033,2.607,12.419,,,,0.088,22.22,0.264,9.13,,15.73,8.14,33.22,2.376,,2.64,6.71,49.06,0.33,94.094,,,,,,,,,,131.61225,,,,0.11,,,,,,,,,19.58,0.11,1.32,239.56706333,2.266,42.60436333,196.9627,237.95996333,1.6071,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8415,8.51439,195.767,42.9586,10.12,43.8001,83.974,71.709,,,,
07/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.89687,,,,,,,,,,
08/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1197,,,,,,,,,,
09/1982,,,,,,0.22,0.187,,,,3.113,18.678,,,,0.209,2.2,0.132,7.81,,22.22,13.09,35.75,3.63,,1.1,17.27,34.43,,105.82,,,,,,,,,,131.46925,,,,0.11,,,,0.22,,,,,18.26,,13.09,244.48851061,3.179,41.15131061,203.3372,242.88141061,1.6071,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8415,10.9386,194.832,48.815,3.85,49.6565,101.97,56.122,,,,
10/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.58445,,,,,,,,,,
11/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.56743,,,,,,,,,,
12/1982,,,,,,0.22,,,,,3.278,42.834,,0.33,0.242,0.033,14.3,0.44,9.02,,20.35,10.12,39.38,5.698,,3.63,16.06,44.88,4.51,134.387,,,,,,,,,,173.21425,,,,0.44,,,,,,,,,12.43,0.44,2.42,273.81027778,3.575,37.18047778,236.6298,272.20317778,1.6071,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8415,9.5226,231.055,41.9138,5.17,42.7553,129.217,66.055,,,,
01/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005633,,,,,0.00091757,,,,,7.18122,,,,,,,,,,
02/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00007829,,,,,0.00163903,,,,,5.90597,,,,,,,,,,
03/1983,,,,,,,0.253,,,,4.059,20.24,,0.165,,0.022,1.76,0.385,18.26,,19.69,10.34,18.92,7.634,,0.77,7.81,21.23,2.86,96.976,,,,,,,,,,116.44875,,,,,,,,,,,,0.011,2.53,1.32,0.77,177.66797293,0.253,33.93207293,143.7359,166.28365914,11.38431379,,,,,,,,,,,,,,,,,,,0.00011,,,,,0.0007434,,,,7.24694,5.0471,140.426,29.995,4.51,37.242,92.466,27.951,,,,
04/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00008983,,,,,,,,,,3.51734,,,,,,,,,,
05/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00009547,,,,,,,,,,2.63735,,,,,,,,,,
06/1983,,,,,,0.44,0.143,,,,5.753,32.318,,0.363,,0.044,5.39,0.847,19.8,,8.91,9.57,26.29,3.564,,0.66,6.93,20.46,,111.188,,,,,,,,,,128.42775,,,,0.22,,,,,,,,,8.25,0.77,3.19,195.45012276,0.55,34.14062276,161.3095,178.3472921,17.10283066,,,,,,,,,,,,,,,,,,,0.00011282,,,,,,,,,12.9655,7.53236,160.589,21.8957,7.48,34.8611,103.708,30.327,,,,
07/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00009009,,0.4202,,,0.00107591,,,,,12.8046,,,,,,,,,,
08/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00008504,,0.0033,,,0.00112881,,,,,7.26176,,,,,,,,,,
09/1983,,,,,,0.11,0.099,,,,4.169,25.96,,,,0.275,7.15,0.044,9.57,,4.84,12.1,24.31,2.42,,1.76,5.06,30.91,0.11,92.664,,,,,,,,,,108.77075,,,,,,,,0.22,,,,,3.52,0.99,2.2,192.5259974,0.099,47.1279974,145.398,175.67444145,16.85155596,,,,,,,,,,,,,,,,,,,0.00008804,,0.0715,,,0.00109528,,,,12.7142,6.94493,144.958,34.8538,9.68,47.568,82.984,35.86,,,,
10/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00007804,,,,,,,,,,5.88233,,,,,,,,,,
11/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011774,,,,,,,,,,9.93037,,,,,,,,,,
12/1983,,,,,,0.55,,,,,21.901,29.81,,0.022,,0.121,5.83,0.396,15.18,,9.02,14.74,22.55,3.014,,1.32,17.82,27.28,0.11,124.894,,,,,,,,,,153.11175,,,,0.33,,,,,,,,,13.42,,1.76,235.05406983,0.528,39.98006983,195.074,218.25927024,16.79479959,,,,,,,,,,,,,,,,,,,0.0000983,,0.088,,,,,,,12.6574,3.47335,194.414,27.9826,10.23,40.6401,114.664,41.888,,,,
01/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.673,,,,,,,,,,
02/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.721,,,,,,,,,,
03/1984,,,,,,0.66,,,,,21.604,43.384,,,1.001,0.022,8.03,0.649,23.32,,5.28,15.4,22.88,1.221,,1.65,10.23,20.68,0.11,143.451,,,,,,,,,,165.53075,,,,,,,,1.54,,,,,4.62,,0.88,219.98959516,0.154,27.91859516,192.071,216.10415807,3.88543709,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0621658,6.798,189.761,30.1664,8.91,30.2286,134.541,27.764,,,,
04/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.781,,,,,,,,,,
05/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1715,,,,,,,,11.6655,,,,,,,,,,
06/1984,,,,,,0.66,,,,,21.208,43.329,,,0.495,0.011,8.8,0.561,14.52,,11.11,13.2,17.71,4.081,,0.66,8.25,25.19,2.64,127.633,,,,,,,,,,151.37375,,,,,,,,1.21,,,,,6.49,0.11,1.65,244.59708781,0.308,57.32208781,187.275,240.7249664,3.87212141,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0488501,22.473,182.765,61.7832,5.39,61.8321,122.243,36.608,,,,
07/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2078,,,,,,,,16.0468,,,,,,,,,,
08/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2452,,,,,,,,12.7292,,,,,,,,,,
09/1984,,,,,,0.11,,,,,23.43,37.224,,,,0.286,6.6,0.088,14.08,,18.59,15.51,32.23,0.506,,1.21,18.26,27.28,1.65,147.84,,,,,,,,,,175.62875,,,,2.86,,,,0.99,,,,,3.74,1.1,2.09,259.52485134,2.86,49.27085134,210.254,255.65344461,3.87140673,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0481355,6.677,207.504,51.9727,5.28,52.0209,142.56,37.73,,,,
10/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0088,,,,,,,,9.3368,,,,,,,,,,
11/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.044,,,,,,,,,,
12/1984,,,,,,1.87,,,,0.033,16.819,47.069,,,,0.286,5.5,0.33,22.88,,14.85,14.85,35.75,6.127,,1.43,14.74,40.26,1.32,160.094,,,,,,,,,,191.75475,,,,1.54,,,,2.09,,,,,8.25,0.22,3.41,288.78614836,1.694,44.54214836,244.244,284.90202849,3.88411987,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0608486,7.315,238.964,49.7613,6.16,49.8221,153.934,55.737,,,,
01/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86014167,,7.458,,,,,,,,,,
02/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86014167,,6.809,,,,,,,,,,
03/1985,,,,,,0.44,0.11,,,,12.661,39.578,0.055,,,0.286,11.33,0.418,19.25,,11.44,13.42,26.07,1.54,,1.54,13.75,44.55,1.87,128.7,,,,,,,,,,158.28171692,,,,,23.580425,,,3.63,,,,0.033,10.23,0.55,2.09,282.58552698,2.684,39.87410198,219.131,279.30139567,3.28413131,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86014167,0.0129834,7.073,213.191,45.8011,4.4,45.8141,124.3,63.877,,,,
04/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86014167,,14.278,,,,,,,,,,
