,AO: Imports: cif: Advanced Economies: Iceland,"AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Macedonia, Former Yugoslav Republic",AO: Imports: cif: Advanced Economies: Cyprus,AO: Imports: cif: Advanced Economies: Malta,AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Georgia,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Bhutan,AO: Imports: cif: Advanced Economies: Slovak Republic,"AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Azerbaijan, Republic of",AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Samoa,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Guam,"AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Serbia, Republic of",AO: Imports: cif: Emerging and Developing Economies: Europe: CIS,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Romania,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Poland,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Croatia,AO: Imports: cif: Advanced Economies: Lithuania,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Hungary,AO: Imports: cif: Advanced Economies: Slovenia,AO: Imports: cif: Advanced Economies: Latvia,AO: Imports: cif: Advanced Economies: Estonia,AO: Imports: cif: Advanced Economies: Czech Republic,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: China,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Bulgaria,AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Belarus,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Papua New Guinea,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Asia Not Specified,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Vietnam,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Thailand,AO: Imports: cif: Advanced Economies: Singapore,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Philippines,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Malaysia,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Macau SAR,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Lao People Democratic Republic,AO: Imports: cif: Advanced Economies: South Korea,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Indonesia,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: India,AO: Imports: cif: Advanced Economies: Hong Kong SAR,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Sri Lanka,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Cambodia,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Bangladesh,AO: Imports: cif: Advanced Economies: Israel,AO: Imports: cif: Advanced Economies: New Zealand,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Turkey,AO: Imports: cif: Advanced Economies: Spain,AO: Imports: cif: Advanced Economies: Portugal,AO: Imports: cif: Advanced Economies: Ireland,AO: Imports: cif: Advanced Economies: Greece,AO: Imports: cif: Advanced Economies: Finland,AO: Imports: cif: Emerging and Developing Economies: Europe,AO: Imports: cif: Advanced Economies: Japan,AO: Imports: cif: Advanced Economies: Canada,AO: Imports: cif: Advanced Economies: Switzerland,AO: Imports: cif: Advanced Economies: Sweden,AO: Imports: cif: Advanced Economies: Norway,AO: Imports: cif: Advanced Economies: Netherlands,AO: Imports: cif: Advanced Economies: Luxembourg,AO: Imports: cif: Advanced Economies: Italy,AO: Imports: cif: Advanced Economies: Germany,AO: Imports: cif: Advanced Economies: France,AO: Imports: cif: Advanced Economies: Denmark,AO: Imports: cif: Advanced Economies: Belgium,AO: Imports: cif: Advanced Economies: Austria,AO: Imports: cif: Advanced Economies: United Kingdom,AO: Imports: cif: Advanced Economies: United States,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Brunei Darussalam,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Gibraltar,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Bosnia & Herzegovina,AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Albania,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Nauru,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: American Samoa,"AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Marshall Islands, Republic",AO: Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe,AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Armenia,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: New Caledonia,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Myanmar,AO: Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Timor-Leste,AO: Imports: cif: Advanced Economies: Taiwan,AO: Imports: cif: Advanced Economies: Vatican,AO: (DC)Imports: cif: Developing Countries: (Old)Asia,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Oceania Not Specified,AO: (DC)Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: (Old)Czechoslovakia,AO: (DC)Imports: cif: Advanced Economies: (Old)Belgium-Luxembourg,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Mongolia,AO: (DC)Imports: cif: Emerging and Developing Economies: Europe: (Old)Central and Eastern Europe,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Maldives,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Tuvalu,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Tonga,AO: (DC)Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: (Old)Serbia & Montenegro,"AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Micronesia, Federated States of",AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: French Polynesia,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Fiji,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Vanuatu,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Palau,AO: (DC)Imports: cif: Advanced Economies: San Marino,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Solomon Islands,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Nepal,AO: (DC)Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Faroe Islands,AO: (DC)Imports: cif: Emerging and Developing Economies: Emerging and Developing Asia: Kiribati,"AO: (DC)Imports: cif: Emerging and Developing Economies: Europe: Emerging and Developing Europe: (Old)Yugoslavia, Socialist Fed. Rep."
07/1974,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,0.066,,,0.234,,,,,0.043,,,,0.002,0.004,,0.758,10.42,0.023,,0.042,0.001,1.987,0.022,1.331,0.522,0.355,0.851,,1.847,6.198,2.361,0.94,,0.285,3.267,9.324,,,,,,,,0.001,,,,,0.012,,,,,1.591,,,,,,,,,,,,,,,,,
01/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
02/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
03/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
04/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
05/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
06/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
07/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
08/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
09/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
10/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
11/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
12/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
01/1981,,,,,,,,,,,,,1.27233333,2.06891667,2.82608333,,,,,,,,1.17333333,,,,,,,,,0.099,0.6644,,0.43314582,,,0.44,,,,,,,0.561,23.056,,0.011,0.022,6.963,4.84,1.1,0.55,1.32,0.275,5.5,,4.18,7.59,10.34,2.233,,,6.82,23.43,,,,,,,,6.963,,,,,0.88,,3.68988,0,,2.64,,6.963,,,,,,,,,,,,,,,2.068
02/1981,,,,,,,,,,,,,1.17333333,2.06891667,2.82608333,,,,,,,,1.17333333,,,,,,,,,,,,0.47181956,,,1.54,,,,,,,1.254,23.353,,,,5.368,7.7,0.33,3.41,7.15,0.165,10.56,,4.18,8.47,15.95,0.341,,0.55,11.66,9.35,,,,,,,,5.368,,,,,0.66,,3.84515,0,,1.98,,5.368,,,,,,,,,,,,,,,0.473
03/1981,,,,,,,,,,,,,1.17333333,2.06891667,2.82608333,,,,,,,,1.17333333,,,,,,,,,,0.0594,,0.52503462,,,0.55,,,,,,,3.586,25.597,,,,8.635,6.93,,3.74,3.52,0.209,8.58,,5.5,8.03,26.07,0.715,,0.44,,18.04,,,,,,,,8.635,,,,,1.21,,3.51777,0,,1.98,,8.635,,,,,,,,,,,,,,,3.74
04/1981,,,,,,,,,,,,,0.91666667,2.06891667,2.82608333,,,,,,,,0.69666667,,,,,,0.099,,,,,,1.60823165,,,1.43,,,0.121,,,,3.289,36.124,,,0.033,14.784,3.08,,4.07,4.51,,21.12,,8.8,11,23.32,1.287,,0.22,,3.08,,,,,,,,14.784,,,,,1.1,,5.0549,0,,3.96,,14.784,,,,,,,,,,,,,,,9.889
05/1981,,,,,,,,,,,,,1.18066667,2.06891667,2.82608333,,,,,,,,0.69666667,,,,,,0.099,,,,0.3564,,1.59290657,,,3.08,,,0.385,,,,4.51,15.4,,0.011,2.255,8.118,4.07,,3.3,2.97,0.033,7.04,,4.07,11.33,23.76,5.027,,0.11,,7.7,,,,,,,,8.118,,,,,1.1,,7.30997,0,,4.73,,8.118,,,,,,,,,,,,,,,3.223
06/1981,,,,,,,,,,,,,0.79566667,2.06891667,2.82608333,,,,,,,,0.69666667,,,,,,0.099,,,,0.2541,,1.74886177,,,1.87,,,,,,,3.575,30.074,0.517,,3.333,10.516,14.74,,4.18,1.54,0.011,8.36,,4.84,10.67,21.56,3.762,,0.44,,8.14,,,,,,,,10.516,,,,,0.99,,5.65863,0,,2.97,,10.516,,,,,,,,,,,,,,,5.621
07/1981,,,,0.011,,,,,,,,,2.31,2.06891667,2.82608333,,,,,,,,,,,,,,2.31,,,,0.1529,,0.38070866,,,2.64,,,,,,,2.827,29.304,0.11,,,9.174,27.06,0.11,2.2,6.49,0.099,7.48,,7.7,8.25,11.33,2.849,,0.33,,8.58,,,,,,,,9.174,,,,,0.66,,6.14361,0,,3.85,,9.174,,,,,,,,,,,,,,,4.279
08/1981,,,,,,,,,,,,,2.134,2.06891667,2.82608333,,,,,,,,,,,,,,2.134,,,,0.242,,0.34901575,,,1.87,,,,,,,1.848,23.298,,,,5.313,5.06,,0.66,0.99,0.671,4.18,,6.27,5.72,16.83,0.561,,0.11,,12.76,,,,,,,,5.313,,,,,1.1,,5.69502,0,,0.66,,5.313,,,,,,,,,,,,,,,0.418
09/1981,,,,,,,,,,,,,0.847,2.06891667,2.82608333,,,,,,,,,,,,,,0.847,,,,,,0.37027559,,,1.1,,,,,,,1.683,13.772,0.143,,,8.239,3.85,0.11,0.99,5.17,,3.41,,2.86,4.62,9.57,1.056,,0.33,8.36,18.92,,,,,,,,8.239,,,,,0.77,,3.08728,0,,1.32,,8.239,,,,,,,,,,,,,,,3.344
10/1981,,,,,,,,,,,,,1.34566667,2.06891667,2.82608333,,,,,,,,1.24666667,,,,,,0.099,,,,,,0.04072391,,,,,,,,,,2.343,12.705,,,0.055,5.533,5.94,,1.1,4.84,0.044,4.18,,6.27,4.51,7.7,0.418,,0.11,5.39,47.41,,,,,,,,5.533,,,,,1.54,,2.92639,0,,1.1,,5.533,,,,,,,,,,,,,,,0.638
11/1981,,,,,,,,,,,,,1.41166667,2.06891667,2.82608333,,,,,,,,1.24666667,,,,,,0.099,,,,,,0.0309233,,0.066,0.22,,,,,,,1.716,8.294,,,0.044,5.929,2.09,0.11,0.22,1.1,2.134,1.87,,4.18,5.61,5.94,0.418,,,12.43,12.43,,,,,,,,5.929,,,,,1.1,,2.76259,0,,3.85,,5.929,,,,,,,,,,,,,,,1.034
12/1981,,,,1.309,,,,,,,,,1.40066667,2.06891667,2.82608333,,,,,,,,1.24666667,,,,,,0.055,,,0.099,0.2112,,0.03835279,,,,,,,,,,0.781,8.899,,,0.066,5.577,5.17,,1.1,9.68,4.807,3.52,,4.4,3.19,10.45,2.552,,0.33,3.08,125.29,,,,,,,,5.577,,,,,1.1,,2.75022,0,,4.73,,5.577,,,,,,,,,,,,,,,0.682
01/1982,,,,,,,,,,,,,,0.44275,0.33366667,,,0.52477518,,,,,,,,,,,,,,,,,,,,,,,,,,,1.188,4.95,,,0.077,3.18219185,2.75,,3.63,0.33,0.528,3.85,,3.08,29.04,7.15,2.596,,0.22,2.42,15.73,,,,,,,,3.18219185,,,,,0.33,,0.33,0,,9.35,,3.18219,,,,,,,,,,,,,,,1.881
02/1982,,,,,,,,,,,,,,0.44275,0.33366667,,,0.85625133,,,,,,,,,,,,,,,0.2651,,,,,,,,,,,,2.42,2.915,,,,1.73166799,0.22,0.22,1.1,0.66,0.517,1.98,,2.09,2.75,7.81,0.055,,0.11,2.53,18.48,,,,,,,,1.73166799,,,,,0.22,,0.4851,0,,4.73,,1.73167,,,,,,,,,,,,,,,0.099
03/1982,,,,,,,,,,,,,,0.44275,0.33366667,,,1.23697349,,,,,,,,,,,,,,,0.1375,,,,,,,,,,,,2.189,7.854,,,,2.26639016,3.85,,0.22,2.75,,0.77,,2.31,2.09,4.62,0.792,,0.11,3.96,11.77,,,,,,,,2.26639016,,,,,0.55,,0.6875,0,,1.43,,2.26639,,,,,,,,,,,,,,,0.253
04/1982,,,,,,,,,,,,,1.48579364,0.44275,0.33366667,,,1.14339773,,,,,0.03379364,,,,,,1.452,,,,0.2673,,,,,0.11,,,,,,,1.298,2.893,,,0.011,2.7778144,8.25,,0.11,8.25,0.242,1.87,,2.31,1.76,11.55,1.001,,2.2,1.76,9.02,,,,,,,,2.7778144,,,,,0.11,,1.97309,0,,3.74,,2.77781,,,,,,,,,,,,,,,0.858
05/1982,,,,,,,,,,,,,0.74173569,0.44275,0.33366667,,,1.16514251,,,,,0.03773569,,,,,,0.704,,,,0.1419,,,,,0.11,,,,,,,1.276,5.698,,,,2.22755918,10.12,,1.21,12.1,0.011,4.29,,5.39,1.76,6.27,0.176,,0.33,1.54,26.29,,,,,,,,2.22755918,,,,,0.11,,1.10364,0,,3.08,,2.22756,,,,,,,,,,,,,,,0.286
06/1982,,,,,,,,,,,,,0.03847067,0.44275,0.33366667,,,1.57445975,,,,,0.03847067,,,,,,,,,,0.1265,,,,,0.11,,,,,,,0.033,3.828,,,0.077,2.94487642,1.21,0.11,,1.87,0.011,2.97,,8.03,4.62,15.4,1.199,,0.11,3.41,13.75,,,,,,,,2.94487642,,,,,0.11,,0.384971,0,,3.3,,2.94488,,,,,,,,,,,,,,,0.594
07/1982,,,,,,,,,,,,,0.03538419,0.44275,0.33366667,,,0.06243373,,,,,0.03538419,,,,,,,,,,0.6028,,0.22,,,,,,,,,,0.913,6.149,,,0.154,2.07085039,0.33,,6.38,0.99,,1.65,,14.52,2.75,10.01,0.847,,0.22,0.55,5.94,,,,,,,,2.07085039,,,,,,,0.858184,0,,0.77,,2.07085,,,,,,,,,,,,,,,1.232
08/1982,,,,,,,,,,,,,2.38879229,0.44275,0.33366667,,,0.07100753,,,,,0.03479229,,,,,,2.156,,,0.011,3.872,,,,,0.11,,,0.187,,,,0.231,5.852,,,,1.0124242,10.56,,4.95,0.99,0.121,2.42,,3.96,4.95,17.16,1.771,,,12.65,15.73,,,,,,,,1.0124242,,,,,,,6.37079,0,,1.32,,1.01242,,,,,,,,,,,,,,,0.165
09/1982,,,,,,,,,,,,,0.75482352,0.44275,0.33366667,,,0.08655874,,,,,0.03982352,,,,,,0.715,,,,3.5904,,,,,0.11,,,,,,,1.969,6.677,,,0.055,2.24897541,7.37,,1.76,0.22,0.011,3.74,,3.74,5.39,8.58,1.012,,0.88,4.07,12.76,,,,,,,,2.24897541,,,,,,,4.45522,0,,1.76,,2.24898,,,,,,,,,,,,,,,1.386
10/1982,,,,,,,,,,,,,0.13164745,0.44275,0.33366667,,,0.1094895,,,,,0.13164745,,,,,,,,,,0.5313,,,,,,,,,,,,0.484,13.926,0.11,0.242,0.011,2.50290617,6.05,,0.77,0.77,0.077,1.98,,6.05,3.63,19.8,1.628,,0.88,1.98,11.66,,,,,,,,2.50290617,,,,,0.11,,0.772947,0,,1.65,,2.50291,,,,,,,,,,,,,,,1.617
11/1982,,,,,,,,,,,,,2.46547907,0.44275,0.33366667,,,0.1180062,,,,,0.13347907,,,,,,2.332,,,,0.2079,,,,,0.11,,,,,,,2.134,12.859,0.066,,0.022,0.92742287,0.11,0.11,0.99,4.84,0.253,3.41,,10.34,3.52,9.35,0.561,,0.66,11.99,23.76,,,,,,,,0.92742287,,,,,2.53,,5.31338,0,,1.76,,0.927423,,,,,,,,,,,,,,,0.033
12/1982,,,,,,,,,,,,,0.97787348,0.44275,0.33366667,,,0.21250429,,,,,0.17487348,,,,,,0.803,,,,0.1056,,,,,0.11,,,,,,,0.66,16.049,0.154,,,1.85792096,6.27,0.33,0.66,8.69,0.11,3.63,,3.96,2.97,10.23,3.509,,2.09,2.09,9.46,,,,,,,,1.85792096,,,,,1.87,,3.06347,0,,1.76,,1.85792,,,,,,,,,,,,,,,0.869
01/1983,,,,,,,,,,,,,0.099,0.24566667,0.16225,,,0.022,,,,,,,,,,,,,,,0.2057,,,,,,,,0.099,,0.00288174,,1.551,8.03,0.165,,,0.76459695,0.55,0.99,0.33,0.55,,9.68,,12.32,2.97,6.16,0.649,,0.55,2.53,7.7,,,,,,,,0.76459695,,,,,1.54,,1.8447,0,,2.09,,0.764597,,,,,,,,,,,,,,,0.33468028
02/1983,,,,,,,,,,,,,,0.24566667,0.16225,,,0.605,,,,,,,,,,,,,,,0.2442,,,,,,,,,,0.00368895,,1.199,5.17,,,0.011,1.50654753,1.54,0.22,0.11,0.33,0.176,5.28,,5.61,3.3,5.5,1.122,,0.11,1.98,9.35,,,,,,,,1.50654753,,,,,0.99,,1.2342,0,,0.99,,1.50655,,,,,,,,,,,,,,,0.49363087
03/1983,,,,,,,,,,,,,0.154,0.24566667,0.16225,,,0.418,,,,,,,,,,,,,,,,,,,,,,,0.154,,0.0044293,,1.309,7.04,,,0.011,1.37650032,0.44,0.11,0.33,0.88,0.209,3.3,,1.76,4.07,7.26,5.863,,0.11,3.3,4.18,,,,,,,,1.37650032,,,,,0.33,,0.484,0,,1.43,,1.3765,,,,,,,,,,,,,,,0.55058365
04/1983,,,,,,,,,,,,,0.18863191,0.24566667,0.16225,,,0.11,,,,,0.06763191,,,,,,,,,,0.2805,,,,,0.22,,,0.121,,,,3.135,9.801,,,,0.97829,3.19,0.77,1.1,4.84,0.385,9.79,,4.29,3.96,5.72,2.145,,,1.1,10.23,,,,,,,,0.97829,,,,,,,0.689132,0,,3.52,,0.97829,,,,,,,,,,,,,,,0.46037333
05/1983,,,,,,,,,,,,,0.28818488,0.24566667,0.16225,,,0.011,,,,,0.07918488,,,,,,0.187,,,,,,,,,0.11,,,0.022,,,,2.211,12.166,,,0.044,0.84885905,4.4,,1.1,0.44,0.462,4.07,,1.54,2.97,13.75,0.99,,,3.3,7.37,,,,,,,,0.84885905,,,,,,,0.398185,0,,2.2,,0.848859,,,,,,,,,,,,,,,0.42994238
06/1983,,,,,,,,,,,,,0.0731832,0.24566667,0.16225,,,0.011,,,,,0.0731832,,,,,,,,,,,,,,,0.11,,,,,,,0.407,10.351,0.363,,,0.93654348,0.66,,0.99,0.11,,5.94,,3.08,2.64,6.82,0.429,,0.66,2.53,2.86,,,,,,,,0.93654348,,,,,,,0.183183,0,,1.76,,0.936543,,,,,,,,,,,,,,,0.51762681
07/1983,,,,,,,,,,,,,0.044,0.24566667,0.16225,,,0.253,,,,,,,,,,,,,,,,,0.11,,,,,,0.044,,,,2.409,10.252,,,0.176,1.1233949,2.75,0.55,0.88,1.1,0.011,5.06,,1.87,4.07,7.81,2.2,,1.1,2.09,8.36,,,,,,,,1.1233949,,,,,0.11,,0.264,0,,3.3,,1.12339,,,,,,,,,,,,,,,0.46247824
08/1983,,,,,,,,,,,,,0.055,0.24566667,0.16225,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,1.045,5.797,,,0.088,0.87027462,0.44,,0.33,5.94,0.022,1.87,,1.87,3.85,11.44,0.121,,,1.65,5.83,,,,,,,,0.87027462,,,,,,,0.055,0,,2.31,,0.870275,,,,,,,,,,,,,,,0.46235796
09/1983,,,,,,,,,,,,,,0.24566667,0.16225,,,,,,,,,,,,,,,,,,,,0.11,,,0.11,,,,,,,0.715,9.911,,,0.011,0.88254323,0.33,0.44,0.99,0.11,0.011,2.64,,1.1,4.18,5.06,0.099,,0.66,1.32,16.72,,,,,,,,0.88254323,,,,,,,0.22,0,,4.07,,0.882543,,,,,,,,,,,,,,,0.47462656
10/1983,,,,,,,,,,,,,0.1013835,0.24566667,0.16225,,,0.165,,,,,0.1013835,,,,,,,,,,,,,,,0.22,,,,,,,1.243,7.81,0.022,,0.121,1.04940757,0.22,,1.32,2.86,0.033,3.08,,1.1,4.18,8.58,1.199,,0.22,7.7,9.68,,,,,,,,1.04940757,,,,,,,0.321384,0,,3.19,,1.04941,,,,,,,,,,,,,,,0.47649091
11/1983,,,,,,,,,,,,,0.09843769,0.24566667,0.16225,,,0.165,,,,,0.09843769,,,,,,,,,,,,,,,0.33,,,,,,,1.551,7.469,,,,1.05349711,8.03,,0.22,0.99,0.11,3.63,,2.97,6.38,7.92,1.265,,0.55,3.74,5.61,,,,,,,,1.05349711,,,,,,,0.428438,0,,4.95,,1.0535,,,,,,,,,,,,,,,0.48058044
12/1983,,,,,,,,,,,,,0.32817881,0.24566667,0.16225,,,,,,,,0.13017881,,,,,,,,,0.198,,,,,,,,,,,,,19.107,14.531,,,,1.22654524,5.17,,0.22,1.98,0.253,8.47,,4.95,4.18,6.05,0.55,,0.55,6.38,11.99,,,,,,,,1.22654524,,,,,0.11,,0.438179,0,,2.09,,1.22655,,,,,,,,,,,,,,,0.81862858
01/1984,,,,,,,,,,,,,,0.594,0.09991667,,,0.143,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,3.685,13.519,,0.341,,1.51444007,,,0.22,5.61,0.264,11.33,,2.31,4.62,10.56,0.495,,,2.42,6.49,,,,,,,,1.51444007,,,,,,,0.11,0,0.09935769,2.09,,1.51444,,,,,,,,,,,,,,,0.57816572
02/1984,,,,,,,,,,,,,0.055,0.594,0.09991667,,,,,,,,,,,,,,0.055,,,,,,,,,0.55,,,,,,,2.761,8.184,,0.66,0.011,1.31878056,0.44,,0.33,1.32,0.022,5.61,,1.65,6.93,4.51,0.319,,1.21,2.2,8.03,,,,,,,,1.31878056,,,,,,,0.605,0,0.09935769,1.98,,1.31878,,,,,,,,,,,,,,,0.5255062
03/1984,,,,,,,,,,,,,0.099,0.594,0.09991667,,,0.374,,,,,,,,,,,0.099,,,,,,1.54,,,,,,,,,,15.158,21.681,,,0.011,1.83356893,4.18,,0.33,1.1,0.363,6.38,,1.32,3.85,7.81,0.407,,0.44,5.61,6.16,,,,,,,,1.83356893,,,,,0.11,,1.749,0,0.09935769,4.84,,1.83357,,,,,,,,,,,,,,,0.66629457
04/1984,,,,,,,,,,,,,,0.594,0.09991667,,,0.044,,,,,,,,,,,,,,,,,0.33,,,0.66,,,,,,,10.549,7.469,,,,1.4737778,0.44,0.11,0.77,0.99,0.451,3.63,,2.64,3.63,4.29,1.551,,0.22,2.53,10.12,,,,,,,,1.4737778,,,,,1.1,,2.09,0,0.09935769,2.09,,1.47378,,,,,,,,,,,,,,,0.63650344
05/1984,,,,,,,,,,,,,,0.594,0.09991667,,,0.055,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,6.611,22.946,,0.154,,1.53059236,0.77,,0.44,1.98,0.011,5.39,,4.95,5.72,6.05,1.056,,0.11,2.53,5.61,,,,,,,,1.53059236,,,,,0.88,,1.21,0,0.09935769,1.98,,1.53059,,,,,,,,,,,,,,,0.682318
06/1984,,,,,,,,,,,,,0.308,0.594,0.09991667,,,0.429,,,,,,,,,,,0.11,,,0.198,,,0.55,,,,,,,,,,4.048,12.914,,0.341,0.011,1.8321758,5.28,,0.44,5.83,0.099,5.5,,3.52,3.85,7.37,1.474,,0.33,3.19,9.46,,,,,,,,1.8321758,,,,,0.66,,1.518,0,0.09935769,1.32,,1.83218,,,,,,,,,,,,,,,0.60990144
07/1984,,,,,,,,,,,,,2.75,0.594,0.09991667,,,,,,,,2.75,,,,,,,,,,,,0.11,,,,,,,,,,17.457,14.608,,,0.022,1.41414329,0.33,,0.88,1.76,0.022,3.74,,3.52,4.51,10.34,0.132,,0.22,4.95,4.51,,,,,,,,1.41414329,,,,,0.77,,3.63,0,0.09935769,2.42,,1.41414,,,,,,,,,,,,,,,0.62086893
08/1984,,,,,,,,,,,,,0.11,0.594,0.09991667,,,0.11,,,,,0.11,,,,,,,,,,,,0.44,,,0.11,,,,,,,2.057,15.972,,,0.264,1.47210604,0.99,0.11,0.66,3.41,,5.28,,6.05,5.5,12.87,0.242,,0.66,6.49,9.46,,,,,,,,1.47210604,,,,,0.55,,1.21,0,0.09935769,1.1,,1.47211,,,,,,,,,,,,,,,0.56883169
